date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,UTA,DET,24.28767123287671,1.0,34.7,10.0,15.0,0.667,0.0,0.0,0.0,6.0,8.0,0.75,2.0,4.0,6.0,1.0,1.0,1.0,2.0,3.0,26.0,20.5,-2.0
2015-10-30,UTA,PHI,24.293150684931508,1.0,29.283333333333335,6.0,17.0,0.353,0.0,0.0,0.0,8.0,10.0,0.8,2.0,10.0,12.0,1.0,3.0,2.0,0.0,2.0,20.0,18.4,18.0
2015-10-31,UTA,IND,24.295890410958904,1.0,31.183333333333334,9.0,16.0,0.563,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,7.0,2.0,3.0,1.0,1.0,3.0,18.0,15.8,18.0
2015-11-04,UTA,POR,24.306849315068494,1.0,24.6,2.0,7.0,0.286,0.0,0.0,0.0,2.0,6.0,0.333,4.0,6.0,10.0,1.0,4.0,2.0,1.0,4.0,6.0,8.4,-2.0
2015-11-05,UTA,DEN,24.30958904109589,1.0,15.133333333333333,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,6.0,2.6,-5.0
2015-11-07,UTA,MEM,24.315068493150687,1.0,39.56666666666667,5.0,11.0,0.455,0.0,0.0,0.0,2.0,2.0,1.0,3.0,13.0,16.0,0.0,3.0,1.0,4.0,2.0,12.0,11.2,9.0
2015-11-10,UTA,CLE,24.323287671232876,1.0,35.35,7.0,12.0,0.583,0.0,0.0,0.0,3.0,6.0,0.5,4.0,5.0,9.0,4.0,2.0,0.0,1.0,3.0,17.0,17.1,-7.0
2015-11-12,UTA,MIA,24.328767123287673,1.0,39.75,10.0,18.0,0.556,0.0,0.0,0.0,5.0,7.0,0.714,5.0,7.0,12.0,2.0,3.0,7.0,1.0,3.0,25.0,28.3,10.0
2015-11-13,UTA,ORL,24.33150684931507,1.0,19.433333333333334,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,7.0,1.0,3.0,1.0,2.0,2.0,5.0,6.7,-12.0
2015-11-15,UTA,ATL,24.336986301369862,1.0,32.35,11.0,20.0,0.55,0.0,1.0,0.0,1.0,1.0,1.0,4.0,5.0,9.0,3.0,0.0,2.0,4.0,2.0,23.0,16.4,0.0
2015-11-18,UTA,TOR,24.345205479452055,1.0,31.566666666666666,7.0,9.0,0.778,0.0,0.0,0.0,4.0,7.0,0.571,1.0,10.0,11.0,1.0,1.0,0.0,0.0,0.0,18.0,18.7,0.0
2015-11-20,UTA,DAL,24.350684931506848,1.0,35.71666666666667,9.0,14.0,0.643,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,2.0,0.0,0.0,3.0,1.0,18.0,13.5,-16.0
2015-11-23,UTA,OKC,24.35890410958904,1.0,29.533333333333335,4.0,10.0,0.4,0.0,0.0,0.0,3.0,5.0,0.6,1.0,6.0,7.0,2.0,2.0,2.0,2.0,1.0,11.0,9.7,-16.0
2015-11-25,UTA,LAC,24.364383561643837,1.0,32.75,10.0,15.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,0.0,1.0,3.0,22.0,19.4,0.0
2015-11-30,UTA,GSW,24.378082191780823,1.0,34.13333333333333,9.0,15.0,0.6,0.0,0.0,0.0,5.0,5.0,1.0,5.0,5.0,10.0,2.0,2.0,0.0,0.0,3.0,23.0,23.3,0.0
2015-12-03,UTA,ORL,24.386301369863013,1.0,38.0,4.0,7.0,0.571,0.0,0.0,0.0,4.0,6.0,0.667,2.0,8.0,10.0,2.0,1.0,1.0,1.0,0.0,12.0,13.8,0.0
2015-12-05,UTA,IND,24.39178082191781,1.0,43.53333333333333,14.0,24.0,0.583,0.0,0.0,0.0,7.0,9.0,0.778,7.0,6.0,13.0,1.0,1.0,1.0,2.0,3.0,35.0,28.9,0.0
2015-12-08,UTA,SAC,24.4,1.0,34.75,5.0,13.0,0.385,0.0,0.0,0.0,4.0,7.0,0.571,6.0,4.0,10.0,4.0,1.0,0.0,2.0,4.0,14.0,11.3,0.0
2015-12-09,UTA,NYK,24.4027397260274,1.0,28.116666666666667,8.0,13.0,0.615,0.0,0.0,0.0,4.0,4.0,1.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,3.0,20.0,16.1,0.0
2015-12-11,UTA,OKC,24.40821917808219,1.0,36.45,6.0,13.0,0.462,0.0,0.0,0.0,1.0,2.0,0.5,3.0,4.0,7.0,1.0,2.0,3.0,1.0,2.0,13.0,12.2,0.0
2015-12-13,UTA,OKC,24.413698630136988,1.0,41.55,7.0,17.0,0.412,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,10.0,0.0,0.0,0.0,0.0,3.0,14.0,9.5,0.0
2015-12-14,UTA,SAS,24.416438356164385,1.0,24.05,6.0,14.0,0.429,0.0,0.0,0.0,4.0,6.0,0.667,0.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,16.0,8.6,0.0
2015-12-16,UTA,NOP,24.421917808219177,1.0,35.333333333333336,10.0,15.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,2.0,5.0,7.0,5.0,1.0,1.0,0.0,1.0,22.0,23.2,0.0
2015-12-18,UTA,DEN,24.427397260273974,1.0,35.45,2.0,8.0,0.25,0.0,0.0,0.0,3.0,5.0,0.6,3.0,6.0,9.0,0.0,1.0,0.0,1.0,4.0,7.0,3.7,0.0
