date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,ORL,WAS,26.21095890410959,0.0,14.733333333333333,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,2.0,1.0,4.0,4.0,3.0,12.0
2015-10-30,ORL,OKC,26.216438356164385,0.0,12.9,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,2.0,0.0,2.0,2.0,5.0,-5.0
2015-11-03,ORL,NOP,26.22739726027397,0.0,12.183333333333334,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,6.0,5.2,10.0
2015-11-04,ORL,HOU,26.23013698630137,0.0,26.383333333333333,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,2.0,2.0,1.0,6.0,4.0,4.5,-5.0
2015-11-06,ORL,TOR,26.235616438356164,1.0,30.166666666666668,3.0,5.0,0.6,0.0,0.0,0.0,4.0,6.0,0.667,0.0,4.0,4.0,1.0,0.0,3.0,1.0,6.0,10.0,7.5,-4.0
2015-11-07,ORL,PHI,26.23835616438356,1.0,29.966666666666665,2.0,6.0,0.333,0.0,0.0,0.0,8.0,8.0,1.0,3.0,6.0,9.0,0.0,1.0,3.0,0.0,5.0,12.0,13.6,3.0
2015-11-09,ORL,IND,26.243835616438357,1.0,23.166666666666668,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,2.0,7.0,9.0,0.0,2.0,0.0,2.0,1.0,5.0,6.4,3.0
2015-11-11,ORL,LAL,26.24931506849315,1.0,12.683333333333334,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,0.0,1.0,0.0,0.0,2.0,4.0,5.2,-4.0
2015-11-13,ORL,UTA,26.254794520547946,0.0,15.633333333333333,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,3.0,2.0,2.0,4.0,2.2,-1.0
2015-11-14,ORL,WAS,26.257534246575343,0.0,12.266666666666667,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,4.0,4.0,0.0,1.0,1.0,0.0,2.0,4.0,5.4,9.0
2015-11-18,ORL,MIN,26.268493150684932,0.0,9.916666666666666,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.8,0.0
2015-11-21,ORL,SAC,26.276712328767122,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,-1.1,0.0
2015-11-23,ORL,CLE,26.28219178082192,0.0,6.816666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,7.0
2015-11-27,ORL,MIL,26.293150684931508,0.0,3.6166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,-0.5,0.0
2015-12-11,ORL,CLE,26.33150684931507,0.0,20.083333333333332,1.0,2.0,0.5,0.0,0.0,0.0,4.0,6.0,0.667,1.0,4.0,5.0,0.0,0.0,1.0,0.0,4.0,6.0,5.2,0.0
2015-12-14,ORL,BRK,26.339726027397262,0.0,4.083333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0
2015-12-16,ORL,CHO,26.345205479452055,0.0,3.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,-2.6,-8.0
