date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,BOS,PHI,27.002739726027396,0.0,22.016666666666666,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,3.0,0.0,6.0,3.3,23.0
2015-10-30,BOS,TOR,27.008219178082193,0.0,27.5,2.0,11.0,0.182,0.0,1.0,0.0,2.0,4.0,0.5,1.0,3.0,4.0,1.0,1.0,0.0,4.0,2.0,6.0,-3.2,-5.0
2015-11-01,BOS,SAS,27.013698630136986,0.0,15.816666666666666,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,1.0,1.0,2.0,2.0,2.2,0.0
2015-11-04,BOS,IND,27.02191780821918,0.0,21.383333333333333,5.0,10.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0,1.0,1.0,11.0,9.3,-2.0
2015-11-06,BOS,WAS,27.027397260273972,0.0,29.55,7.0,12.0,0.583,2.0,4.0,0.5,0.0,0.0,0.0,0.0,6.0,6.0,2.0,3.0,0.0,2.0,3.0,16.0,13.4,26.0
2015-11-10,BOS,MIL,27.03835616438356,0.0,28.633333333333333,6.0,12.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,0.0,5.0,5.0,6.0,4.0,0.0,1.0,2.0,13.0,14.9,31.0
2015-11-11,BOS,IND,27.041095890410958,1.0,32.916666666666664,9.0,13.0,0.692,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,20.0,17.1,-9.0
2015-11-13,BOS,ATL,27.046575342465754,0.0,24.216666666666665,2.0,11.0,0.182,0.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,4.0,0.0,0.0,1.0,3.0,5.0,1.0,9.0
2015-11-15,BOS,OKC,27.052054794520547,0.0,24.016666666666666,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0,1.0,2.0,1.5,0.0
2015-11-16,BOS,HOU,27.054794520547944,0.0,18.066666666666666,2.0,5.0,0.4,0.0,2.0,0.0,3.0,3.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,2.0,3.0,7.0,4.0,11.0
2015-11-18,BOS,DAL,27.06027397260274,0.0,23.883333333333333,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,3.0,0.0,6.0,5.1,-15.0
2015-11-20,BOS,BRK,27.065753424657533,0.0,25.616666666666667,5.0,7.0,0.714,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,7.0,0.0,1.0,2.0,0.0,12.0,14.6,1.0
2015-11-22,BOS,BRK,27.07123287671233,0.0,32.3,6.0,10.0,0.6,0.0,3.0,0.0,1.0,2.0,0.5,1.0,6.0,7.0,3.0,2.0,0.0,2.0,3.0,13.0,11.4,1.0
2015-11-24,BOS,ATL,27.076712328767123,0.0,25.9,2.0,8.0,0.25,0.0,0.0,0.0,4.0,5.0,0.8,1.0,3.0,4.0,7.0,0.0,0.0,2.0,1.0,8.0,6.9,-7.0
2015-11-25,BOS,PHI,27.07945205479452,0.0,35.983333333333334,6.0,18.0,0.333,0.0,3.0,0.0,4.0,4.0,1.0,0.0,9.0,9.0,3.0,0.0,1.0,3.0,0.0,16.0,8.3,0.0
2015-11-27,BOS,WAS,27.084931506849315,0.0,21.466666666666665,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,2.2,0.0
2015-11-29,BOS,ORL,27.09041095890411,0.0,20.95,1.0,7.0,0.143,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,6.0,1.0,0.0,0.0,1.0,2.0,3.9,0.0
2015-11-30,BOS,MIA,27.09315068493151,0.0,32.05,5.0,11.0,0.455,0.0,1.0,0.0,3.0,4.0,0.75,1.0,5.0,6.0,3.0,3.0,0.0,1.0,1.0,13.0,12.8,0.0
2015-12-03,BOS,SAC,27.101369863013698,0.0,26.95,2.0,6.0,0.333,0.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,1.0,4.0,1.0,0.0,2.0,1.0,6.0,3.9,0.0
2015-12-05,BOS,SAS,27.106849315068494,0.0,30.133333333333333,7.0,17.0,0.412,1.0,2.0,0.5,1.0,2.0,0.5,1.0,3.0,4.0,1.0,2.0,0.0,1.0,2.0,16.0,9.0,0.0
2015-12-07,BOS,NOP,27.112328767123287,0.0,22.966666666666665,2.0,8.0,0.25,0.0,1.0,0.0,4.0,4.0,1.0,1.0,3.0,4.0,4.0,2.0,0.0,3.0,0.0,8.0,6.6,0.0
