date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,GSW,NOP,26.016438356164382,0.0,17.016666666666666,6.0,10.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,13.0,11.0,-9.0
2015-10-30,GSW,HOU,26.024657534246575,1.0,24.7,4.0,9.0,0.444,0.0,0.0,0.0,1.0,4.0,0.25,3.0,4.0,7.0,1.0,0.0,2.0,2.0,2.0,9.0,5.7,12.0
2015-10-31,GSW,NOP,26.027397260273972,1.0,15.066666666666666,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.167,0.0,5.0,5.0,1.0,1.0,1.0,0.0,3.0,1.0,0.3,4.0
2015-11-02,GSW,MEM,26.03287671232877,1.0,20.433333333333334,4.0,5.0,0.8,0.0,0.0,0.0,3.0,3.0,1.0,3.0,7.0,10.0,0.0,0.0,3.0,1.0,2.0,11.0,13.6,36.0
2015-11-04,GSW,LAC,26.03835616438356,1.0,22.85,6.0,8.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,2.0,0.0,2.0,0.0,3.0,12.0,11.6,-9.0
2015-11-06,GSW,DEN,26.043835616438358,1.0,17.866666666666667,7.0,7.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,3.0,4.0,7.0,2.0,1.0,2.0,3.0,4.0,16.0,15.6,3.0
2015-11-07,GSW,SAC,26.046575342465754,1.0,21.7,3.0,9.0,0.333,0.0,0.0,0.0,4.0,5.0,0.8,4.0,8.0,12.0,0.0,0.0,1.0,1.0,0.0,10.0,9.4,-10.0
2015-11-09,GSW,DET,26.052054794520547,1.0,23.133333333333333,2.0,6.0,0.333,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,4.0,8.0,5.8,7.0
2015-11-11,GSW,MEM,26.057534246575344,1.0,20.216666666666665,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,3.0,5.0,0.0,1.0,0.0,1.0,4.0,3.0,2.3,11.0
2015-11-12,GSW,MIN,26.06027397260274,1.0,16.016666666666666,5.0,6.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,10.0,9.3,6.0
2015-11-14,GSW,BRK,26.065753424657533,1.0,18.166666666666668,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,1.0,0.0,2.0,0.0,1.0,3.0,3.8,2.0
2015-11-17,GSW,TOR,26.073972602739726,0.0,22.233333333333334,3.0,4.0,0.75,0.0,0.0,0.0,2.0,4.0,0.5,1.0,5.0,6.0,1.0,2.0,4.0,2.0,3.0,8.0,10.1,10.0
2015-11-19,GSW,LAC,26.07945205479452,0.0,21.3,1.0,2.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,2.0,2.0,4.0,3.0,0.0,2.0,2.0,3.0,5.0,5.9,-5.0
