date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-30,WAS,MIL,29.47945205479452,0.0,0.11666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-3.0
2015-11-04,WAS,SAS,29.493150684931507,0.0,2.783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-7.0
2015-11-06,WAS,BOS,29.4986301369863,0.0,10.516666666666667,1.0,3.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.6,-3.0
2015-11-07,WAS,ATL,29.5013698630137,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,-1.0
2015-11-10,WAS,OKC,29.50958904109589,0.0,21.033333333333335,3.0,8.0,0.375,0.0,3.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,9.0,5.1,-4.0
2015-11-14,WAS,ORL,29.52054794520548,1.0,31.166666666666668,5.0,10.0,0.5,3.0,6.0,0.5,5.0,6.0,0.833,0.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,18.0,15.1,8.0
2015-11-17,WAS,MIL,29.528767123287672,1.0,30.466666666666665,3.0,9.0,0.333,2.0,4.0,0.5,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,10.0,8.1,16.0
2015-11-21,WAS,DET,29.53972602739726,0.0,25.65,3.0,6.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,0.0,5.0,5.0,1.0,1.0,0.0,1.0,1.0,8.0,6.4,0.0
2015-11-24,WAS,IND,29.54794520547945,0.0,17.516666666666666,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,0.0,0.0,2.0,3.0,2.0,-0.7,1.0
2015-11-25,WAS,CHO,29.55068493150685,0.0,10.05,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6,0.0
2015-11-27,WAS,BOS,29.556164383561644,0.0,11.233333333333333,2.0,4.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,2.9,0.0
2015-11-28,WAS,TOR,29.55890410958904,0.0,17.2,0.0,6.0,0.0,0.0,4.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0
2015-12-01,WAS,CLE,29.567123287671233,0.0,27.583333333333332,3.0,9.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,7.0,2.2,0.0
2015-12-02,WAS,LAL,29.56986301369863,0.0,15.216666666666667,0.0,1.0,0.0,0.0,1.0,0.0,4.0,8.0,0.5,2.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,4.0,5.1,0.0
2015-12-04,WAS,PHO,29.575342465753426,0.0,34.88333333333333,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,6.0,4.0,0.0
2015-12-06,WAS,DAL,29.58082191780822,0.0,12.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,-1.3,0.0
2015-12-07,WAS,MIA,29.583561643835615,0.0,7.966666666666667,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,2.5,0.0
2015-12-09,WAS,HOU,29.589041095890412,0.0,17.45,2.0,6.0,0.333,0.0,2.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,5.0,3.7,0.0
2015-12-11,WAS,NOP,29.594520547945205,1.0,28.416666666666668,4.0,8.0,0.5,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,10.0,9.3,0.0
2015-12-12,WAS,DAL,29.5972602739726,1.0,28.116666666666667,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,5.0,4.5,0.0
2015-12-14,WAS,MEM,29.602739726027398,1.0,17.05,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,6.0,2.7,0.0
2015-12-16,WAS,SAS,29.60821917808219,0.0,11.166666666666666,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.6,-2.0
