date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MIA,CHO,29.47945205479452,1.0,30.883333333333333,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,2.0,1.0,4.0,8.0,7.3,2.0
2015-10-30,MIA,CLE,29.484931506849314,1.0,33.6,3.0,9.0,0.333,1.0,3.0,0.333,4.0,4.0,1.0,0.0,3.0,3.0,6.0,1.0,0.0,1.0,3.0,11.0,9.8,9.0
2015-11-01,MIA,HOU,29.49041095890411,1.0,24.283333333333335,3.0,7.0,0.429,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,6.0,1.0,0.0,1.0,4.0,8.0,7.8,-6.0
2015-11-03,MIA,ATL,29.495890410958904,1.0,32.166666666666664,6.0,11.0,0.545,3.0,5.0,0.6,4.0,4.0,1.0,2.0,3.0,5.0,2.0,3.0,1.0,4.0,2.0,19.0,16.3,2.0
2015-11-05,MIA,MIN,29.5013698630137,1.0,32.55,7.0,12.0,0.583,1.0,3.0,0.333,3.0,4.0,0.75,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,18.0,12.7,18.0
2015-11-06,MIA,IND,29.504109589041096,1.0,30.6,5.0,11.0,0.455,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,5.0,4.0,11.0,2.1,-7.0
2015-11-08,MIA,TOR,29.50958904109589,1.0,26.45,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,-0.8,4.0
2015-11-10,MIA,LAL,29.515068493150686,1.0,29.5,2.0,10.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,1.0,3.0,4.0,-0.8,26.0
2015-11-12,MIA,UTA,29.52054794520548,1.0,34.733333333333334,5.0,12.0,0.417,0.0,3.0,0.0,4.0,6.0,0.667,0.0,3.0,3.0,4.0,2.0,0.0,4.0,0.0,14.0,8.5,-14.0
2015-11-17,MIA,MIN,29.534246575342465,1.0,36.15,5.0,12.0,0.417,1.0,4.0,0.25,5.0,7.0,0.714,0.0,2.0,2.0,9.0,1.0,0.0,2.0,6.0,16.0,12.3,5.0
