date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MIA,CHO,26.375342465753423,1.0,20.25,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,3.0,4.0,2.0,7.0
2015-10-30,MIA,CLE,26.38082191780822,1.0,36.03333333333333,4.0,7.0,0.571,0.0,0.0,0.0,3.0,4.0,0.75,1.0,8.0,9.0,2.0,0.0,6.0,2.0,2.0,11.0,13.2,6.0
2015-11-01,MIA,HOU,26.386301369863013,1.0,33.516666666666666,12.0,15.0,0.8,0.0,0.0,0.0,1.0,3.0,0.333,1.0,14.0,15.0,1.0,3.0,2.0,3.0,2.0,25.0,24.7,19.0
2015-11-03,MIA,ATL,26.39178082191781,1.0,31.033333333333335,11.0,12.0,0.917,0.0,0.0,0.0,1.0,2.0,0.5,5.0,9.0,14.0,0.0,0.0,4.0,3.0,0.0,23.0,24.6,-5.0
2015-11-05,MIA,MIN,26.397260273972602,1.0,29.7,5.0,9.0,0.556,0.0,0.0,0.0,2.0,2.0,1.0,1.0,8.0,9.0,0.0,0.0,4.0,7.0,5.0,12.0,4.6,14.0
2015-11-06,MIA,IND,26.4,1.0,33.11666666666667,4.0,10.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,12.0,0.0,1.0,4.0,1.0,1.0,8.0,8.6,-23.0
2015-11-08,MIA,TOR,26.405479452054795,1.0,24.633333333333333,8.0,15.0,0.533,0.0,0.0,0.0,4.0,5.0,0.8,6.0,5.0,11.0,0.0,1.0,6.0,0.0,2.0,20.0,22.4,0.0
2015-11-10,MIA,LAL,26.410958904109588,1.0,27.116666666666667,8.0,12.0,0.667,0.0,0.0,0.0,3.0,6.0,0.5,7.0,8.0,15.0,0.0,0.0,3.0,0.0,1.0,19.0,21.6,22.0
2015-11-12,MIA,UTA,26.416438356164385,1.0,29.3,4.0,10.0,0.4,0.0,0.0,0.0,1.0,4.0,0.25,3.0,11.0,14.0,0.0,1.0,5.0,2.0,3.0,9.0,9.1,-8.0
2015-11-17,MIA,MIN,26.43013698630137,1.0,33.81666666666667,10.0,14.0,0.714,0.0,0.0,0.0,2.0,9.0,0.222,4.0,10.0,14.0,0.0,0.0,10.0,4.0,2.0,22.0,21.4,11.0
2015-11-19,MIA,SAC,26.435616438356163,1.0,18.4,4.0,7.0,0.571,0.0,0.0,0.0,4.0,4.0,1.0,2.0,3.0,5.0,0.0,2.0,4.0,0.0,3.0,12.0,14.6,-11.0
2015-11-21,MIA,PHI,26.44109589041096,1.0,29.366666666666667,4.0,7.0,0.571,0.0,0.0,0.0,5.0,8.0,0.625,2.0,7.0,9.0,0.0,1.0,8.0,3.0,1.0,13.0,15.2,0.0
2015-11-23,MIA,NYK,26.446575342465753,1.0,33.833333333333336,3.0,8.0,0.375,0.0,0.0,0.0,5.0,10.0,0.5,3.0,8.0,11.0,1.0,1.0,5.0,1.0,3.0,11.0,12.1,3.0
2015-11-25,MIA,DET,26.45205479452055,1.0,29.616666666666667,7.0,9.0,0.778,0.0,0.0,0.0,1.0,2.0,0.5,5.0,8.0,13.0,0.0,0.0,3.0,3.0,2.0,15.0,15.3,0.0
2015-11-27,MIA,NYK,26.457534246575342,1.0,31.35,1.0,6.0,0.167,0.0,0.0,0.0,4.0,6.0,0.667,5.0,9.0,14.0,0.0,0.0,6.0,1.0,1.0,6.0,10.4,0.0
2015-11-30,MIA,BOS,26.465753424657535,1.0,25.766666666666666,2.0,4.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,3.0,5.0,8.0,0.0,1.0,3.0,1.0,3.0,6.0,7.7,0.0
2015-12-03,MIA,OKC,26.473972602739725,1.0,28.733333333333334,5.0,8.0,0.625,0.0,0.0,0.0,1.0,2.0,0.5,1.0,7.0,8.0,0.0,0.0,2.0,2.0,3.0,11.0,8.0,0.0
2015-12-05,MIA,CLE,26.47945205479452,1.0,21.216666666666665,2.0,3.0,0.667,0.0,0.0,0.0,3.0,7.0,0.429,2.0,7.0,9.0,0.0,1.0,5.0,0.0,2.0,7.0,11.3,0.0
2015-12-07,MIA,WAS,26.484931506849314,1.0,23.033333333333335,7.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,1.0,14.0,13.6,0.0
2015-12-09,MIA,CHO,26.49041095890411,1.0,22.933333333333334,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,1.0,0.0,3.0,6.0,2.0,6.0,2.5,0.0
2015-12-11,MIA,IND,26.495890410958904,1.0,17.483333333333334,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,10.0,0.0,0.0,2.0,1.0,3.0,8.0,9.4,0.0
2015-12-13,MIA,MEM,26.5013698630137,1.0,28.0,4.0,5.0,0.8,0.0,0.0,0.0,1.0,3.0,0.333,4.0,7.0,11.0,0.0,2.0,0.0,1.0,3.0,9.0,11.0,0.0
2015-12-14,MIA,ATL,26.504109589041096,1.0,25.95,4.0,11.0,0.364,0.0,0.0,0.0,0.0,2.0,0.0,5.0,8.0,13.0,0.0,0.0,3.0,2.0,4.0,8.0,5.5,0.0
2015-12-16,MIA,BRK,26.50958904109589,1.0,29.5,7.0,10.0,0.7,0.0,0.0,0.0,6.0,8.0,0.75,5.0,8.0,13.0,0.0,0.0,1.0,2.0,4.0,20.0,18.0,-8.0
2015-12-18,MIA,TOR,26.515068493150686,1.0,31.4,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,13.0,0.0,0.0,5.0,0.0,2.0,8.0,12.4,0.0
