date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,DEN,HOU,33.71506849315068,0.0,24.5,4.0,9.0,0.444,2.0,5.0,0.4,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,0.0,3.0,6.0,10.0,4.5,8.0
2015-10-30,DEN,MIN,33.72054794520548,0.0,25.7,1.0,10.0,0.1,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,2.0,3.0,-1.0,2.0
2015-11-01,DEN,OKC,33.726027397260275,0.0,27.05,5.0,13.0,0.385,2.0,5.0,0.4,1.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,0.0,2.0,3.0,13.0,9.3,-7.0
2015-11-03,DEN,LAL,33.73150684931507,0.0,25.833333333333332,1.0,7.0,0.143,0.0,3.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,9.0,0.0,0.0,3.0,4.0,4.0,2.4,9.0
2015-11-05,DEN,UTA,33.73698630136986,0.0,19.0,1.0,4.0,0.25,0.0,2.0,0.0,2.0,3.0,0.667,0.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0,4.0,3.3,-12.0
2015-11-06,DEN,GSW,33.73972602739726,0.0,21.416666666666668,4.0,8.0,0.5,2.0,6.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,4.0,3.0,10.0,6.6,-12.0
2015-11-13,DEN,HOU,33.75890410958904,0.0,27.916666666666668,5.0,8.0,0.625,0.0,1.0,0.0,3.0,5.0,0.6,1.0,4.0,5.0,3.0,0.0,0.0,1.0,2.0,13.0,10.8,16.0
2015-11-14,DEN,PHO,33.76164383561644,0.0,25.85,2.0,11.0,0.182,0.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,6.0,-2.0,-21.0
2015-11-17,DEN,NOP,33.76986301369863,0.0,25.966666666666665,6.0,11.0,0.545,4.0,6.0,0.667,0.0,0.0,0.0,1.0,3.0,4.0,4.0,1.0,0.0,0.0,4.0,16.0,14.5,9.0
2015-11-18,DEN,SAS,33.772602739726025,0.0,21.166666666666668,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,3.0,7.0,3.8,7.0
