date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,SAC,LAC,26.594520547945205,0.0,3.2333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6,-2.0
2015-10-30,SAC,LAL,26.6,0.0,4.5,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,-3.0
2015-11-03,SAC,MEM,26.610958904109587,0.0,4.25,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.2,5.0
2015-11-04,SAC,PHO,26.613698630136987,1.0,24.583333333333332,5.0,15.0,0.333,4.0,10.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,15.0,6.5,-13.0
2015-11-06,SAC,HOU,26.61917808219178,1.0,17.8,0.0,4.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.1,-19.0
2015-11-07,SAC,GSW,26.621917808219177,1.0,14.216666666666667,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,1.7,-1.0
2015-11-09,SAC,SAS,26.627397260273973,1.0,7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2015-11-11,SAC,DET,26.632876712328766,1.0,17.216666666666665,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,-1.2,14.0
2015-11-13,SAC,BRK,26.638356164383563,1.0,5.516666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-5.0
2015-11-27,SAC,MIN,26.676712328767124,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-28,SAC,GSW,26.67945205479452,0.0,5.883333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
2015-12-03,SAC,BOS,26.693150684931506,0.0,4.3,1.0,3.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.6,0.0
2015-12-06,SAC,OKC,26.7013698630137,0.0,10.15,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-2.9,0.0
2015-12-15,SAC,HOU,26.726027397260275,0.0,1.4833333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
