date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,HOU,DEN,26.172602739726027,1.0,36.38333333333333,6.0,21.0,0.286,2.0,12.0,0.167,8.0,9.0,0.889,1.0,5.0,6.0,6.0,2.0,2.0,3.0,2.0,22.0,15.3,-21.0
2015-10-30,HOU,GSW,26.17808219178082,1.0,37.0,4.0,18.0,0.222,1.0,10.0,0.1,7.0,8.0,0.875,2.0,5.0,7.0,5.0,1.0,1.0,4.0,2.0,16.0,7.9,-23.0
2015-11-01,HOU,MIA,26.183561643835617,1.0,39.1,2.0,15.0,0.133,0.0,10.0,0.0,12.0,14.0,0.857,0.0,6.0,6.0,7.0,3.0,1.0,5.0,2.0,16.0,10.1,-24.0
2015-11-02,HOU,OKC,26.186301369863013,1.0,38.46666666666667,12.0,26.0,0.462,4.0,12.0,0.333,9.0,11.0,0.818,0.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,37.0,28.4,6.0
2015-11-04,HOU,ORL,26.19178082191781,1.0,43.65,6.0,22.0,0.273,2.0,11.0,0.182,14.0,17.0,0.824,2.0,5.0,7.0,4.0,0.0,0.0,7.0,5.0,28.0,10.5,2.0
2015-11-06,HOU,SAC,26.197260273972603,1.0,41.85,13.0,23.0,0.565,4.0,10.0,0.4,13.0,16.0,0.813,2.0,4.0,6.0,13.0,2.0,0.0,7.0,0.0,43.0,37.6,23.0
2015-11-07,HOU,LAC,26.2,1.0,39.65,14.0,26.0,0.538,5.0,10.0,0.5,13.0,14.0,0.929,0.0,4.0,4.0,2.0,1.0,0.0,7.0,4.0,46.0,28.0,6.0
2015-11-11,HOU,BRK,26.21095890410959,1.0,38.43333333333333,8.0,22.0,0.364,3.0,10.0,0.3,4.0,5.0,0.8,0.0,9.0,9.0,6.0,1.0,0.0,4.0,2.0,23.0,13.5,0.0
2015-11-13,HOU,DEN,26.216438356164385,1.0,37.88333333333333,9.0,19.0,0.474,1.0,5.0,0.2,9.0,11.0,0.818,0.0,8.0,8.0,5.0,3.0,2.0,4.0,4.0,28.0,22.2,-6.0
2015-11-14,HOU,DAL,26.21917808219178,1.0,41.666666666666664,5.0,21.0,0.238,1.0,6.0,0.167,14.0,14.0,1.0,3.0,4.0,7.0,10.0,2.0,1.0,6.0,4.0,25.0,17.7,-12.0
2015-11-16,HOU,BOS,26.224657534246575,1.0,29.683333333333334,4.0,10.0,0.4,4.0,7.0,0.571,4.0,4.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,4.0,16.0,7.4,-26.0
2015-11-18,HOU,POR,26.23013698630137,1.0,47.4,11.0,29.0,0.379,4.0,15.0,0.267,19.0,20.0,0.95,1.0,7.0,8.0,11.0,5.0,1.0,5.0,2.0,45.0,39.1,0.0
2015-11-20,HOU,MEM,26.235616438356164,1.0,35.6,7.0,15.0,0.467,1.0,7.0,0.143,7.0,8.0,0.875,0.0,6.0,6.0,5.0,2.0,2.0,6.0,1.0,22.0,16.2,-8.0
2015-11-21,HOU,NYK,26.23835616438356,1.0,38.3,8.0,20.0,0.4,3.0,4.0,0.75,5.0,5.0,1.0,1.0,6.0,7.0,10.0,3.0,2.0,3.0,3.0,24.0,22.9,0.0
2015-11-25,HOU,MEM,26.24931506849315,1.0,40.9,12.0,19.0,0.632,5.0,9.0,0.556,11.0,11.0,1.0,1.0,4.0,5.0,5.0,3.0,1.0,4.0,2.0,40.0,35.8,0.0
2015-11-27,HOU,PHI,26.254794520547946,1.0,40.15,14.0,28.0,0.5,6.0,12.0,0.5,16.0,20.0,0.8,2.0,7.0,9.0,8.0,0.0,0.0,9.0,2.0,50.0,33.7,0.0
2015-11-29,HOU,NYK,26.26027397260274,1.0,45.3,10.0,28.0,0.357,0.0,7.0,0.0,6.0,10.0,0.6,3.0,4.0,7.0,9.0,2.0,0.0,2.0,2.0,26.0,17.6,0.0
2015-11-30,HOU,DET,26.263013698630136,1.0,42.36666666666667,6.0,15.0,0.4,2.0,4.0,0.5,15.0,17.0,0.882,1.0,8.0,9.0,7.0,2.0,0.0,5.0,4.0,29.0,23.5,0.0
2015-12-02,HOU,NOP,26.268493150684932,1.0,37.666666666666664,7.0,20.0,0.35,1.0,8.0,0.125,9.0,10.0,0.9,0.0,10.0,10.0,6.0,1.0,1.0,0.0,1.0,24.0,20.9,0.0
2015-12-04,HOU,DAL,26.273972602739725,1.0,36.13333333333333,10.0,23.0,0.435,1.0,6.0,0.167,4.0,5.0,0.8,1.0,7.0,8.0,9.0,1.0,2.0,4.0,1.0,25.0,19.6,0.0
2015-12-05,HOU,SAC,26.276712328767122,1.0,35.71666666666667,6.0,14.0,0.429,5.0,6.0,0.833,14.0,16.0,0.875,0.0,2.0,2.0,9.0,0.0,1.0,5.0,4.0,31.0,23.8,0.0
2015-12-08,HOU,BRK,26.284931506849315,1.0,35.35,2.0,9.0,0.222,1.0,5.0,0.2,5.0,6.0,0.833,0.0,3.0,3.0,9.0,3.0,0.0,7.0,2.0,10.0,6.5,0.0
2015-12-09,HOU,WAS,26.28767123287671,1.0,40.03333333333333,13.0,23.0,0.565,5.0,9.0,0.556,11.0,12.0,0.917,2.0,7.0,9.0,7.0,2.0,2.0,7.0,4.0,42.0,33.9,0.0
2015-12-12,HOU,LAL,26.295890410958904,1.0,31.65,11.0,21.0,0.524,3.0,5.0,0.6,5.0,5.0,1.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,30.0,22.9,0.0
2015-12-14,HOU,DEN,26.301369863013697,1.0,34.38333333333333,9.0,20.0,0.45,5.0,8.0,0.625,1.0,3.0,0.333,1.0,2.0,3.0,6.0,3.0,0.0,2.0,1.0,24.0,18.9,0.0
2015-12-15,HOU,SAC,26.304109589041097,1.0,36.45,10.0,18.0,0.556,4.0,8.0,0.5,9.0,12.0,0.75,1.0,6.0,7.0,6.0,1.0,0.0,7.0,2.0,33.0,23.1,0.0
2015-12-17,HOU,LAL,26.30958904109589,1.0,36.13333333333333,7.0,24.0,0.292,2.0,9.0,0.222,9.0,10.0,0.9,2.0,4.0,6.0,6.0,1.0,1.0,3.0,2.0,25.0,15.3,31.0
