date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-31,UTA,IND,25.65205479452055,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2015-11-13,UTA,ORL,25.687671232876713,0.0,24.366666666666667,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,0.0,1.0,2.0,0.0,2.0,8.0,10.0,7.0
2015-11-15,UTA,ATL,25.693150684931506,0.0,6.116666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0
2015-11-18,UTA,TOR,25.7013698630137,0.0,7.866666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.3,-5.0
2015-11-20,UTA,DAL,25.706849315068492,0.0,1.8166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-4.0
2015-11-23,UTA,OKC,25.715068493150685,0.0,14.233333333333333,1.0,2.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,2.0,3.0,5.0,0.0,1.0,1.0,1.0,1.0,4.0,4.8,2.0
2015-11-25,UTA,LAC,25.720547945205478,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-28,UTA,NOP,25.72876712328767,0.0,7.116666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,0.0,0.7,0.0
2015-12-03,UTA,ORL,25.742465753424657,0.0,10.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,4.0,5.7,0.0
2015-12-05,UTA,IND,25.747945205479454,0.0,9.466666666666667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,-0.1,0.0
2015-12-08,UTA,SAC,25.756164383561643,0.0,13.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0
2015-12-09,UTA,NYK,25.75890410958904,0.0,19.883333333333333,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,2.0,0.0,1.0,3.0,1.0,8.0,8.7,0.0
2015-12-11,UTA,OKC,25.764383561643836,0.0,11.35,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,4.4,0.0
2015-12-13,UTA,OKC,25.76986301369863,0.0,10.416666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,2.1,0.0
2015-12-14,UTA,SAS,25.77260273972603,0.0,20.3,3.0,5.0,0.6,0.0,0.0,0.0,3.0,4.0,0.75,1.0,4.0,5.0,0.0,1.0,2.0,2.0,3.0,9.0,7.4,0.0
2015-12-16,UTA,NOP,25.778082191780822,1.0,17.366666666666667,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,3.0,4.0,3.7,3.0
2015-12-18,UTA,DEN,25.783561643835615,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,-2.2,0.0
