date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-11-05,MIA,MIN,22.13972602739726,0.0,6.833333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-2.5,-10.0
2015-11-10,MIA,LAL,22.153424657534245,0.0,14.75,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.9,-14.0
2015-11-12,MIA,UTA,22.15890410958904,1.0,20.766666666666666,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,8.0,5.0,3.0
2015-11-21,MIA,PHI,22.183561643835617,0.0,4.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,0.0
2015-11-25,MIA,DET,22.194520547945206,0.0,5.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2015-11-27,MIA,NYK,22.2,0.0,1.8,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.3,0.0
2015-12-03,MIA,OKC,22.216438356164385,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.0
2015-12-05,MIA,CLE,22.221917808219178,0.0,7.566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.5,0.0
2015-12-07,MIA,WAS,22.22739726027397,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.5,0.0
2015-12-09,MIA,CHO,22.232876712328768,0.0,15.433333333333334,1.0,3.0,0.333,1.0,3.0,0.333,2.0,4.0,0.5,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,5.0,4.7,0.0
2015-12-11,MIA,IND,22.23835616438356,0.0,8.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,-2.6,0.0
2015-12-18,MIA,TOR,22.257534246575343,0.0,3.4333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-0.1,0.0
