date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,LAC,SAC,29.895890410958906,0.0,16.3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,6.0,6.0,0.0,0.0,4.0,5.0,4.0,1.0,-2.8,-16.0
2015-10-29,LAC,DAL,29.898630136986302,0.0,14.166666666666666,1.0,5.0,0.2,0.0,1.0,0.0,3.0,6.0,0.5,3.0,3.0,6.0,1.0,0.0,2.0,1.0,4.0,5.0,3.2,9.0
2015-10-31,LAC,SAC,29.904109589041095,0.0,12.25,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.4,-18.0
2015-11-02,LAC,PHO,29.90958904109589,0.0,15.65,2.0,5.0,0.4,2.0,4.0,0.5,1.0,2.0,0.5,1.0,4.0,5.0,3.0,0.0,1.0,1.0,2.0,7.0,6.8,-8.0
2015-11-04,LAC,GSW,29.915068493150685,0.0,12.883333333333333,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,5.0,2.9,-12.0
2015-11-07,LAC,HOU,29.923287671232877,0.0,11.2,5.0,9.0,0.556,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,10.0,8.8,-11.0
2015-11-09,LAC,MEM,29.92876712328767,0.0,13.983333333333333,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,6.0,6.0,2.0,0.0,3.0,0.0,1.0,2.0,5.5,7.0
2015-11-11,LAC,DAL,29.934246575342467,0.0,12.9,2.0,6.0,0.333,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,7.0,2.7,7.0
2015-11-12,LAC,PHO,29.936986301369863,0.0,19.35,3.0,8.0,0.375,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,6.0,4.7,-7.0
2015-11-14,LAC,DET,29.942465753424656,0.0,12.883333333333333,1.0,3.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,0.9,-6.0
2015-11-19,LAC,GSW,29.956164383561642,0.0,18.333333333333332,3.0,6.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,8.0,6.7,-3.0
2015-11-20,LAC,POR,29.958904109589042,0.0,17.05,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,2.0,1.0,2.0,2.0,4.0,2.0,1.9,2.0
2015-11-22,LAC,TOR,29.964383561643835,0.0,14.766666666666667,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,2.0,1.0,2.0,2.0,3.0,2.0,3.4,8.0
2015-11-24,LAC,DEN,29.96986301369863,0.0,18.433333333333334,3.0,7.0,0.429,0.0,2.0,0.0,2.0,4.0,0.5,3.0,3.0,6.0,2.0,1.0,1.0,3.0,2.0,8.0,5.8,-4.0
2015-11-25,LAC,UTA,29.972602739726028,0.0,16.666666666666668,4.0,7.0,0.571,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,10.0,7.9,0.0
2015-11-27,LAC,NOP,29.97808219178082,0.0,21.9,2.0,5.0,0.4,0.0,1.0,0.0,1.0,2.0,0.5,2.0,10.0,12.0,4.0,0.0,1.0,4.0,2.0,5.0,5.0,0.0
