date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MIA,CHO,19.59178082191781,0.0,25.5,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,0.0,0.0,2.0,4.0,5.0,4.3,26.0
2015-10-30,MIA,CLE,19.5972602739726,0.0,18.8,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,0.7,-14.0
2015-11-01,MIA,HOU,19.602739726027398,0.0,30.666666666666668,4.0,8.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,0.0,1.0,2.0,10.0,9.3,23.0
2015-11-03,MIA,ATL,19.60821917808219,0.0,22.5,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,2.0,4.0,-2.3,-5.0
2015-11-05,MIA,MIN,19.613698630136987,0.0,35.733333333333334,3.0,7.0,0.429,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,7.0,6.3,12.0
2015-11-06,MIA,IND,19.616438356164384,0.0,30.866666666666667,6.0,10.0,0.6,0.0,1.0,0.0,1.0,1.0,1.0,2.0,6.0,8.0,1.0,0.0,0.0,0.0,5.0,13.0,10.3,10.0
2015-11-08,MIA,TOR,19.621917808219177,0.0,32.2,3.0,8.0,0.375,0.0,1.0,0.0,3.0,4.0,0.75,1.0,4.0,5.0,1.0,1.0,0.0,2.0,2.0,9.0,5.0,21.0
2015-11-10,MIA,LAL,19.627397260273973,0.0,31.966666666666665,4.0,8.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,8.0,8.5,-3.0
2015-11-12,MIA,UTA,19.632876712328766,0.0,27.283333333333335,3.0,9.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,1.0,0.0,0.0,0.0,4.0,7.0,2.5,-5.0
2015-11-17,MIA,MIN,19.646575342465752,0.0,31.35,1.0,2.0,0.5,1.0,2.0,0.5,5.0,10.0,0.5,1.0,10.0,11.0,1.0,1.0,0.0,6.0,5.0,8.0,2.4,-6.0
2015-11-19,MIA,SAC,19.65205479452055,0.0,27.083333333333332,3.0,9.0,0.333,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,2.0,6.0,0.5,12.0
2015-11-21,MIA,PHI,19.65753424657534,0.0,23.416666666666668,4.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,0.667,1.0,4.0,5.0,1.0,0.0,0.0,3.0,3.0,11.0,7.8,0.0
2015-11-23,MIA,NYK,19.663013698630138,0.0,30.616666666666667,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,1.0,0.0,5.0,7.0,6.6,30.0
2015-11-25,MIA,DET,19.66849315068493,0.0,29.133333333333333,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,1.0,7.0,8.0,1.0,0.0,0.0,1.0,2.0,3.0,2.6,0.0
2015-11-27,MIA,NYK,19.673972602739727,0.0,34.63333333333333,3.0,7.0,0.429,1.0,3.0,0.333,2.0,2.0,1.0,1.0,6.0,7.0,1.0,1.0,0.0,0.0,3.0,9.0,8.3,0.0
2015-11-30,MIA,BOS,19.682191780821917,0.0,29.466666666666665,1.0,4.0,0.25,0.0,0.0,0.0,2.0,3.0,0.667,2.0,4.0,6.0,4.0,0.0,0.0,4.0,2.0,4.0,1.8,0.0
