date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,SAS,OKC,24.33150684931507,1.0,35.31666666666667,13.0,22.0,0.591,1.0,3.0,0.333,5.0,5.0,1.0,1.0,7.0,8.0,0.0,3.0,2.0,3.0,3.0,32.0,24.8,5.0
2015-10-30,SAS,BRK,24.336986301369862,1.0,25.783333333333335,6.0,16.0,0.375,0.0,2.0,0.0,4.0,4.0,1.0,1.0,9.0,10.0,1.0,2.0,1.0,4.0,3.0,16.0,8.8,16.0
2015-11-01,SAS,BOS,24.34246575342466,1.0,34.28333333333333,8.0,18.0,0.444,1.0,3.0,0.333,2.0,2.0,1.0,0.0,5.0,5.0,2.0,2.0,1.0,2.0,2.0,19.0,12.4,3.0
2015-11-02,SAS,NYK,24.345205479452055,1.0,36.083333333333336,8.0,16.0,0.5,1.0,4.0,0.25,1.0,1.0,1.0,2.0,12.0,14.0,1.0,2.0,4.0,2.0,4.0,18.0,16.9,13.0
2015-11-04,SAS,WAS,24.350684931506848,1.0,34.833333333333336,10.0,22.0,0.455,1.0,4.0,0.25,2.0,2.0,1.0,3.0,6.0,9.0,0.0,1.0,0.0,1.0,4.0,23.0,13.9,-11.0
2015-11-07,SAS,CHO,24.35890410958904,1.0,34.1,10.0,16.0,0.625,2.0,4.0,0.5,1.0,2.0,0.5,0.0,4.0,4.0,2.0,2.0,0.0,0.0,3.0,23.0,18.8,11.0
2015-11-09,SAS,SAC,24.364383561643837,1.0,31.616666666666667,10.0,13.0,0.769,3.0,4.0,0.75,1.0,2.0,0.5,0.0,3.0,3.0,2.0,2.0,2.0,0.0,2.0,24.0,23.4,31.0
2015-11-11,SAS,POR,24.36986301369863,1.0,34.81666666666667,7.0,14.0,0.5,1.0,5.0,0.2,5.0,5.0,1.0,0.0,7.0,7.0,3.0,1.0,0.0,1.0,3.0,20.0,16.0,3.0
2015-11-16,SAS,POR,24.383561643835616,1.0,30.783333333333335,8.0,15.0,0.533,3.0,5.0,0.6,0.0,1.0,0.0,2.0,7.0,9.0,3.0,2.0,2.0,0.0,1.0,19.0,19.9,5.0
2015-11-18,SAS,DEN,24.389041095890413,1.0,36.81666666666667,8.0,16.0,0.5,3.0,4.0,0.75,1.0,1.0,1.0,1.0,7.0,8.0,3.0,2.0,1.0,0.0,2.0,20.0,18.8,10.0
2015-11-20,SAS,NOP,24.394520547945206,1.0,36.61666666666667,9.0,20.0,0.45,3.0,5.0,0.6,1.0,2.0,0.5,0.0,5.0,5.0,2.0,1.0,1.0,0.0,2.0,22.0,15.0,-6.0
2015-11-21,SAS,MEM,24.397260273972602,1.0,40.266666666666666,5.0,15.0,0.333,3.0,6.0,0.5,6.0,8.0,0.75,2.0,5.0,7.0,3.0,0.0,1.0,0.0,1.0,19.0,15.0,0.0
2015-11-23,SAS,PHO,24.4027397260274,1.0,37.21666666666667,11.0,18.0,0.611,1.0,2.0,0.5,1.0,1.0,1.0,3.0,10.0,13.0,4.0,4.0,1.0,3.0,1.0,24.0,25.0,7.0
2015-11-25,SAS,DAL,24.40821917808219,1.0,40.43333333333333,9.0,16.0,0.563,4.0,7.0,0.571,4.0,4.0,1.0,4.0,4.0,8.0,5.0,2.0,0.0,2.0,0.0,26.0,25.9,0.0
