date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,DEN,HOU,25.93972602739726,1.0,30.833333333333332,8.0,10.0,0.8,0.0,0.0,0.0,2.0,6.0,0.333,3.0,6.0,9.0,1.0,1.0,3.0,2.0,5.0,18.0,16.3,21.0
2015-10-30,DEN,MIN,25.945205479452056,1.0,26.783333333333335,3.0,10.0,0.3,0.0,0.0,0.0,3.0,4.0,0.75,6.0,9.0,15.0,1.0,1.0,0.0,2.0,1.0,9.0,9.0,-23.0
2015-11-01,DEN,OKC,25.95068493150685,1.0,14.166666666666666,4.0,6.0,0.667,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,8.0,7.1,-18.0
2015-11-03,DEN,LAL,25.956164383561642,1.0,39.86666666666667,10.0,13.0,0.769,0.0,0.0,0.0,8.0,8.0,1.0,4.0,11.0,15.0,1.0,0.0,0.0,4.0,2.0,28.0,24.9,5.0
2015-11-05,DEN,UTA,25.96164383561644,1.0,30.1,4.0,8.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,8.0,10.0,2.0,0.0,0.0,0.0,4.0,9.0,8.2,-8.0
2015-11-06,DEN,GSW,25.964383561643835,1.0,21.383333333333333,4.0,9.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,1.0,0.0,1.0,1.0,2.0,8.0,7.4,-5.0
2015-11-09,DEN,POR,25.972602739726028,1.0,30.7,8.0,13.0,0.615,0.0,0.0,0.0,1.0,4.0,0.25,4.0,4.0,8.0,1.0,1.0,0.0,2.0,2.0,17.0,12.8,4.0
2015-11-11,DEN,MIL,25.97808219178082,1.0,33.4,8.0,9.0,0.889,0.0,0.0,0.0,3.0,6.0,0.5,5.0,4.0,9.0,1.0,2.0,3.0,2.0,0.0,19.0,22.2,-5.0
2015-11-13,DEN,HOU,25.983561643835618,1.0,30.066666666666666,6.0,16.0,0.375,0.0,0.0,0.0,2.0,2.0,1.0,4.0,7.0,11.0,1.0,0.0,2.0,0.0,3.0,14.0,11.0,1.0
2015-11-14,DEN,PHO,25.986301369863014,1.0,14.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,0.0,1.0,0.0,2.0,1.0,2.0,2.6,-21.0
2015-11-17,DEN,NOP,25.994520547945207,1.0,25.766666666666666,5.0,6.0,0.833,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,7.0,0.0,0.0,1.0,1.0,5.0,11.0,9.0,25.0
2015-11-18,DEN,SAS,25.997260273972604,1.0,28.833333333333332,7.0,12.0,0.583,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,7.0,3.0,1.0,0.0,0.0,2.0,15.0,13.8,0.0
2015-11-20,DEN,PHO,26.002739726027396,1.0,24.75,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,7.0,1.0,1.0,0.0,3.0,3.0,4.0,2.0,-6.0
2015-11-28,DEN,DAL,26.024657534246575,0.0,14.133333333333333,4.0,5.0,0.8,0.0,0.0,0.0,2.0,3.0,0.667,2.0,3.0,5.0,0.0,2.0,1.0,3.0,4.0,10.0,8.1,0.0
2015-11-30,DEN,MIL,26.03013698630137,1.0,22.666666666666668,5.0,9.0,0.556,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,7.0,1.0,0.0,0.0,2.0,2.0,11.0,7.5,0.0
2015-12-02,DEN,CHI,26.035616438356165,1.0,28.6,7.0,10.0,0.7,0.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,9.0,3.0,0.0,1.0,4.0,3.0,14.0,11.3,0.0
2015-12-05,DEN,PHI,26.043835616438358,0.0,21.65,4.0,8.0,0.5,0.0,0.0,0.0,4.0,9.0,0.444,5.0,4.0,9.0,2.0,0.0,2.0,3.0,1.0,12.0,10.1,0.0
2015-12-08,DEN,ORL,26.052054794520547,1.0,35.7,2.0,12.0,0.167,0.0,0.0,0.0,3.0,6.0,0.5,2.0,9.0,11.0,3.0,1.0,2.0,2.0,3.0,7.0,3.6,0.0
2015-12-11,DEN,MIN,26.06027397260274,1.0,37.55,4.0,8.0,0.5,0.0,0.0,0.0,6.0,15.0,0.4,3.0,9.0,12.0,0.0,1.0,1.0,1.0,3.0,14.0,10.7,0.0
2015-12-14,DEN,HOU,26.068493150684933,1.0,19.8,5.0,8.0,0.625,0.0,0.0,0.0,1.0,2.0,0.5,5.0,4.0,9.0,1.0,0.0,2.0,1.0,1.0,11.0,12.4,0.0
2015-12-15,DEN,MIN,26.07123287671233,1.0,28.266666666666666,7.0,12.0,0.583,0.0,0.0,0.0,5.0,8.0,0.625,3.0,7.0,10.0,1.0,0.0,3.0,0.0,5.0,19.0,17.2,0.0
2015-12-18,DEN,UTA,26.07945205479452,1.0,28.783333333333335,4.0,11.0,0.364,0.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,7.0,0.0,0.0,0.0,2.0,4.0,8.0,1.2,0.0
