date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,ATL,DET,26.323287671232876,1.0,20.833333333333332,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,4.0,3.0,0.0,-4.5,-19.0
2015-10-29,ATL,NYK,26.328767123287673,1.0,25.166666666666668,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,1.0,2.0,5.0,5.6,17.0
2015-10-30,ATL,CHO,26.33150684931507,1.0,30.633333333333333,7.0,13.0,0.538,4.0,5.0,0.8,1.0,2.0,0.5,2.0,7.0,9.0,1.0,0.0,0.0,1.0,3.0,19.0,14.3,-8.0
2015-11-01,ATL,CHO,26.336986301369862,1.0,28.216666666666665,6.0,12.0,0.5,2.0,5.0,0.4,6.0,6.0,1.0,0.0,4.0,4.0,1.0,3.0,1.0,0.0,1.0,20.0,19.2,-4.0
2015-11-03,ATL,MIA,26.34246575342466,1.0,32.45,4.0,8.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,0.0,2.0,1.0,10.0,8.2,-8.0
2015-11-04,ATL,BRK,26.345205479452055,1.0,27.45,3.0,6.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,8.0,10.2,7.0
2015-11-06,ATL,NOP,26.350684931506848,1.0,32.833333333333336,2.0,5.0,0.4,0.0,1.0,0.0,6.0,7.0,0.857,0.0,5.0,5.0,4.0,3.0,1.0,2.0,3.0,10.0,11.7,2.0
2015-11-07,ATL,WAS,26.353424657534248,1.0,29.15,10.0,15.0,0.667,4.0,7.0,0.571,1.0,1.0,1.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,25.0,23.8,13.0
2015-11-09,ATL,MIN,26.35890410958904,1.0,31.05,4.0,11.0,0.364,1.0,5.0,0.2,0.0,0.0,0.0,0.0,6.0,6.0,3.0,5.0,1.0,5.0,6.0,9.0,5.1,-10.0
2015-11-11,ATL,NOP,26.364383561643837,1.0,32.11666666666667,4.0,11.0,0.364,0.0,4.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,10.0,2.0,8.0
2015-11-13,ATL,BOS,26.36986301369863,1.0,27.85,6.0,13.0,0.462,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,12.0,4.5,-15.0
2015-11-15,ATL,UTA,26.375342465753423,1.0,29.75,6.0,7.0,0.857,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,0.0,16.0,16.9,0.0
2015-11-27,ATL,MEM,26.40821917808219,1.0,26.35,5.0,9.0,0.556,2.0,5.0,0.4,2.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,3.0,14.0,10.8,0.0
2015-11-28,ATL,SAS,26.410958904109588,0.0,19.816666666666666,5.0,10.0,0.5,0.0,2.0,0.0,1.0,1.0,1.0,0.0,7.0,7.0,0.0,1.0,1.0,2.0,3.0,11.0,6.6,0.0
2015-11-30,ATL,OKC,26.416438356164385,0.0,22.25,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,7.0,4.9,0.0
2015-12-02,ATL,TOR,26.421917808219177,0.0,25.8,2.0,9.0,0.222,1.0,3.0,0.333,4.0,6.0,0.667,0.0,3.0,3.0,0.0,1.0,1.0,1.0,4.0,9.0,2.7,0.0
2015-12-04,ATL,LAL,26.427397260273974,0.0,25.333333333333332,5.0,10.0,0.5,2.0,3.0,0.667,3.0,4.0,0.75,0.0,3.0,3.0,2.0,4.0,0.0,0.0,2.0,15.0,15.1,0.0
2015-12-09,ATL,DAL,26.44109589041096,0.0,22.8,5.0,10.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,8.0,8.0,2.0,0.0,1.0,1.0,2.0,12.0,9.7,0.0
2015-12-10,ATL,OKC,26.443835616438356,0.0,27.6,7.0,12.0,0.583,4.0,7.0,0.571,4.0,4.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,22.0,18.6,0.0
2015-12-12,ATL,SAS,26.44931506849315,0.0,24.616666666666667,4.0,11.0,0.364,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,9.0,6.5,0.0
2015-12-14,ATL,MIA,26.454794520547946,1.0,39.583333333333336,11.0,18.0,0.611,3.0,7.0,0.429,3.0,3.0,1.0,1.0,4.0,5.0,2.0,1.0,1.0,2.0,4.0,28.0,21.2,0.0
2015-12-16,ATL,PHI,26.46027397260274,1.0,24.5,2.0,5.0,0.4,0.0,1.0,0.0,4.0,4.0,1.0,0.0,7.0,7.0,3.0,1.0,2.0,0.0,0.0,8.0,11.9,6.0
2015-12-18,ATL,BOS,26.465753424657535,1.0,36.7,6.0,16.0,0.375,0.0,4.0,0.0,3.0,5.0,0.6,0.0,3.0,3.0,2.0,1.0,0.0,2.0,4.0,15.0,5.1,0.0
