date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-11-02,NYK,SAS,25.904109589041095,0.0,5.05,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,3.0
2015-11-04,NYK,CLE,25.90958904109589,0.0,9.533333333333333,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.3,6.0
2015-11-06,NYK,MIL,25.915068493150685,0.0,3.5166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2.0
2015-11-08,NYK,LAL,25.92054794520548,0.0,7.766666666666667,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.6,0.0
2015-11-10,NYK,TOR,25.926027397260274,0.0,8.483333333333333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,-1.0,1.0
2015-11-11,NYK,CHO,25.92876712328767,0.0,2.5666666666666664,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.4,-7.0
2015-11-15,NYK,NOP,25.93972602739726,0.0,14.183333333333334,6.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,12.0,10.1,0.0
2015-11-17,NYK,CHO,25.945205479452056,0.0,20.95,5.0,10.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,4.0,0.0,2.0,2.0,2.0,10.0,8.7,0.0
2015-11-20,NYK,OKC,25.953424657534246,0.0,11.15,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,-1.7,2.0
2015-11-21,NYK,HOU,25.956164383561642,0.0,6.55,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0
2015-11-23,NYK,MIA,25.96164383561644,0.0,5.283333333333333,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-0.5,4.0
2015-11-25,NYK,ORL,25.96712328767123,0.0,8.233333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,-2.5,0.0
2015-11-27,NYK,MIA,25.972602739726028,0.0,16.883333333333333,5.0,11.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,10.0,3.5,0.0
2015-11-29,NYK,HOU,25.97808219178082,0.0,31.733333333333334,7.0,10.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,1.0,4.0,5.0,3.0,14.0,12.3,0.0
2015-12-02,NYK,PHI,25.986301369863014,0.0,16.616666666666667,2.0,5.0,0.4,0.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,6.0,3.0,1.0,1.0,2.0,3.0,8.0,8.1,0.0
2015-12-04,NYK,BRK,25.991780821917807,0.0,14.133333333333333,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,3.0,4.0,2.4,0.0
2015-12-05,NYK,MIL,25.994520547945207,0.0,23.516666666666666,0.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,0.667,2.0,2.0,4.0,5.0,0.0,2.0,2.0,3.0,4.0,4.1,0.0
2015-12-07,NYK,DAL,26.0,0.0,15.633333333333333,3.0,8.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,4.2,0.0
2015-12-09,NYK,UTA,26.005479452054793,0.0,8.833333333333334,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,1.3,0.0
2015-12-16,NYK,MIN,26.024657534246575,0.0,6.766666666666667,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.4,7.0
2015-12-18,NYK,PHI,26.03013698630137,0.0,5.033333333333333,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0
