date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,NYK,MIL,20.23835616438356,1.0,24.25,3.0,11.0,0.273,1.0,2.0,0.5,9.0,12.0,0.75,2.0,3.0,5.0,1.0,1.0,1.0,2.0,3.0,16.0,9.8,3.0
2015-10-29,NYK,ATL,20.24109589041096,1.0,25.616666666666667,4.0,10.0,0.4,0.0,4.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,0.0,3.0,1.0,4.0,5.0,10.0,5.5,-6.0
2015-10-31,NYK,WAS,20.246575342465754,1.0,21.033333333333335,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,4.0,8.0,4.6,9.0
2015-11-02,NYK,SAS,20.252054794520546,1.0,24.133333333333333,5.0,15.0,0.333,1.0,5.0,0.2,2.0,2.0,1.0,8.0,6.0,14.0,1.0,3.0,2.0,2.0,5.0,13.0,13.0,-8.0
2015-11-04,NYK,CLE,20.257534246575343,1.0,20.65,6.0,11.0,0.545,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,2.0,0.0,5.0,13.0,11.4,0.0
2015-11-06,NYK,MIL,20.263013698630136,1.0,28.066666666666666,6.0,13.0,0.462,1.0,4.0,0.25,1.0,2.0,0.5,9.0,4.0,13.0,1.0,0.0,1.0,2.0,3.0,14.0,12.6,-7.0
2015-11-08,NYK,LAL,20.268493150684932,1.0,25.75,3.0,10.0,0.3,1.0,3.0,0.333,5.0,6.0,0.833,2.0,8.0,10.0,1.0,0.0,2.0,0.0,4.0,12.0,10.1,19.0
2015-11-10,NYK,TOR,20.273972602739725,1.0,20.433333333333334,3.0,11.0,0.273,0.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,6.0,1.0,0.0,0.0,3.0,3.0,8.0,1.0,5.0
2015-11-11,NYK,CHO,20.276712328767122,1.0,32.06666666666667,5.0,10.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0,15.0,0.0,0.0,2.0,3.0,2.0,10.0,7.9,6.0
2015-11-13,NYK,CLE,20.28219178082192,1.0,28.15,5.0,11.0,0.455,1.0,4.0,0.25,0.0,0.0,0.0,3.0,4.0,7.0,1.0,0.0,0.0,1.0,1.0,11.0,7.9,-1.0
2015-11-15,NYK,NOP,20.28767123287671,1.0,22.6,4.0,15.0,0.267,1.0,4.0,0.25,1.0,2.0,0.5,1.0,3.0,4.0,0.0,1.0,1.0,0.0,4.0,10.0,2.4,0.0
2015-11-17,NYK,CHO,20.293150684931508,1.0,31.133333333333333,10.0,17.0,0.588,2.0,2.0,1.0,7.0,7.0,1.0,2.0,9.0,11.0,0.0,0.0,1.0,1.0,2.0,29.0,24.1,19.0
2015-11-20,NYK,OKC,20.301369863013697,1.0,25.95,2.0,5.0,0.4,1.0,2.0,0.5,2.0,4.0,0.5,0.0,6.0,6.0,2.0,0.0,1.0,2.0,1.0,7.0,5.0,2.0
2015-11-21,NYK,HOU,20.304109589041097,1.0,35.8,8.0,12.0,0.667,2.0,3.0,0.667,6.0,6.0,1.0,5.0,9.0,14.0,2.0,0.0,7.0,3.0,1.0,24.0,27.9,0.0
2015-11-23,NYK,MIA,20.30958904109589,1.0,37.43333333333333,7.0,18.0,0.389,3.0,5.0,0.6,3.0,3.0,1.0,1.0,13.0,14.0,1.0,1.0,2.0,1.0,4.0,20.0,15.3,-9.0
2015-11-25,NYK,ORL,20.315068493150687,1.0,36.333333333333336,3.0,13.0,0.231,0.0,4.0,0.0,4.0,6.0,0.667,2.0,6.0,8.0,3.0,0.0,6.0,2.0,1.0,10.0,8.4,0.0
2015-11-27,NYK,MIA,20.32054794520548,1.0,23.733333333333334,5.0,11.0,0.455,0.0,1.0,0.0,1.0,2.0,0.5,0.0,8.0,8.0,0.0,2.0,3.0,3.0,5.0,11.0,6.4,0.0
2015-11-29,NYK,HOU,20.326027397260273,1.0,40.7,8.0,13.0,0.615,0.0,1.0,0.0,4.0,4.0,1.0,3.0,10.0,13.0,1.0,1.0,2.0,2.0,5.0,20.0,18.3,0.0
2015-12-02,NYK,PHI,20.334246575342465,1.0,29.75,6.0,10.0,0.6,2.0,2.0,1.0,3.0,3.0,1.0,1.0,9.0,10.0,2.0,0.0,4.0,2.0,1.0,17.0,17.6,0.0
2015-12-04,NYK,BRK,20.339726027397262,1.0,26.266666666666666,7.0,13.0,0.538,3.0,4.0,0.75,2.0,2.0,1.0,2.0,8.0,10.0,1.0,0.0,2.0,1.0,3.0,19.0,16.4,0.0
2015-12-05,NYK,MIL,20.34246575342466,1.0,21.733333333333334,4.0,8.0,0.5,0.0,1.0,0.0,4.0,4.0,1.0,3.0,4.0,7.0,1.0,0.0,0.0,5.0,5.0,12.0,5.0,0.0
2015-12-07,NYK,DAL,20.34794520547945,1.0,35.28333333333333,13.0,18.0,0.722,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,28.0,21.9,0.0
2015-12-09,NYK,UTA,20.353424657534248,1.0,13.266666666666667,2.0,8.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,-1.3,0.0
2015-12-10,NYK,SAC,20.356164383561644,1.0,33.916666666666664,4.0,11.0,0.364,1.0,2.0,0.5,4.0,5.0,0.8,2.0,5.0,7.0,2.0,2.0,3.0,3.0,4.0,13.0,10.3,0.0
2015-12-12,NYK,POR,20.361643835616437,1.0,19.2,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,2.0,3.0,0.0,-4.5,0.0
2015-12-16,NYK,MIN,20.372602739726027,1.0,29.233333333333334,4.0,14.0,0.286,1.0,6.0,0.167,2.0,2.0,1.0,2.0,4.0,6.0,3.0,0.0,7.0,3.0,2.0,11.0,8.6,3.0
2015-12-18,NYK,PHI,20.378082191780823,1.0,26.283333333333335,3.0,9.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,2.0,1.0,8.0,5.9,0.0
