date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,ATL,DET,34.61369863013699,1.0,28.7,3.0,9.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,7.0,1.6,-9.0
2015-10-29,ATL,NYK,34.61917808219178,1.0,32.25,6.0,8.0,0.75,3.0,5.0,0.6,0.0,0.0,0.0,0.0,7.0,7.0,2.0,1.0,0.0,1.0,2.0,15.0,14.5,20.0
2015-11-01,ATL,CHO,34.62739726027397,1.0,31.3,3.0,9.0,0.333,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,6.0,0.7,1.0
2015-11-03,ATL,MIA,34.632876712328766,1.0,34.483333333333334,4.0,11.0,0.364,1.0,6.0,0.167,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,3.0,1.0,9.0,3.5,11.0
2015-11-06,ATL,NOP,34.64109589041096,1.0,33.016666666666666,8.0,8.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,0.0,7.0,7.0,5.0,3.0,1.0,0.0,2.0,22.0,28.1,13.0
2015-11-07,ATL,WAS,34.64383561643836,1.0,25.783333333333335,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,4.0,7.0,6.5,3.0
2015-11-09,ATL,MIN,34.64931506849315,1.0,32.38333333333333,2.0,5.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,2.8,0.0
2015-11-11,ATL,NOP,34.654794520547945,1.0,33.31666666666667,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0,1.0,7.0,7.1,12.0
2015-11-13,ATL,BOS,34.66027397260274,1.0,31.05,4.0,6.0,0.667,3.0,5.0,0.6,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,11.0,7.2,-17.0
2015-11-15,ATL,UTA,34.66575342465753,1.0,33.55,5.0,7.0,0.714,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,2.0,2.0,11.0,9.0,0.0
2015-11-17,ATL,BRK,34.67123287671233,1.0,31.25,4.0,11.0,0.364,2.0,6.0,0.333,3.0,3.0,1.0,0.0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,13.0,6.6,0.0
