date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-11-06,LAL,BRK,22.846575342465755,0.0,15.6,2.0,4.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,0.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,6.0,2.5,10.0
2015-11-08,LAL,NYK,22.852054794520548,0.0,17.233333333333334,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,6.0
2015-11-10,LAL,MIA,22.85753424657534,0.0,20.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,6.0,3.2,4.0
2015-11-11,LAL,ORL,22.86027397260274,0.0,20.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,13.0,12.8,0.0
2015-11-13,LAL,DAL,22.865753424657534,0.0,11.383333333333333,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,-7.0
2015-11-15,LAL,DET,22.87123287671233,0.0,17.35,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,6.0,6.3,0.0
2015-11-16,LAL,PHO,22.873972602739727,0.0,22.85,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.3,-20.0
2015-11-20,LAL,TOR,22.884931506849316,0.0,18.45,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,-28.0
2015-11-24,LAL,GSW,22.895890410958906,0.0,17.933333333333334,4.0,7.0,0.571,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,10.0,9.1,-21.0
2015-11-28,LAL,POR,22.90684931506849,0.0,18.133333333333333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,3.0,3.5,0.0
2015-11-29,LAL,IND,22.90958904109589,0.0,14.65,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,4.0,1.6,0.0
2015-12-01,LAL,PHI,22.915068493150685,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0
2015-12-02,LAL,WAS,22.91780821917808,0.0,16.766666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,0.5,0.0
2015-12-04,LAL,ATL,22.923287671232877,0.0,20.216666666666665,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,6.0,7.6,0.0
2015-12-06,LAL,DET,22.92876712328767,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.7,0.0
2015-12-07,LAL,TOR,22.931506849315067,1.0,28.983333333333334,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,3.0,1.0,4.0,6.0,6.5,0.0
2015-12-09,LAL,MIN,22.936986301369863,1.0,22.333333333333332,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,1.7,0.0
2015-12-11,LAL,SAS,22.942465753424656,1.0,18.566666666666666,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,2.0,0.1,0.0
2015-12-12,LAL,HOU,22.945205479452056,1.0,25.05,3.0,9.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,1.0,5.0,6.0,1.0,1.0,0.0,1.0,2.0,8.0,5.0,0.0
2015-12-15,LAL,MIL,22.953424657534246,1.0,23.2,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,4.0,7.5,0.0
2015-12-17,LAL,HOU,22.958904109589042,1.0,28.383333333333333,5.0,8.0,0.625,0.0,0.0,0.0,1.0,2.0,0.5,2.0,3.0,5.0,0.0,1.0,1.0,1.0,5.0,11.0,8.0,-18.0
