date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MIA,CHO,30.534246575342465,1.0,30.416666666666668,5.0,8.0,0.625,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,13.0,11.3,-3.0
2015-10-30,MIA,CLE,30.53972602739726,1.0,29.2,4.0,8.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,2.0,4.0,6.0,2.0,1.0,0.0,1.0,3.0,10.0,8.4,4.0
2015-11-01,MIA,HOU,30.545205479452054,1.0,26.633333333333333,5.0,12.0,0.417,1.0,4.0,0.25,3.0,4.0,0.75,3.0,3.0,6.0,1.0,0.0,0.0,1.0,1.0,14.0,9.5,-2.0
2015-11-03,MIA,ATL,30.55068493150685,1.0,25.066666666666666,2.0,9.0,0.222,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,0.1,-4.0
2015-11-05,MIA,MIN,30.556164383561644,1.0,28.35,4.0,12.0,0.333,0.0,3.0,0.0,2.0,3.0,0.667,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,10.0,5.0,16.0
2015-11-06,MIA,IND,30.55890410958904,1.0,26.233333333333334,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,9.0,4.3,-14.0
2015-11-08,MIA,TOR,30.564383561643837,1.0,28.516666666666666,2.0,7.0,0.286,1.0,3.0,0.333,1.0,2.0,0.5,1.0,4.0,5.0,1.0,1.0,0.0,0.0,2.0,6.0,4.3,3.0
2015-11-10,MIA,LAL,30.56986301369863,1.0,29.616666666666667,5.0,9.0,0.556,3.0,6.0,0.5,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,0.0,0.0,2.0,14.0,16.3,15.0
2015-11-12,MIA,UTA,30.575342465753426,1.0,26.533333333333335,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,2.0,6.0,4.5,-10.0
2015-11-17,MIA,MIN,30.589041095890412,1.0,33.45,8.0,14.0,0.571,3.0,8.0,0.375,1.0,3.0,0.333,0.0,6.0,6.0,1.0,0.0,1.0,0.0,2.0,20.0,15.0,11.0
2015-11-19,MIA,SAC,30.594520547945205,1.0,31.05,1.0,7.0,0.143,0.0,4.0,0.0,6.0,9.0,0.667,2.0,2.0,4.0,1.0,2.0,2.0,0.0,1.0,8.0,8.0,-2.0
2015-11-21,MIA,PHI,30.6,1.0,25.166666666666668,4.0,7.0,0.571,2.0,5.0,0.4,1.0,2.0,0.5,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,11.0,9.4,0.0
2015-11-23,MIA,NYK,30.605479452054794,1.0,31.133333333333333,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,9.0,5.2,-4.0
2015-12-09,MIA,CHO,30.649315068493152,0.0,24.466666666666665,1.0,6.0,0.167,1.0,3.0,0.333,2.0,2.0,1.0,0.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,5.0,2.7,0.0
2015-12-11,MIA,IND,30.654794520547945,1.0,34.0,3.0,9.0,0.333,1.0,6.0,0.167,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,7.0,4.1,0.0
2015-12-13,MIA,MEM,30.660273972602738,1.0,35.93333333333333,6.0,10.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,1.0,6.0,7.0,1.0,1.0,0.0,0.0,2.0,15.0,13.8,0.0
2015-12-14,MIA,ATL,30.663013698630138,1.0,35.9,7.0,12.0,0.583,1.0,2.0,0.5,3.0,3.0,1.0,1.0,8.0,9.0,4.0,2.0,0.0,1.0,2.0,18.0,18.5,0.0
2015-12-16,MIA,BRK,30.66849315068493,1.0,35.916666666666664,2.0,6.0,0.333,0.0,2.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,3.0,1.0,0.0,3.0,0.0,5.0,3.5,-1.0
2015-12-18,MIA,TOR,30.673972602739727,1.0,34.21666666666667,2.0,9.0,0.222,2.0,5.0,0.4,3.0,4.0,0.75,1.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,9.0,6.0,0.0
