date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,SAS,OKC,38.25205479452055,0.0,18.833333333333332,5.0,8.0,0.625,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,3.0,0.0,11.0,11.3,-3.0
2015-10-30,SAS,BRK,38.25753424657534,0.0,21.616666666666667,5.0,12.0,0.417,2.0,6.0,0.333,0.0,0.0,0.0,0.0,5.0,5.0,4.0,1.0,1.0,1.0,0.0,12.0,10.6,16.0
2015-11-01,SAS,BOS,38.26301369863014,0.0,23.9,4.0,8.0,0.5,2.0,4.0,0.5,3.0,4.0,0.75,1.0,7.0,8.0,3.0,3.0,0.0,3.0,2.0,13.0,12.7,11.0
2015-11-02,SAS,NYK,38.26575342465753,0.0,17.1,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,7.0,4.8,-5.0
2015-11-04,SAS,WAS,38.271232876712325,0.0,21.866666666666667,4.0,7.0,0.571,2.0,4.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,12.0,11.7,10.0
2015-11-07,SAS,CHO,38.27945205479452,0.0,18.116666666666667,5.0,9.0,0.556,3.0,6.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,2.0,13.0,12.9,35.0
2015-11-09,SAS,SAC,38.28493150684932,0.0,17.65,2.0,7.0,0.286,0.0,4.0,0.0,2.0,3.0,0.667,1.0,2.0,3.0,5.0,2.0,0.0,3.0,1.0,6.0,4.9,-1.0
2015-11-11,SAS,POR,38.29041095890411,0.0,22.3,6.0,12.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,4.0,1.0,5.0,3.0,0.0,0.0,0.0,3.0,14.0,12.0,15.0
2015-11-16,SAS,POR,38.3041095890411,0.0,23.366666666666667,7.0,14.0,0.5,2.0,6.0,0.333,1.0,1.0,1.0,0.0,4.0,4.0,3.0,0.0,1.0,0.0,2.0,17.0,13.2,18.0
2015-11-21,SAS,MEM,38.31780821917808,0.0,22.65,6.0,11.0,0.545,2.0,4.0,0.5,1.0,2.0,0.5,1.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,15.0,11.9,0.0
2015-11-23,SAS,PHO,38.323287671232876,0.0,19.466666666666665,3.0,8.0,0.375,2.0,4.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,0.0,3.0,1.0,8.0,4.2,2.0
2015-11-25,SAS,DAL,38.32876712328767,0.0,28.533333333333335,2.0,12.0,0.167,0.0,6.0,0.0,5.0,8.0,0.625,0.0,5.0,5.0,3.0,1.0,0.0,4.0,2.0,9.0,0.0,0.0
2015-11-28,SAS,ATL,38.33698630136986,0.0,18.8,3.0,8.0,0.375,0.0,4.0,0.0,6.0,6.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,2.0,12.0,6.2,0.0
2015-11-30,SAS,CHI,38.342465753424655,0.0,17.7,1.0,4.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,4.0,2.9,0.0
2015-12-02,SAS,MIL,38.347945205479455,0.0,11.516666666666667,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,5.0,4.0,0.0
2015-12-03,SAS,MEM,38.35068493150685,0.0,22.216666666666665,4.0,7.0,0.571,2.0,2.0,1.0,3.0,4.0,0.75,0.0,3.0,3.0,4.0,1.0,0.0,3.0,2.0,13.0,10.2,0.0
2015-12-05,SAS,BOS,38.35616438356164,0.0,25.683333333333334,6.0,11.0,0.545,1.0,5.0,0.2,2.0,4.0,0.5,1.0,6.0,7.0,4.0,0.0,0.0,1.0,1.0,15.0,12.8,0.0
2015-12-09,SAS,TOR,38.367123287671234,0.0,24.566666666666666,5.0,11.0,0.455,1.0,6.0,0.167,6.0,8.0,0.75,1.0,3.0,4.0,3.0,2.0,0.0,2.0,5.0,17.0,12.2,0.0
2015-12-11,SAS,LAL,38.37260273972603,0.0,5.416666666666667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,4.4,0.0
2015-12-12,SAS,ATL,38.37534246575343,0.0,18.583333333333332,5.0,7.0,0.714,3.0,3.0,1.0,4.0,5.0,0.8,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,17.0,11.3,0.0
2015-12-14,SAS,UTA,38.38082191780822,0.0,11.683333333333334,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,4.0,0.9,0.0
2015-12-16,SAS,WAS,38.38630136986301,0.0,18.416666666666668,4.0,7.0,0.571,1.0,3.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,8.0,1.0,0.0,3.0,3.0,11.0,11.0,15.0
2015-12-18,SAS,LAC,38.391780821917806,0.0,20.766666666666666,1.0,6.0,0.167,1.0,2.0,0.5,2.0,2.0,1.0,1.0,0.0,1.0,5.0,2.0,0.0,0.0,3.0,5.0,6.2,0.0
