date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MEM,CLE,30.745205479452054,1.0,29.716666666666665,6.0,12.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,12.0,5.3,-6.0
2015-10-29,MEM,IND,30.747945205479454,1.0,32.516666666666666,7.0,13.0,0.538,0.0,0.0,0.0,6.0,7.0,0.857,1.0,7.0,8.0,3.0,0.0,1.0,0.0,1.0,20.0,18.5,13.0
2015-10-31,MEM,BRK,30.753424657534246,1.0,29.833333333333332,2.0,10.0,0.2,0.0,1.0,0.0,3.0,4.0,0.75,1.0,3.0,4.0,6.0,0.0,0.0,3.0,4.0,7.0,1.6,7.0
2015-11-02,MEM,GSW,30.75890410958904,1.0,25.666666666666668,5.0,12.0,0.417,0.0,0.0,0.0,3.0,3.0,1.0,3.0,6.0,9.0,3.0,0.0,1.0,2.0,2.0,13.0,10.5,-31.0
2015-11-03,MEM,SAC,30.76164383561644,1.0,17.633333333333333,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,8.0,5.3,7.0
2015-11-05,MEM,POR,30.767123287671232,1.0,27.65,4.0,13.0,0.308,0.0,0.0,0.0,7.0,10.0,0.7,1.0,4.0,5.0,3.0,0.0,2.0,1.0,2.0,15.0,9.9,-20.0
2015-11-07,MEM,UTA,30.77260273972603,1.0,38.31666666666667,4.0,14.0,0.286,0.0,0.0,0.0,5.0,5.0,1.0,3.0,7.0,10.0,6.0,0.0,1.0,4.0,3.0,13.0,8.7,-7.0
2015-11-09,MEM,LAC,30.778082191780822,1.0,37.083333333333336,5.0,8.0,0.625,0.0,0.0,0.0,8.0,12.0,0.667,1.0,6.0,7.0,3.0,0.0,0.0,4.0,5.0,18.0,11.4,2.0
2015-11-11,MEM,GSW,30.783561643835615,1.0,39.81666666666667,6.0,15.0,0.4,1.0,1.0,1.0,13.0,14.0,0.929,2.0,5.0,7.0,3.0,2.0,0.0,2.0,3.0,26.0,21.3,-5.0
2015-11-13,MEM,POR,30.78904109589041,1.0,40.81666666666667,11.0,18.0,0.611,1.0,1.0,1.0,8.0,8.0,1.0,1.0,3.0,4.0,5.0,0.0,0.0,0.0,2.0,31.0,27.1,-1.0
2015-11-15,MEM,MIN,30.794520547945204,1.0,37.266666666666666,7.0,10.0,0.7,0.0,0.0,0.0,2.0,2.0,1.0,1.0,6.0,7.0,4.0,0.0,2.0,4.0,4.0,16.0,12.9,0.0
2015-11-16,MEM,OKC,30.797260273972604,1.0,35.06666666666667,7.0,13.0,0.538,0.0,0.0,0.0,3.0,3.0,1.0,1.0,5.0,6.0,6.0,0.0,1.0,4.0,5.0,17.0,11.8,10.0
2015-11-20,MEM,HOU,30.80821917808219,1.0,37.43333333333333,7.0,14.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.0,8.0,11.0,11.0,4.0,0.0,2.0,2.0,16.0,22.4,14.0
2015-11-21,MEM,SAS,30.81095890410959,1.0,39.7,3.0,9.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,3.0,5.0,8.0,6.0,3.0,0.0,5.0,3.0,8.0,7.5,0.0
2015-11-24,MEM,DAL,30.81917808219178,1.0,36.11666666666667,4.0,12.0,0.333,0.0,0.0,0.0,7.0,7.0,1.0,0.0,10.0,10.0,4.0,0.0,2.0,1.0,4.0,15.0,12.8,12.0
2015-11-25,MEM,HOU,30.82191780821918,1.0,38.583333333333336,5.0,12.0,0.417,0.0,0.0,0.0,1.0,2.0,0.5,1.0,6.0,7.0,2.0,1.0,1.0,6.0,2.0,11.0,3.0,0.0
2015-11-27,MEM,ATL,30.827397260273973,1.0,36.55,4.0,9.0,0.444,0.0,0.0,0.0,5.0,6.0,0.833,1.0,7.0,8.0,2.0,0.0,0.0,2.0,2.0,13.0,9.3,0.0
2015-11-29,MEM,PHI,30.832876712328765,1.0,39.016666666666666,4.0,8.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,11.0,12.0,3.0,1.0,4.0,3.0,3.0,9.0,10.3,0.0
2015-12-01,MEM,NOP,30.838356164383562,1.0,42.18333333333333,11.0,22.0,0.5,0.0,0.0,0.0,16.0,16.0,1.0,0.0,13.0,13.0,6.0,0.0,4.0,3.0,1.0,38.0,34.5,10.0
2015-12-03,MEM,SAS,30.843835616438355,1.0,33.55,7.0,11.0,0.636,0.0,0.0,0.0,1.0,2.0,0.5,2.0,6.0,8.0,2.0,2.0,3.0,5.0,3.0,15.0,12.2,0.0
2015-12-06,MEM,PHO,30.852054794520548,1.0,36.5,9.0,17.0,0.529,0.0,0.0,0.0,4.0,6.0,0.667,1.0,7.0,8.0,0.0,0.0,2.0,1.0,2.0,22.0,15.3,0.0
2015-12-08,MEM,OKC,30.85753424657534,1.0,23.2,4.0,9.0,0.444,0.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,3.0,2.0,11.0,5.5,0.0
2015-12-09,MEM,DET,30.86027397260274,1.0,35.56666666666667,9.0,18.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,10.0,12.0,4.0,1.0,2.0,6.0,2.0,19.0,12.4,0.0
2015-12-11,MEM,CHO,30.865753424657534,1.0,37.3,5.0,11.0,0.455,0.0,0.0,0.0,7.0,8.0,0.875,0.0,9.0,9.0,5.0,2.0,1.0,4.0,2.0,17.0,15.0,0.0
2015-12-13,MEM,MIA,30.87123287671233,1.0,36.86666666666667,5.0,10.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,2.0,5.0,7.0,4.0,0.0,0.0,2.0,1.0,12.0,9.5,0.0
2015-12-14,MEM,WAS,30.873972602739727,1.0,39.03333333333333,9.0,17.0,0.529,0.0,0.0,0.0,6.0,6.0,1.0,1.0,11.0,12.0,6.0,1.0,3.0,3.0,4.0,24.0,22.4,0.0
2015-12-16,MEM,CHI,30.87945205479452,1.0,33.95,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,7.0,0.0,0.0,3.0,4.0,8.0,5.8,-10.0
2015-12-18,MEM,DAL,30.884931506849316,1.0,33.583333333333336,6.0,14.0,0.429,0.0,0.0,0.0,4.0,4.0,1.0,1.0,7.0,8.0,1.0,3.0,0.0,2.0,2.0,16.0,12.3,0.0
