date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,WAS,ORL,31.693150684931506,1.0,35.65,4.0,6.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,2.0,0.0,2.0,2.0,1.0,10.0,11.0,12.0
2015-10-30,WAS,MIL,31.698630136986303,1.0,26.483333333333334,3.0,6.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,3.0,6.0,9.0,1.0,0.0,1.0,3.0,2.0,9.0,7.1,-14.0
2015-10-31,WAS,NYK,31.7013698630137,1.0,25.55,2.0,8.0,0.25,0.0,0.0,0.0,5.0,6.0,0.833,1.0,4.0,5.0,1.0,1.0,0.0,4.0,5.0,9.0,1.4,-14.0
2015-11-04,WAS,SAS,31.71232876712329,1.0,28.05,4.0,9.0,0.444,0.0,0.0,0.0,2.0,2.0,1.0,0.0,8.0,8.0,1.0,0.0,1.0,3.0,3.0,10.0,4.9,6.0
2015-11-06,WAS,BOS,31.71780821917808,1.0,25.616666666666667,4.0,7.0,0.571,0.0,0.0,0.0,2.0,3.0,0.667,1.0,7.0,8.0,5.0,1.0,3.0,1.0,2.0,10.0,13.9,6.0
2015-11-07,WAS,ATL,31.720547945205478,1.0,26.216666666666665,4.0,8.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,1.0,9.0,10.0,1.0,2.0,1.0,3.0,1.0,10.0,9.4,-20.0
2015-11-10,WAS,OKC,31.72876712328767,1.0,27.2,5.0,11.0,0.455,0.0,0.0,0.0,5.0,6.0,0.833,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,15.0,10.6,-21.0
2015-11-14,WAS,ORL,31.73972602739726,1.0,27.816666666666666,4.0,9.0,0.444,0.0,0.0,0.0,5.0,7.0,0.714,5.0,5.0,10.0,1.0,0.0,1.0,0.0,3.0,13.0,12.7,6.0
2015-11-17,WAS,MIL,31.747945205479454,1.0,27.05,4.0,9.0,0.444,0.0,0.0,0.0,4.0,6.0,0.667,1.0,8.0,9.0,1.0,0.0,0.0,1.0,1.0,12.0,8.9,23.0
2015-11-21,WAS,DET,31.75890410958904,1.0,25.7,7.0,11.0,0.636,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,1.0,0.0,0.0,3.0,2.0,14.0,10.0,0.0
2015-11-24,WAS,IND,31.767123287671232,1.0,23.666666666666668,4.0,10.0,0.4,0.0,0.0,0.0,2.0,4.0,0.5,5.0,4.0,9.0,5.0,2.0,1.0,2.0,2.0,10.0,11.9,-16.0
2015-11-25,WAS,CHO,31.76986301369863,1.0,30.883333333333333,6.0,8.0,0.75,0.0,0.0,0.0,5.0,6.0,0.833,4.0,8.0,12.0,0.0,1.0,2.0,2.0,3.0,17.0,17.8,0.0
2015-11-27,WAS,BOS,31.775342465753425,1.0,29.25,1.0,8.0,0.125,0.0,0.0,0.0,2.0,2.0,1.0,6.0,3.0,9.0,4.0,0.0,0.0,3.0,3.0,4.0,2.5,0.0
2015-11-28,WAS,TOR,31.778082191780822,1.0,33.86666666666667,8.0,14.0,0.571,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,10.0,1.0,1.0,1.0,2.0,4.0,16.0,12.0,0.0
2015-12-01,WAS,CLE,31.786301369863015,1.0,32.71666666666667,7.0,10.0,0.7,0.0,0.0,0.0,1.0,2.0,0.5,0.0,11.0,11.0,0.0,1.0,4.0,3.0,5.0,15.0,12.5,0.0
2015-12-02,WAS,LAL,31.78904109589041,1.0,37.166666666666664,9.0,15.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,1.0,2.0,1.0,3.0,3.0,18.0,14.1,0.0
2015-12-09,WAS,HOU,31.80821917808219,1.0,35.88333333333333,7.0,10.0,0.7,0.0,0.0,0.0,4.0,4.0,1.0,4.0,9.0,13.0,1.0,1.0,1.0,4.0,5.0,18.0,15.7,0.0
2015-12-11,WAS,NOP,31.813698630136987,1.0,31.266666666666666,5.0,12.0,0.417,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,8.0,2.0,0.0,1.0,1.0,1.0,10.0,6.7,0.0
2015-12-12,WAS,DAL,31.816438356164383,1.0,32.03333333333333,7.0,9.0,0.778,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,12.0,2.0,0.0,1.0,0.0,1.0,14.0,15.4,0.0
2015-12-14,WAS,MEM,31.82191780821918,1.0,25.933333333333334,4.0,11.0,0.364,0.0,0.0,0.0,2.0,4.0,0.5,3.0,6.0,9.0,0.0,2.0,0.0,3.0,1.0,10.0,5.6,0.0
2015-12-16,WAS,SAS,31.827397260273973,1.0,39.55,9.0,15.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,2.0,8.0,10.0,2.0,1.0,3.0,1.0,0.0,20.0,20.4,-10.0
