date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,CHO,MIA,29.35890410958904,1.0,37.86666666666667,4.0,10.0,0.4,0.0,5.0,0.0,2.0,2.0,1.0,2.0,8.0,10.0,3.0,0.0,0.0,1.0,1.0,10.0,9.1,4.0
2015-10-30,CHO,ATL,29.364383561643837,1.0,35.6,5.0,11.0,0.455,3.0,5.0,0.6,0.0,0.0,0.0,3.0,9.0,12.0,3.0,0.0,1.0,2.0,2.0,13.0,12.1,5.0
2015-11-01,CHO,ATL,29.36986301369863,1.0,32.96666666666667,5.0,10.0,0.5,5.0,8.0,0.625,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,3.0,2.0,0.0,15.0,12.3,6.0
2015-11-03,CHO,CHI,29.375342465753423,1.0,25.033333333333335,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,3.0,0.0,0.0,0.0,0.0,4.0,6.5,22.0
2015-11-05,CHO,DAL,29.38082191780822,1.0,32.15,6.0,11.0,0.545,3.0,5.0,0.6,2.0,3.0,0.667,2.0,10.0,12.0,2.0,0.0,1.0,1.0,3.0,17.0,15.6,16.0
2015-11-07,CHO,SAS,29.386301369863013,1.0,26.916666666666668,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,9.0,7.5,8.0
2015-11-10,CHO,MIN,29.394520547945206,1.0,35.416666666666664,2.0,6.0,0.333,1.0,4.0,0.25,2.0,2.0,1.0,1.0,9.0,10.0,0.0,2.0,2.0,2.0,4.0,7.0,6.8,3.0
2015-11-11,CHO,NYK,29.397260273972602,1.0,29.016666666666666,3.0,6.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,8.0,9.0,-9.0
2015-11-13,CHO,CHI,29.4027397260274,1.0,34.916666666666664,5.0,11.0,0.455,3.0,6.0,0.5,1.0,1.0,1.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,3.0,14.0,11.1,-7.0
2015-11-15,CHO,POR,29.40821917808219,1.0,34.46666666666667,3.0,8.0,0.375,0.0,3.0,0.0,1.0,2.0,0.5,0.0,8.0,8.0,2.0,1.0,2.0,1.0,2.0,7.0,6.6,0.0
2015-11-17,CHO,NYK,29.413698630136988,1.0,29.866666666666667,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.5,-3.0
2015-11-18,CHO,BRK,29.416438356164385,1.0,35.916666666666664,4.0,9.0,0.444,2.0,5.0,0.4,4.0,4.0,1.0,4.0,5.0,9.0,2.0,1.0,1.0,1.0,1.0,14.0,15.3,4.0
2015-11-20,CHO,PHI,29.421917808219177,1.0,28.516666666666666,3.0,7.0,0.429,2.0,3.0,0.667,3.0,3.0,1.0,3.0,6.0,9.0,0.0,1.0,2.0,1.0,2.0,11.0,11.8,17.0
