date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,CLE,CHI,25.134246575342466,0.0,20.2,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,6.0,4.6,2.0
2015-10-28,CLE,MEM,25.136986301369863,0.0,17.983333333333334,5.0,9.0,0.556,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,12.0,11.3,29.0
2015-10-30,CLE,MIA,25.14246575342466,0.0,26.966666666666665,1.0,5.0,0.2,1.0,4.0,0.25,2.0,2.0,1.0,1.0,4.0,5.0,10.0,1.0,0.0,0.0,0.0,5.0,11.8,21.0
2015-11-02,CLE,PHI,25.15068493150685,0.0,34.36666666666667,5.0,8.0,0.625,1.0,3.0,0.333,1.0,2.0,0.5,3.0,2.0,5.0,9.0,0.0,0.0,3.0,2.0,12.0,13.2,11.0
2015-11-04,CLE,NYK,25.156164383561645,0.0,27.416666666666668,2.0,7.0,0.286,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,0.0,0.0,3.0,2.0,5.0,3.3,12.0
2015-11-06,CLE,PHI,25.161643835616438,0.0,25.9,4.0,11.0,0.364,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,11.0,3.3,-15.0
2015-11-08,CLE,IND,25.167123287671235,0.0,32.583333333333336,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,9.0,1.0,0.0,2.0,3.0,5.0,8.7,14.0
2015-11-10,CLE,UTA,25.172602739726027,0.0,22.983333333333334,4.0,7.0,0.571,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,3.0,9.0,8.9,-4.0
2015-11-13,CLE,NYK,25.18082191780822,0.0,27.633333333333333,4.0,8.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,9.0,5.4,13.0
2015-11-14,CLE,MIL,25.183561643835617,0.0,28.633333333333333,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,2.0,0.0,4.0,2.0,0.0,0.6,-3.0
2015-11-17,CLE,DET,25.19178082191781,0.0,20.3,1.0,6.0,0.167,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,2.0,-0.1,-3.0
2015-11-19,CLE,MIL,25.197260273972603,1.0,38.5,2.0,6.0,0.333,1.0,4.0,0.25,2.0,3.0,0.667,0.0,1.0,1.0,13.0,0.0,0.0,3.0,2.0,7.0,8.8,14.0
2015-11-21,CLE,ATL,25.202739726027396,1.0,28.1,4.0,6.0,0.667,1.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,5.0,12.0,11.1,0.0
2015-11-23,CLE,ORL,25.208219178082192,1.0,23.85,5.0,8.0,0.625,4.0,6.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,15.0,18.3,15.0
2015-11-27,CLE,CHO,25.21917808219178,0.0,33.483333333333334,2.0,7.0,0.286,1.0,4.0,0.25,2.0,2.0,1.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,3.0,7.0,6.2,0.0
2015-11-28,CLE,BRK,25.221917808219178,0.0,25.383333333333333,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,6.0,0.0,0.0,3.0,1.0,3.0,2.3,0.0
2015-12-01,CLE,WAS,25.23013698630137,0.0,27.433333333333334,5.0,9.0,0.556,3.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,15.0,13.5,0.0
2015-12-04,CLE,NOP,25.23835616438356,1.0,42.03333333333333,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,3.0,3.0,8.0,5.9,0.0
2015-12-05,CLE,MIA,25.24109589041096,1.0,28.283333333333335,4.0,11.0,0.364,1.0,3.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,5.0,0.0,1.0,3.0,2.0,11.0,5.9,0.0
2015-12-08,CLE,POR,25.24931506849315,1.0,36.7,7.0,12.0,0.583,3.0,5.0,0.6,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,4.0,17.0,12.8,0.0
2015-12-11,CLE,ORL,25.257534246575343,1.0,24.133333333333333,5.0,7.0,0.714,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,3.0,12.0,10.4,0.0
2015-12-15,CLE,BOS,25.268493150684932,1.0,27.5,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,4.0,2.0,-0.3,0.0
2015-12-17,CLE,OKC,25.273972602739725,1.0,38.75,3.0,10.0,0.3,3.0,6.0,0.5,2.0,2.0,1.0,2.0,3.0,5.0,10.0,0.0,0.0,1.0,3.0,11.0,12.3,2.0
