date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,POR,NOP,23.665753424657535,1.0,34.03333333333333,5.0,12.0,0.417,2.0,7.0,0.286,0.0,0.0,0.0,2.0,6.0,8.0,3.0,1.0,1.0,2.0,2.0,12.0,9.8,25.0
2015-10-30,POR,PHO,23.671232876712327,1.0,17.55,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,5.0,0.0,-5.2,-13.0
2015-10-31,POR,PHO,23.673972602739727,1.0,30.966666666666665,3.0,8.0,0.375,0.0,4.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,9.0,5.8,-16.0
2015-11-02,POR,MIN,23.67945205479452,1.0,23.866666666666667,1.0,7.0,0.143,0.0,4.0,0.0,2.0,2.0,1.0,1.0,6.0,7.0,1.0,0.0,1.0,1.0,3.0,4.0,1.2,-2.0
2015-11-04,POR,UTA,23.684931506849313,1.0,11.433333333333334,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0
2015-11-05,POR,MEM,23.687671232876713,1.0,27.466666666666665,5.0,7.0,0.714,1.0,3.0,0.333,3.0,3.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,5.0,14.0,12.4,23.0
2015-11-08,POR,DET,23.695890410958903,1.0,33.25,7.0,13.0,0.538,3.0,5.0,0.6,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,17.0,9.4,-28.0
2015-11-09,POR,DEN,23.698630136986303,1.0,34.46666666666667,5.0,10.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,1.0,8.0,9.0,4.0,0.0,0.0,2.0,6.0,11.0,7.5,13.0
2015-11-11,POR,SAS,23.704109589041096,1.0,23.933333333333334,3.0,4.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,7.0,7.9,3.0
2015-11-28,POR,LAL,23.75068493150685,0.0,21.766666666666666,3.0,7.0,0.429,1.0,5.0,0.2,0.0,0.0,0.0,1.0,5.0,6.0,2.0,0.0,1.0,0.0,1.0,7.0,7.2,0.0
2015-11-30,POR,LAC,23.756164383561643,0.0,18.233333333333334,1.0,6.0,0.167,0.0,2.0,0.0,2.0,2.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,3.0,4.0,1.2,0.0
2015-12-01,POR,DAL,23.75890410958904,0.0,31.883333333333333,8.0,17.0,0.471,4.0,11.0,0.364,3.0,3.0,1.0,1.0,6.0,7.0,1.0,1.0,0.0,0.0,6.0,23.0,16.1,0.0
2015-12-03,POR,IND,23.764383561643836,0.0,24.666666666666668,5.0,10.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,12.0,7.1,0.0
2015-12-05,POR,MIN,23.76986301369863,0.0,23.616666666666667,6.0,10.0,0.6,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,14.0,6.8,0.0
2015-12-07,POR,MIL,23.775342465753425,0.0,23.283333333333335,3.0,10.0,0.3,0.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,1.0,3.0,3.0,6.0,0.0,0.0
2015-12-08,POR,CLE,23.778082191780822,0.0,16.433333333333334,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,7.0,3.6,0.0
2015-12-11,POR,PHO,23.786301369863015,0.0,17.016666666666666,1.0,8.0,0.125,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,-3.3,0.0
2015-12-12,POR,NYK,23.78904109589041,0.0,19.333333333333332,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,3.0,0.0,0.0,0.0,3.0,4.0,5.1,0.0
2015-12-14,POR,NOP,23.794520547945204,0.0,17.183333333333334,1.0,5.0,0.2,0.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,2.0,1.0,2.0,0.5,0.0
2015-12-16,POR,OKC,23.8,0.0,25.8,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,1.0,4.0,4.0,-0.2,-3.0
2015-12-18,POR,ORL,23.805479452054794,0.0,21.666666666666668,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,2.0,2.0,4.0,0.3,0.0
