date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MEM,CLE,28.046575342465754,1.0,29.433333333333334,2.0,8.0,0.25,0.0,2.0,0.0,4.0,4.0,1.0,0.0,4.0,4.0,6.0,0.0,0.0,1.0,1.0,8.0,7.2,-17.0
2015-10-29,MEM,IND,28.04931506849315,1.0,30.266666666666666,5.0,11.0,0.455,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,10.0,2.0,0.0,4.0,4.0,13.0,12.7,3.0
2015-10-31,MEM,BRK,28.054794520547944,1.0,32.43333333333333,7.0,12.0,0.583,4.0,7.0,0.571,4.0,4.0,1.0,0.0,2.0,2.0,8.0,1.0,0.0,1.0,0.0,22.0,22.6,5.0
2015-11-02,MEM,GSW,28.06027397260274,1.0,26.45,2.0,8.0,0.25,0.0,2.0,0.0,6.0,7.0,0.857,0.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,10.0,9.5,-41.0
2015-11-03,MEM,SAC,28.063013698630137,1.0,25.2,5.0,9.0,0.556,1.0,4.0,0.25,3.0,3.0,1.0,1.0,2.0,3.0,6.0,1.0,0.0,1.0,2.0,14.0,14.4,9.0
2015-11-05,MEM,POR,28.068493150684933,1.0,31.166666666666668,2.0,8.0,0.25,0.0,2.0,0.0,3.0,4.0,0.75,0.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,7.0,2.5,-18.0
2015-11-07,MEM,UTA,28.073972602739726,1.0,39.63333333333333,8.0,25.0,0.32,3.0,10.0,0.3,1.0,1.0,1.0,0.0,4.0,4.0,5.0,1.0,0.0,4.0,4.0,20.0,5.8,2.0
2015-11-09,MEM,LAC,28.07945205479452,1.0,35.03333333333333,6.0,15.0,0.4,1.0,5.0,0.2,3.0,4.0,0.75,3.0,3.0,6.0,5.0,1.0,0.0,2.0,0.0,16.0,13.0,8.0
2015-11-11,MEM,GSW,28.084931506849315,1.0,33.11666666666667,1.0,12.0,0.083,0.0,4.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,9.0,3.0,0.0,4.0,5.0,4.0,-0.1,-5.0
2015-11-13,MEM,POR,28.09041095890411,1.0,33.333333333333336,4.0,13.0,0.308,1.0,4.0,0.25,2.0,3.0,0.667,1.0,0.0,1.0,9.0,0.0,0.0,1.0,2.0,11.0,8.3,0.0
2015-11-15,MEM,MIN,28.095890410958905,1.0,32.81666666666667,7.0,14.0,0.5,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,20.0,18.1,0.0
2015-11-16,MEM,OKC,28.0986301369863,1.0,31.383333333333333,8.0,13.0,0.615,4.0,5.0,0.8,2.0,3.0,0.667,1.0,3.0,4.0,9.0,2.0,0.0,0.0,1.0,22.0,25.2,-3.0
2015-11-20,MEM,HOU,28.10958904109589,1.0,33.93333333333333,10.0,17.0,0.588,3.0,6.0,0.5,3.0,4.0,0.75,0.0,3.0,3.0,5.0,3.0,0.0,2.0,5.0,26.0,21.1,8.0
2015-11-21,MEM,SAS,28.112328767123287,1.0,32.016666666666666,5.0,12.0,0.417,0.0,1.0,0.0,6.0,6.0,1.0,0.0,3.0,3.0,5.0,2.0,1.0,1.0,2.0,16.0,14.9,0.0
2015-11-24,MEM,DAL,28.12054794520548,1.0,29.983333333333334,8.0,17.0,0.471,1.0,4.0,0.25,4.0,4.0,1.0,2.0,1.0,3.0,6.0,1.0,0.0,0.0,3.0,21.0,18.0,13.0
2015-11-25,MEM,HOU,28.123287671232877,1.0,33.28333333333333,7.0,9.0,0.778,1.0,2.0,0.5,4.0,4.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,2.0,19.0,16.5,0.0
2015-11-27,MEM,ATL,28.12876712328767,1.0,38.1,4.0,13.0,0.308,2.0,6.0,0.333,6.0,6.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,3.0,1.0,16.0,11.7,0.0
2015-11-29,MEM,PHI,28.134246575342466,1.0,36.81666666666667,6.0,14.0,0.429,1.0,2.0,0.5,7.0,8.0,0.875,0.0,4.0,4.0,5.0,1.0,2.0,5.0,2.0,20.0,13.5,0.0
2015-12-01,MEM,NOP,28.13972602739726,1.0,24.383333333333333,5.0,10.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,11.0,6.7,-13.0
2015-12-03,MEM,SAS,28.145205479452056,1.0,28.25,5.0,13.0,0.385,0.0,2.0,0.0,5.0,5.0,1.0,1.0,4.0,5.0,4.0,0.0,2.0,1.0,1.0,15.0,12.6,0.0
2015-12-06,MEM,PHO,28.153424657534245,1.0,34.46666666666667,4.0,14.0,0.286,2.0,5.0,0.4,2.0,4.0,0.5,0.0,1.0,1.0,6.0,3.0,1.0,1.0,3.0,12.0,9.0,0.0
2015-12-08,MEM,OKC,28.15890410958904,1.0,21.8,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,-1.1,0.0
2015-12-09,MEM,DET,28.161643835616438,1.0,29.183333333333334,4.0,13.0,0.308,1.0,6.0,0.167,2.0,3.0,0.667,1.0,0.0,1.0,8.0,0.0,0.0,2.0,1.0,11.0,7.0,0.0
2015-12-11,MEM,CHO,28.167123287671235,1.0,30.433333333333334,4.0,8.0,0.5,2.0,4.0,0.5,6.0,7.0,0.857,1.0,2.0,3.0,4.0,0.0,2.0,0.0,2.0,16.0,16.3,0.0
2015-12-13,MEM,MIA,28.172602739726027,1.0,26.0,4.0,11.0,0.364,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,9.0,7.1,0.0
2015-12-14,MEM,WAS,28.175342465753424,1.0,37.416666666666664,7.0,14.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,1.0,3.0,4.0,11.0,2.0,0.0,2.0,1.0,18.0,19.9,0.0
2015-12-16,MEM,CHI,28.18082191780822,1.0,34.13333333333333,3.0,14.0,0.214,1.0,8.0,0.125,1.0,2.0,0.5,1.0,6.0,7.0,2.0,1.0,1.0,1.0,2.0,8.0,2.8,-8.0
2015-12-18,MEM,DAL,28.186301369863013,1.0,34.93333333333333,6.0,12.0,0.5,1.0,2.0,0.5,7.0,7.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,2.0,2.0,20.0,15.2,0.0
