date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,CHO,MIA,26.87123287671233,1.0,32.5,3.0,12.0,0.25,2.0,6.0,0.333,1.0,2.0,0.5,2.0,4.0,6.0,3.0,0.0,0.0,3.0,3.0,9.0,1.9,-3.0
2015-10-30,CHO,ATL,26.876712328767123,1.0,33.36666666666667,6.0,10.0,0.6,1.0,4.0,0.25,1.0,1.0,1.0,2.0,9.0,11.0,4.0,1.0,0.0,7.0,2.0,14.0,9.5,7.0
2015-11-01,CHO,ATL,26.882191780821916,1.0,36.25,5.0,14.0,0.357,4.0,9.0,0.444,2.0,2.0,1.0,3.0,2.0,5.0,8.0,2.0,2.0,2.0,2.0,16.0,17.1,1.0
2015-11-03,CHO,CHI,26.887671232876713,1.0,28.45,4.0,11.0,0.364,1.0,2.0,0.5,9.0,9.0,1.0,0.0,8.0,8.0,3.0,0.0,0.0,1.0,1.0,18.0,15.0,17.0
2015-11-05,CHO,DAL,26.893150684931506,1.0,34.06666666666667,3.0,10.0,0.3,0.0,5.0,0.0,2.0,2.0,1.0,1.0,6.0,7.0,4.0,2.0,1.0,1.0,1.0,8.0,8.8,12.0
2015-11-07,CHO,SAS,26.898630136986302,1.0,32.46666666666667,2.0,6.0,0.333,1.0,2.0,0.5,5.0,5.0,1.0,1.0,3.0,4.0,4.0,3.0,0.0,4.0,3.0,10.0,8.8,-19.0
2015-11-10,CHO,MIN,26.90684931506849,1.0,35.13333333333333,6.0,11.0,0.545,3.0,5.0,0.6,2.0,2.0,1.0,0.0,6.0,6.0,3.0,0.0,2.0,4.0,3.0,17.0,11.8,-5.0
2015-11-11,CHO,NYK,26.90958904109589,1.0,36.35,10.0,18.0,0.556,2.0,5.0,0.4,2.0,5.0,0.4,1.0,4.0,5.0,1.0,1.0,0.0,2.0,0.0,24.0,15.8,1.0
2015-11-13,CHO,CHI,26.915068493150685,1.0,34.7,10.0,17.0,0.588,5.0,6.0,0.833,3.0,3.0,1.0,3.0,5.0,8.0,2.0,2.0,0.0,2.0,1.0,28.0,24.7,2.0
2015-11-15,CHO,POR,26.92054794520548,1.0,38.88333333333333,11.0,19.0,0.579,5.0,10.0,0.5,6.0,7.0,0.857,0.0,5.0,5.0,6.0,0.0,0.0,2.0,2.0,33.0,26.6,0.0
2015-11-17,CHO,NYK,26.926027397260274,1.0,35.18333333333333,1.0,9.0,0.111,1.0,4.0,0.25,1.0,2.0,0.5,0.0,6.0,6.0,0.0,0.0,0.0,1.0,2.0,4.0,-2.3,-18.0
2015-11-18,CHO,BRK,26.92876712328767,1.0,40.6,7.0,12.0,0.583,3.0,6.0,0.5,7.0,7.0,1.0,0.0,1.0,1.0,8.0,1.0,2.0,4.0,1.0,24.0,22.3,0.0
2015-11-20,CHO,PHI,26.934246575342467,1.0,31.833333333333332,4.0,9.0,0.444,3.0,4.0,0.75,3.0,3.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,4.0,2.0,14.0,8.2,17.0
2015-11-23,CHO,SAC,26.942465753424656,1.0,43.3,5.0,16.0,0.313,1.0,7.0,0.143,7.0,7.0,1.0,1.0,9.0,10.0,8.0,2.0,1.0,5.0,1.0,18.0,15.1,4.0
2015-11-25,CHO,WAS,26.947945205479453,1.0,33.71666666666667,5.0,15.0,0.333,3.0,7.0,0.429,3.0,3.0,1.0,1.0,6.0,7.0,11.0,2.0,0.0,2.0,1.0,16.0,17.3,0.0
2015-11-27,CHO,CLE,26.953424657534246,1.0,38.666666666666664,6.0,13.0,0.462,1.0,7.0,0.143,4.0,5.0,0.8,2.0,6.0,8.0,4.0,1.0,0.0,3.0,2.0,17.0,13.1,0.0
2015-11-29,CHO,MIL,26.958904109589042,1.0,33.65,4.0,13.0,0.308,3.0,8.0,0.375,4.0,5.0,0.8,2.0,3.0,5.0,5.0,2.0,1.0,9.0,1.0,15.0,6.2,0.0
2015-12-02,CHO,GSW,26.96712328767123,1.0,30.2,6.0,15.0,0.4,1.0,6.0,0.167,4.0,5.0,0.8,2.0,6.0,8.0,3.0,3.0,2.0,2.0,2.0,17.0,15.4,0.0
2015-12-05,CHO,CHI,26.975342465753425,1.0,35.31666666666667,8.0,16.0,0.5,4.0,6.0,0.667,4.0,6.0,0.667,0.0,11.0,11.0,5.0,0.0,1.0,3.0,1.0,24.0,19.3,0.0
2015-12-07,CHO,DET,26.980821917808218,1.0,33.7,4.0,15.0,0.267,2.0,7.0,0.286,3.0,3.0,1.0,1.0,6.0,7.0,8.0,2.0,0.0,4.0,0.0,13.0,10.2,0.0
2015-12-09,CHO,MIA,26.986301369863014,1.0,27.883333333333333,3.0,9.0,0.333,1.0,4.0,0.25,3.0,4.0,0.75,0.0,11.0,11.0,11.0,1.0,1.0,3.0,1.0,10.0,13.8,0.0
2015-12-11,CHO,MEM,26.991780821917807,1.0,30.266666666666666,7.0,11.0,0.636,5.0,8.0,0.625,1.0,1.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,20.0,17.7,0.0
2015-12-12,CHO,BOS,26.994520547945207,1.0,37.86666666666667,9.0,21.0,0.429,2.0,10.0,0.2,1.0,1.0,1.0,0.0,8.0,8.0,2.0,0.0,0.0,4.0,2.0,21.0,8.9,0.0
2015-12-16,CHO,ORL,27.005479452054793,1.0,19.75,2.0,7.0,0.286,2.0,4.0,0.5,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,4.0,6.0,1.1,-11.0
