date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,DEN,HOU,20.687671232876713,0.0,3.9166666666666665,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.7,0.0
2015-10-30,DEN,MIN,20.693150684931506,0.0,18.15,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,1.0,0.0,0.0,2.0,3.0,10.0,7.8,11.0
2015-11-01,DEN,OKC,20.698630136986303,0.0,24.433333333333334,4.0,9.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,8.0,3.9,-2.0
2015-11-05,DEN,UTA,20.70958904109589,0.0,17.733333333333334,1.0,4.0,0.25,0.0,0.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,5.0,2.8,-5.0
2015-11-06,DEN,GSW,20.71232876712329,0.0,17.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.2,-5.0
2015-11-09,DEN,POR,20.720547945205478,0.0,15.616666666666667,3.0,3.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,10.0,10.6,-2.0
2015-11-11,DEN,MIL,20.726027397260275,0.0,14.433333333333334,4.0,7.0,0.571,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,5.0,4.0,2.0,0.0,2.0,0.0,8.0,9.8,8.0
2015-11-13,DEN,HOU,20.731506849315068,0.0,5.8,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,2.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,1.4,4.0
2015-11-14,DEN,PHO,20.734246575342464,0.0,18.283333333333335,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,3.0,0.0,0.0,3.0,4.0,7.1,2.0
2015-11-17,DEN,NOP,20.742465753424657,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
2015-11-18,DEN,SAS,20.745205479452054,0.0,31.9,8.0,13.0,0.615,1.0,1.0,1.0,6.0,6.0,1.0,6.0,6.0,12.0,0.0,2.0,3.0,0.0,2.0,23.0,26.4,-3.0
2015-11-20,DEN,PHO,20.75068493150685,1.0,17.85,2.0,6.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0,6.0,5.1,-10.0
