date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,WAS,ORL,22.4027397260274,1.0,36.916666666666664,3.0,10.0,0.3,1.0,5.0,0.2,0.0,0.0,0.0,2.0,6.0,8.0,5.0,2.0,0.0,1.0,1.0,7.0,8.5,17.0
2015-10-30,WAS,MIL,22.40821917808219,1.0,30.983333333333334,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,6.0,3.7,-16.0
2015-10-31,WAS,NYK,22.410958904109588,1.0,35.0,7.0,13.0,0.538,0.0,4.0,0.0,2.0,2.0,1.0,2.0,7.0,9.0,1.0,2.0,0.0,1.0,3.0,16.0,13.7,-12.0
2015-11-04,WAS,SAS,22.421917808219177,1.0,37.5,8.0,10.0,0.8,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,19.0,16.9,11.0
2015-11-06,WAS,BOS,22.427397260273974,1.0,23.85,4.0,8.0,0.5,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,4.0,9.0,5.8,-6.0
2015-11-07,WAS,ATL,22.43013698630137,1.0,39.38333333333333,8.0,12.0,0.667,3.0,5.0,0.6,4.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,23.0,19.0,-12.0
2015-11-10,WAS,OKC,22.438356164383563,1.0,27.933333333333334,4.0,9.0,0.444,0.0,3.0,0.0,6.0,7.0,0.857,1.0,4.0,5.0,0.0,2.0,0.0,1.0,2.0,14.0,11.0,-21.0
2015-11-14,WAS,ORL,22.44931506849315,1.0,36.15,4.0,13.0,0.308,1.0,5.0,0.2,0.0,0.0,0.0,0.0,10.0,10.0,4.0,4.0,1.0,1.0,3.0,9.0,9.8,17.0
2015-11-17,WAS,MIL,22.457534246575342,1.0,30.35,7.0,11.0,0.636,1.0,3.0,0.333,4.0,5.0,0.8,1.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,19.0,17.6,31.0
2015-11-21,WAS,DET,22.46849315068493,1.0,31.25,6.0,12.0,0.5,2.0,3.0,0.667,3.0,4.0,0.75,2.0,3.0,5.0,1.0,2.0,0.0,1.0,2.0,17.0,13.8,0.0
2015-11-24,WAS,IND,22.476712328767125,1.0,24.983333333333334,2.0,8.0,0.25,1.0,4.0,0.25,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,0.0,0.0,4.0,7.0,6.4,-15.0
2015-11-25,WAS,CHO,22.47945205479452,1.0,27.0,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,3.0,-0.8,0.0
2015-11-27,WAS,BOS,22.484931506849314,1.0,21.666666666666668,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,2.0,0.0,1.0,3.0,6.0,3.3,0.0
2015-11-28,WAS,TOR,22.487671232876714,1.0,38.8,3.0,10.0,0.3,3.0,5.0,0.6,4.0,4.0,1.0,2.0,3.0,5.0,2.0,1.0,0.0,3.0,1.0,13.0,8.5,0.0
2015-12-01,WAS,CLE,22.495890410958904,1.0,41.8,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,1.0,1.0,4.0,6.0,2.6,0.0
2015-12-02,WAS,LAL,22.4986301369863,1.0,30.266666666666666,2.0,8.0,0.25,0.0,4.0,0.0,3.0,4.0,0.75,0.0,6.0,6.0,1.0,0.0,0.0,2.0,1.0,7.0,1.9,0.0
2015-12-04,WAS,PHO,22.504109589041096,1.0,36.21666666666667,6.0,12.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,5.0,2.0,7.0,0.0,1.0,2.0,5.0,2.0,13.0,7.7,0.0
2015-12-06,WAS,DAL,22.50958904109589,1.0,36.18333333333333,7.0,17.0,0.412,1.0,6.0,0.167,0.0,0.0,0.0,3.0,8.0,11.0,2.0,1.0,0.0,1.0,2.0,15.0,11.0,0.0
2015-12-07,WAS,MIA,22.512328767123286,1.0,35.8,5.0,15.0,0.333,0.0,2.0,0.0,3.0,6.0,0.5,3.0,11.0,14.0,4.0,2.0,1.0,1.0,2.0,13.0,12.4,0.0
2015-12-09,WAS,HOU,22.517808219178082,1.0,29.466666666666665,5.0,12.0,0.417,1.0,2.0,0.5,2.0,3.0,0.667,3.0,2.0,5.0,1.0,1.0,0.0,0.0,5.0,13.0,8.6,0.0
2015-12-11,WAS,NOP,22.523287671232875,1.0,33.833333333333336,6.0,11.0,0.545,2.0,5.0,0.4,1.0,2.0,0.5,1.0,6.0,7.0,2.0,2.0,0.0,1.0,3.0,15.0,13.0,0.0
2015-12-12,WAS,DAL,22.526027397260275,1.0,39.483333333333334,11.0,18.0,0.611,4.0,8.0,0.5,2.0,2.0,1.0,2.0,4.0,6.0,3.0,1.0,1.0,1.0,2.0,28.0,24.4,0.0
2015-12-14,WAS,MEM,22.53150684931507,1.0,26.9,1.0,8.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,2.0,1.1,0.0
2015-12-16,WAS,SAS,22.536986301369865,1.0,22.933333333333334,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,1.7,-12.0
