date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,PHO,DAL,30.482191780821918,1.0,9.166666666666666,1.0,3.0,0.333,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-0.6,-12.0
2015-10-30,PHO,POR,30.487671232876714,1.0,23.75,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,0.0,2.0,2.0,4.0,1.7,15.0
2015-10-31,PHO,POR,30.49041095890411,1.0,30.983333333333334,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,4.2,6.0
2015-11-02,PHO,LAC,30.495890410958904,1.0,26.616666666666667,1.0,2.0,0.5,1.0,1.0,1.0,3.0,4.0,0.75,1.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,6.0,7.5,-1.0
2015-11-04,PHO,SAC,30.5013698630137,1.0,20.583333333333332,3.0,4.0,0.75,3.0,4.0,0.75,1.0,3.0,0.333,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,10.0,7.2,9.0
2015-11-06,PHO,DET,30.506849315068493,1.0,33.75,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,8.0,10.0,2.0,1.0,0.0,1.0,2.0,5.0,7.4,4.0
2015-11-08,PHO,OKC,30.512328767123286,1.0,21.433333333333334,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,1.8,-22.0
2015-11-12,PHO,LAC,30.523287671232875,1.0,31.133333333333333,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,0.0,2.0,4.0,6.0,0.0,3.0,0.0,0.0,2.0,7.0,8.1,21.0
2015-11-14,PHO,DEN,30.528767123287672,1.0,24.033333333333335,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,0.0,1.0,1.0,4.0,4.5,31.0
2015-11-16,PHO,LAL,30.534246575342465,1.0,23.716666666666665,3.0,7.0,0.429,1.0,4.0,0.25,4.0,4.0,1.0,3.0,4.0,7.0,1.0,1.0,0.0,0.0,4.0,11.0,10.7,2.0
2015-11-18,PHO,CHI,30.53972602739726,1.0,33.86666666666667,8.0,15.0,0.533,1.0,4.0,0.25,3.0,3.0,1.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,20.0,15.6,-17.0
2015-11-20,PHO,DEN,30.545205479452054,1.0,24.916666666666668,1.0,4.0,0.25,0.0,0.0,0.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,2.0,3.0,6.0,4.4,8.0
