date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MIN,LAL,25.019178082191782,1.0,32.483333333333334,10.0,17.0,0.588,2.0,4.0,0.5,6.0,7.0,0.857,0.0,2.0,2.0,14.0,1.0,0.0,1.0,3.0,28.0,28.9,10.0
2015-10-30,MIN,DEN,25.024657534246575,1.0,30.4,2.0,8.0,0.25,0.0,2.0,0.0,8.0,9.0,0.889,1.0,4.0,5.0,8.0,1.0,0.0,2.0,3.0,12.0,12.1,22.0
2015-11-02,MIN,POR,25.03287671232877,1.0,31.95,4.0,10.0,0.4,0.0,2.0,0.0,4.0,4.0,1.0,0.0,9.0,9.0,9.0,3.0,0.0,1.0,4.0,12.0,16.0,2.0
2015-11-05,MIN,MIA,25.041095890410958,1.0,23.833333333333332,2.0,6.0,0.333,0.0,0.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,3.0,0.0,9.0,9.4,-16.0
2015-11-07,MIN,CHI,25.046575342465754,1.0,38.833333333333336,2.0,10.0,0.2,0.0,1.0,0.0,3.0,4.0,0.75,1.0,7.0,8.0,10.0,3.0,0.0,3.0,3.0,7.0,9.0,14.0
2015-11-09,MIN,ATL,25.052054794520547,1.0,27.483333333333334,4.0,10.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,8.0,3.0,0.0,2.0,3.0,10.0,10.3,5.0
2015-11-17,MIN,MIA,25.073972602739726,1.0,26.55,1.0,7.0,0.143,0.0,2.0,0.0,5.0,8.0,0.625,1.0,3.0,4.0,3.0,2.0,1.0,1.0,5.0,7.0,4.7,-1.0
2015-11-18,MIN,ORL,25.076712328767123,1.0,34.93333333333333,3.0,11.0,0.273,0.0,1.0,0.0,2.0,2.0,1.0,2.0,10.0,12.0,12.0,1.0,0.0,3.0,3.0,8.0,11.1,0.0
2015-11-20,MIN,DET,25.08219178082192,1.0,30.433333333333334,5.0,12.0,0.417,1.0,4.0,0.25,1.0,2.0,0.5,1.0,0.0,1.0,7.0,0.0,0.0,3.0,4.0,12.0,6.2,-10.0
2015-11-23,MIN,PHI,25.09041095890411,1.0,32.68333333333333,2.0,5.0,0.4,0.0,1.0,0.0,4.0,4.0,1.0,1.0,5.0,6.0,11.0,1.0,0.0,4.0,5.0,8.0,10.2,21.0
2015-11-25,MIN,ATL,25.095890410958905,1.0,21.116666666666667,2.0,7.0,0.286,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,6.0,1.0,0.0,1.0,1.0,5.0,5.6,0.0
2015-12-01,MIN,ORL,25.112328767123287,1.0,26.65,0.0,5.0,0.0,0.0,3.0,0.0,3.0,4.0,0.75,1.0,4.0,5.0,3.0,3.0,0.0,2.0,2.0,3.0,3.3,-4.0
2015-12-05,MIN,POR,25.123287671232877,1.0,33.78333333333333,1.0,5.0,0.2,1.0,2.0,0.5,6.0,6.0,1.0,3.0,3.0,6.0,15.0,0.0,0.0,3.0,3.0,9.0,15.2,0.0
2015-12-07,MIN,LAC,25.12876712328767,1.0,28.633333333333333,4.0,8.0,0.5,0.0,1.0,0.0,8.0,8.0,1.0,1.0,4.0,5.0,7.0,4.0,0.0,6.0,2.0,16.0,16.0,0.0
2015-12-09,MIN,LAL,25.134246575342466,1.0,33.233333333333334,0.0,4.0,0.0,0.0,2.0,0.0,5.0,6.0,0.833,2.0,7.0,9.0,12.0,1.0,0.0,3.0,2.0,5.0,10.9,0.0
2015-12-11,MIN,DEN,25.13972602739726,1.0,30.1,4.0,7.0,0.571,2.0,2.0,1.0,3.0,4.0,0.75,0.0,5.0,5.0,7.0,0.0,0.0,1.0,6.0,13.0,12.3,0.0
2015-12-13,MIN,PHO,25.145205479452056,1.0,22.516666666666666,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,7.0,3.0,0.0,4.0,1.0,1.0,2.3,0.0
2015-12-15,MIN,DEN,25.15068493150685,1.0,29.733333333333334,3.0,6.0,0.5,2.0,3.0,0.667,5.0,6.0,0.833,0.0,4.0,4.0,9.0,0.0,0.0,1.0,1.0,13.0,15.7,0.0
2015-12-16,MIN,NYK,25.153424657534245,1.0,34.333333333333336,3.0,10.0,0.3,1.0,1.0,1.0,2.0,2.0,1.0,3.0,7.0,10.0,12.0,8.0,0.0,1.0,1.0,9.0,22.4,1.0
2015-12-18,MIN,SAC,25.15890410958904,1.0,32.38333333333333,3.0,10.0,0.3,2.0,6.0,0.333,4.0,4.0,1.0,2.0,5.0,7.0,8.0,2.0,0.0,3.0,3.0,12.0,12.5,0.0
