date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-30,SAC,LAL,25.186301369863013,0.0,3.8166666666666664,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-3.0
2015-11-03,SAC,MEM,25.197260273972603,0.0,3.2666666666666666,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.1,6.0
2015-11-04,SAC,PHO,25.2,0.0,5.083333333333333,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.4,-3.0
2015-11-06,SAC,HOU,25.205479452054796,0.0,15.15,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,7.8,10.0
2015-11-13,SAC,BRK,25.224657534246575,0.0,4.283333333333333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-5.0
2015-11-15,SAC,TOR,25.23013698630137,0.0,4.733333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.3,0.0
2015-11-27,SAC,MIN,25.263013698630136,0.0,1.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.7,0.0
2015-11-28,SAC,GSW,25.265753424657536,0.0,9.383333333333333,3.0,4.0,0.75,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,9.0,6.7,0.0
2015-11-30,SAC,DAL,25.27123287671233,0.0,19.616666666666667,2.0,3.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,7.3,0.0
2015-12-03,SAC,BOS,25.279452054794522,0.0,23.166666666666668,2.0,4.0,0.5,0.0,1.0,0.0,4.0,6.0,0.667,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,8.0,5.0,0.0
2015-12-15,SAC,HOU,25.312328767123287,0.0,21.283333333333335,1.0,4.0,0.25,0.0,2.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,2.9,0.0
2015-12-18,SAC,MIN,25.32054794520548,0.0,6.933333333333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
