date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-11-04,ATL,BRK,25.536986301369865,0.0,7.75,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,-3.2,0.0
2015-11-13,ATL,BOS,25.561643835616437,0.0,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-15,ATL,UTA,25.567123287671233,0.0,14.5,3.0,7.0,0.429,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,7.0,4.3,0.0
2015-11-17,ATL,BRK,25.572602739726026,0.0,18.716666666666665,3.0,8.0,0.375,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,8.0,7.2,2.0
2015-11-18,ATL,SAC,25.575342465753426,0.0,15.533333333333333,2.0,6.0,0.333,0.0,3.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,5.0,1.0,0.0,1.0,0.0,6.0,7.3,2.0
2015-11-21,ATL,CLE,25.583561643835615,0.0,5.95,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.1,0.0
2015-11-24,ATL,BOS,25.59178082191781,0.0,3.183333333333333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-1.0
2015-11-28,ATL,SAS,25.602739726027398,0.0,8.266666666666667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,5.5,0.0
2015-12-12,ATL,SAS,25.64109589041096,0.0,7.15,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.7,0.0
2015-12-16,ATL,PHI,25.65205479452055,0.0,7.983333333333333,4.0,6.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0,6.1,-2.0
