date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,PHO,DAL,29.306849315068494,0.0,15.25,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.5,7.0
2015-10-30,PHO,POR,29.312328767123287,0.0,16.8,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0,-1.1,2.0
2015-10-31,PHO,POR,29.315068493150687,0.0,6.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-11-02,PHO,LAC,29.32054794520548,0.0,7.55,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.2,-7.0
2015-11-04,PHO,SAC,29.326027397260273,0.0,6.883333333333333,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,4.0,4.3,5.0
2015-11-06,PHO,DET,29.33150684931507,0.0,5.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.2,-2.0
2015-11-12,PHO,LAC,29.34794520547945,0.0,5.783333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.4,0.0
2015-11-14,PHO,DEN,29.353424657534248,0.0,8.333333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,-0.1,-5.0
2015-11-23,PHO,SAS,29.378082191780823,0.0,1.4666666666666668,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
2015-11-27,PHO,GSW,29.389041095890413,0.0,10.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0
2015-12-14,PHO,DAL,29.435616438356163,0.0,12.5,2.0,3.0,0.667,2.0,2.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,9.0,4.8,0.0
2015-12-16,PHO,GSW,29.44109589041096,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,12.0
