date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,DET,ATL,19.413698630136988,0.0,24.483333333333334,3.0,10.0,0.3,1.0,3.0,0.333,0.0,0.0,0.0,3.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,7.0,4.3,-14.0
2015-10-28,DET,UTA,19.416438356164385,0.0,19.583333333333332,3.0,10.0,0.3,1.0,3.0,0.333,4.0,4.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,11.0,6.3,-1.0
2015-10-30,DET,CHI,19.421917808219177,0.0,11.983333333333333,3.0,8.0,0.375,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,7.0,4.9,-3.0
2015-11-03,DET,IND,19.432876712328767,0.0,11.55,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,4.0,0.0,-4.2,-8.0
2015-11-06,DET,PHO,19.44109589041096,0.0,22.466666666666665,2.0,5.0,0.4,0.0,2.0,0.0,1.0,3.0,0.333,0.0,5.0,5.0,2.0,1.0,0.0,3.0,5.0,5.0,0.4,8.0
2015-11-08,DET,POR,19.446575342465753,0.0,20.166666666666668,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,-0.8,-6.0
2015-11-09,DET,GSW,19.44931506849315,0.0,32.083333333333336,9.0,14.0,0.643,2.0,4.0,0.5,0.0,1.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,20.0,15.5,-8.0
2015-11-11,DET,SAC,19.454794520547946,0.0,27.3,3.0,11.0,0.273,0.0,3.0,0.0,2.0,2.0,1.0,2.0,3.0,5.0,2.0,2.0,0.0,1.0,2.0,8.0,5.4,-3.0
2015-11-14,DET,LAC,19.463013698630135,0.0,20.866666666666667,4.0,8.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,2.0,4.0,9.0,4.7,-12.0
2015-11-15,DET,LAL,19.465753424657535,0.0,16.466666666666665,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,1.0,5.0,4.0,1.2,0.0
