date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,DET,ATL,35.66575342465753,0.0,15.883333333333333,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,3.0,-0.4,-12.0
2015-10-28,DET,UTA,35.66849315068493,0.0,16.75,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,0.0,1.0,0.0,2.0,5.4,9.0
2015-10-30,DET,CHI,35.673972602739724,0.0,15.916666666666666,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.1,-4.0
2015-11-03,DET,IND,35.68493150684932,0.0,6.65,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,-3.1,-20.0
2015-11-06,DET,PHO,35.69315068493151,0.0,17.683333333333334,3.0,6.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,8.0,5.7,0.0
2015-11-08,DET,POR,35.6986301369863,0.0,13.716666666666667,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,-5.0
2015-11-09,DET,GSW,35.701369863013696,0.0,18.333333333333332,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,5.0,0.0,5.0,1.0,-9.0
2015-11-11,DET,SAC,35.706849315068496,0.0,15.316666666666666,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,5.0,4.6,5.0
2015-11-14,DET,LAC,35.71506849315068,0.0,13.7,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.6,-2.0
2015-11-23,DET,MIL,35.73972602739726,0.0,6.8,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0
2015-11-25,DET,MIA,35.74520547945205,0.0,21.766666666666666,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,3.0,2.0,3.0,0.2,0.0
2015-11-27,DET,OKC,35.75068493150685,0.0,21.15,2.0,8.0,0.25,1.0,6.0,0.167,0.0,0.0,0.0,0.0,3.0,3.0,7.0,3.0,0.0,1.0,1.0,5.0,7.6,0.0
2015-11-29,DET,BRK,35.75616438356165,0.0,17.683333333333334,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,7.0,5.4,0.0
2015-11-30,DET,HOU,35.75890410958904,0.0,12.15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0
2015-12-02,DET,PHO,35.76438356164383,0.0,13.066666666666666,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,-0.7,0.0
2015-12-04,DET,MIL,35.76986301369863,0.0,14.916666666666666,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,-0.1,0.0
2015-12-06,DET,LAL,35.775342465753425,0.0,18.416666666666668,3.0,5.0,0.6,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,0.0,4.0,0.0,9.0,8.8,0.0
2015-12-07,DET,CHO,35.778082191780825,0.0,20.0,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,9.0,10.6,0.0
2015-12-09,DET,MEM,35.78356164383562,0.0,15.733333333333333,4.0,7.0,0.571,2.0,4.0,0.5,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,11.0,7.8,0.0
2015-12-11,DET,PHI,35.78904109589041,0.0,17.466666666666665,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,4.0,2.0,0.8,0.0
2015-12-12,DET,IND,35.79178082191781,0.0,18.983333333333334,4.0,6.0,0.667,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,11.0,9.0,0.0
2015-12-14,DET,LAC,35.797260273972604,0.0,13.866666666666667,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,5.0,0.5,0.0
2015-12-16,DET,BOS,35.8027397260274,0.0,20.4,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,-2.6,20.0
2015-12-18,DET,CHI,35.80821917808219,0.0,19.366666666666667,3.0,5.0,0.6,1.0,2.0,0.5,1.0,2.0,0.5,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,8.0,9.0,0.0
