date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MEM,CLE,33.794520547945204,0.0,22.65,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,2.0,2.0,1.0,2.0,1.0,6.0,8.0,-6.0
2015-10-29,MEM,IND,33.797260273972604,1.0,22.2,4.0,11.0,0.364,0.0,1.0,0.0,1.0,2.0,0.5,4.0,3.0,7.0,0.0,4.0,0.0,1.0,5.0,9.0,7.2,-5.0
2015-10-31,MEM,BRK,33.8027397260274,1.0,28.8,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,2.0,0.0,0.0,4.0,6.0,7.3,7.0
2015-11-02,MEM,GSW,33.80821917808219,1.0,12.083333333333334,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,-3.0,-8.0
2015-11-03,MEM,SAC,33.81095890410959,1.0,20.116666666666667,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,4.0,5.0,5.1,14.0
2015-11-05,MEM,POR,33.81643835616438,1.0,23.55,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,6.0,3.5,-12.0
2015-11-07,MEM,UTA,33.821917808219176,1.0,23.633333333333333,2.0,7.0,0.286,0.0,0.0,0.0,1.0,2.0,0.5,3.0,4.0,7.0,0.0,3.0,0.0,1.0,4.0,5.0,4.2,-4.0
2015-11-09,MEM,LAC,33.827397260273976,1.0,26.183333333333334,3.0,6.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,3.0,6.0,3.4,11.0
2015-11-11,MEM,GSW,33.83287671232877,1.0,23.716666666666665,5.0,7.0,0.714,1.0,2.0,0.5,4.0,4.0,1.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,2.0,15.0,15.4,-5.0
2015-11-13,MEM,POR,33.83835616438356,1.0,25.483333333333334,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,7.0,0.0,1.0,0.0,1.0,3.0,0.0,-2.9,-5.0
2015-11-15,MEM,MIN,33.843835616438355,1.0,22.9,4.0,6.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,4.0,8.0,4.8,0.0
2015-11-16,MEM,OKC,33.846575342465755,1.0,27.1,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,3.0,6.0,6.9,2.0
2015-11-20,MEM,HOU,33.85753424657534,1.0,14.616666666666667,3.0,7.0,0.429,1.0,1.0,1.0,1.0,2.0,0.5,0.0,3.0,3.0,2.0,1.0,0.0,0.0,4.0,8.0,5.6,-3.0
2015-11-21,MEM,SAS,33.86027397260274,1.0,12.1,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,6.0,3.0,0.0
2015-11-24,MEM,DAL,33.868493150684934,1.0,30.616666666666667,2.0,5.0,0.4,1.0,2.0,0.5,6.0,8.0,0.75,0.0,4.0,4.0,1.0,2.0,0.0,1.0,1.0,11.0,10.0,6.0
2015-11-25,MEM,HOU,33.87123287671233,1.0,28.45,5.0,10.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,2.0,1.0,2.0,3.0,10.0,7.5,0.0
2015-11-27,MEM,ATL,33.87671232876713,1.0,20.466666666666665,3.0,9.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,6.0,3.5,0.0
2015-11-29,MEM,PHI,33.88219178082192,1.0,19.45,4.0,8.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,2.0,8.0,6.0,0.0
2015-12-01,MEM,NOP,33.88767123287671,1.0,14.883333333333333,1.0,3.0,0.333,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,3.0,4.2,-4.0
2015-12-03,MEM,SAS,33.893150684931506,1.0,16.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.9,0.0
2015-12-06,MEM,PHO,33.9013698630137,1.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.8,0.0
2015-12-08,MEM,OKC,33.90684931506849,1.0,14.266666666666667,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,4.0,0.9,0.0
2015-12-09,MEM,DET,33.90958904109589,1.0,22.116666666666667,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,1.0,0.0,1.0,2.0,4.0,3.1,0.0
2015-12-11,MEM,CHO,33.915068493150685,1.0,29.933333333333334,5.0,11.0,0.455,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,10.0,4.4,0.0
