date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,SAS,OKC,33.44931506849315,1.0,25.816666666666666,5.0,11.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,5.0,10.0,3.3,-3.0
2015-10-30,SAS,BRK,33.45479452054794,1.0,23.766666666666666,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,3.0,10.0,7.3,23.0
2015-11-01,SAS,BOS,33.46027397260274,1.0,27.416666666666668,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,2.0,6.0,1.5,-5.0
2015-11-02,SAS,NYK,33.463013698630135,1.0,29.416666666666668,7.0,12.0,0.583,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,16.0,12.8,18.0
2015-11-04,SAS,WAS,33.46849315068493,1.0,30.166666666666668,6.0,11.0,0.545,1.0,1.0,1.0,4.0,5.0,0.8,0.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0,17.0,12.3,-17.0
2015-11-07,SAS,CHO,33.47671232876712,1.0,25.416666666666668,2.0,5.0,0.4,0.0,0.0,0.0,3.0,6.0,0.5,0.0,1.0,1.0,6.0,2.0,0.0,4.0,1.0,7.0,5.2,-16.0
2015-11-09,SAS,SAC,33.48219178082192,1.0,21.483333333333334,6.0,10.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,13.0,7.7,9.0
2015-11-11,SAS,POR,33.487671232876714,1.0,29.7,5.0,8.0,0.625,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,5.0,1.0,0.0,0.0,3.0,11.0,10.6,-3.0
2015-11-14,SAS,PHI,33.49589041095891,1.0,25.066666666666666,5.0,10.0,0.5,0.0,0.0,0.0,6.0,6.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,4.0,0.0,16.0,11.1,14.0
2015-11-16,SAS,POR,33.5013698630137,1.0,27.666666666666668,4.0,9.0,0.444,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,2.0,10.0,12.4,6.0
2015-11-18,SAS,DEN,33.50684931506849,1.0,32.35,9.0,14.0,0.643,0.0,1.0,0.0,7.0,8.0,0.875,0.0,2.0,2.0,9.0,0.0,0.0,3.0,1.0,25.0,21.9,8.0
2015-11-20,SAS,NOP,33.512328767123286,1.0,31.766666666666666,3.0,10.0,0.3,0.0,0.0,0.0,4.0,4.0,1.0,0.0,5.0,5.0,5.0,1.0,0.0,0.0,3.0,10.0,9.0,1.0
