date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,CHI,CLE,23.96164383561644,1.0,28.8,4.0,9.0,0.444,2.0,5.0,0.4,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,11.0,3.9,-1.0
2015-10-28,CHI,BRK,23.964383561643835,1.0,21.75,3.0,7.0,0.429,2.0,4.0,0.5,2.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,10.0,6.6,24.0
2015-10-30,CHI,DET,23.96986301369863,1.0,30.083333333333332,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,2.4,-3.0
2015-11-01,CHI,ORL,23.975342465753425,1.0,26.483333333333334,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,8.0,5.5,1.0
2015-11-03,CHI,CHO,23.980821917808218,1.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,2.0,0.0,-0.2,-4.0
2015-11-05,CHI,OKC,23.986301369863014,0.0,10.733333333333333,1.0,4.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,1.0,5.0,3.4,8.0
2015-11-07,CHI,MIN,23.991780821917807,0.0,27.933333333333334,5.0,10.0,0.5,4.0,6.0,0.667,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,2.0,2.0,14.0,8.7,13.0
2015-11-09,CHI,PHI,23.997260273972604,0.0,19.883333333333333,3.0,7.0,0.429,2.0,3.0,0.667,2.0,2.0,1.0,0.0,5.0,5.0,2.0,0.0,1.0,1.0,1.0,10.0,8.5,18.0
2015-11-13,CHI,CHO,24.008219178082193,0.0,17.316666666666666,1.0,7.0,0.143,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,-2.3,11.0
2015-11-16,CHI,IND,24.016438356164382,1.0,28.65,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,6.0,4.5,-4.0
2015-11-18,CHI,PHO,24.02191780821918,1.0,18.933333333333334,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,-3.8,8.0
2015-11-20,CHI,GSW,24.027397260273972,1.0,28.35,1.0,7.0,0.143,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,-0.2,-8.0
2015-11-24,CHI,POR,24.03835616438356,1.0,13.966666666666667,1.0,6.0,0.167,1.0,5.0,0.2,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.8,4.0
2015-11-27,CHI,IND,24.046575342465754,1.0,15.983333333333333,2.0,7.0,0.286,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,6.0,2.0,0.0
2015-11-30,CHI,SAS,24.054794520547944,1.0,23.216666666666665,4.0,5.0,0.8,3.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,11.0,11.2,0.0
2015-12-02,CHI,DEN,24.06027397260274,1.0,19.066666666666666,2.0,6.0,0.333,2.0,3.0,0.667,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,6.0,4.1,0.0
2015-12-05,CHI,CHO,24.068493150684933,1.0,12.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
2015-12-07,CHI,PHO,24.073972602739726,1.0,23.016666666666666,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,10.0,8.3,0.0
2015-12-09,CHI,BOS,24.07945205479452,1.0,21.716666666666665,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0,0.0,-2.2,0.0
2015-12-10,CHI,LAC,24.08219178082192,1.0,22.15,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,3.0,2.0,-1.3,0.0
2015-12-12,CHI,NOP,24.087671232876712,1.0,16.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,-0.7,0.0
2015-12-14,CHI,PHI,24.09315068493151,1.0,36.63333333333333,5.0,10.0,0.5,1.0,5.0,0.2,5.0,6.0,0.833,2.0,9.0,11.0,1.0,2.0,0.0,2.0,2.0,16.0,14.6,0.0
