date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-27,CLE,CHI,24.624657534246577,0.0,24.916666666666668,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,12.0,0.0,1.0,0.0,1.0,4.0,2.0,2.4,-6.0
2015-10-28,CLE,MEM,24.627397260273973,0.0,19.983333333333334,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,3.0,5.0,8.0,1.0,0.0,0.0,2.0,4.0,5.0,4.7,19.0
2015-10-30,CLE,MIA,24.632876712328766,0.0,26.05,6.0,9.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,2.0,7.0,9.0,1.0,0.0,1.0,0.0,1.0,13.0,13.2,15.0
2015-11-02,CLE,PHI,24.64109589041096,0.0,26.3,4.0,7.0,0.571,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,9.0,1.0,0.0,3.0,0.0,2.0,8.0,8.6,2.0
2015-11-04,CLE,NYK,24.646575342465752,0.0,25.6,4.0,6.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,4.0,9.0,13.0,1.0,0.0,1.0,1.0,1.0,10.0,12.9,15.0
2015-11-06,CLE,PHI,24.65205479452055,0.0,23.116666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,9.0,11.0,0.0,0.0,0.0,0.0,2.0,3.0,5.6,-3.0
2015-11-08,CLE,IND,24.65753424657534,0.0,30.45,7.0,8.0,0.875,0.0,0.0,0.0,2.0,4.0,0.5,3.0,5.0,8.0,1.0,2.0,0.0,0.0,3.0,16.0,17.5,6.0
2015-11-10,CLE,UTA,24.663013698630138,0.0,27.566666666666666,2.0,5.0,0.4,0.0,0.0,0.0,4.0,5.0,0.8,4.0,3.0,7.0,0.0,0.0,3.0,1.0,2.0,8.0,8.9,5.0
2015-11-13,CLE,NYK,24.671232876712327,0.0,20.516666666666666,1.0,4.0,0.25,0.0,0.0,0.0,2.0,6.0,0.333,2.0,8.0,10.0,1.0,1.0,0.0,1.0,1.0,4.0,4.1,8.0
2015-11-14,CLE,MIL,24.673972602739727,0.0,25.5,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,6.0,4.4,-6.0
2015-11-17,CLE,DET,24.682191780821917,0.0,20.966666666666665,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,-6.0
2015-11-19,CLE,MIL,24.687671232876713,0.0,25.633333333333333,5.0,7.0,0.714,0.0,0.0,0.0,2.0,3.0,0.667,4.0,7.0,11.0,1.0,1.0,0.0,2.0,4.0,12.0,11.7,1.0
2015-11-21,CLE,ATL,24.693150684931506,1.0,40.3,4.0,9.0,0.444,0.0,0.0,0.0,1.0,2.0,0.5,6.0,10.0,16.0,5.0,0.0,2.0,2.0,2.0,9.0,13.2,0.0
2015-11-23,CLE,ORL,24.698630136986303,1.0,34.31666666666667,3.0,4.0,0.75,0.0,0.0,0.0,3.0,4.0,0.75,3.0,11.0,14.0,1.0,0.0,0.0,1.0,4.0,9.0,10.5,24.0
2015-11-25,CLE,TOR,24.704109589041096,1.0,37.4,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,2.0,1.0,1.0,0.0,4.0,8.0,10.0,0.0
2015-11-27,CLE,CHO,24.70958904109589,0.0,29.583333333333332,3.0,7.0,0.429,0.0,0.0,0.0,1.0,2.0,0.5,3.0,9.0,12.0,1.0,1.0,0.0,3.0,5.0,7.0,4.4,0.0
2015-11-28,CLE,BRK,24.71232876712329,0.0,31.616666666666667,4.0,11.0,0.364,0.0,0.0,0.0,2.0,5.0,0.4,6.0,5.0,11.0,2.0,0.0,0.0,2.0,3.0,10.0,6.6,0.0
2015-12-01,CLE,WAS,24.720547945205478,0.0,27.3,2.0,6.0,0.333,0.0,0.0,0.0,2.0,4.0,0.5,3.0,8.0,11.0,0.0,0.0,0.0,2.0,2.0,6.0,3.5,0.0
2015-12-04,CLE,NOP,24.72876712328767,0.0,32.03333333333333,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,4.0,6.0,10.0,1.0,1.0,0.0,1.0,3.0,5.0,6.7,0.0
2015-12-05,CLE,MIA,24.731506849315068,0.0,22.333333333333332,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,6.0,0.0,1.0,0.0,0.0,4.0,6.0,5.6,0.0
2015-12-08,CLE,POR,24.73972602739726,0.0,19.266666666666666,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,2.0,0.7,0.0
2015-12-11,CLE,ORL,24.747945205479454,0.0,19.65,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,3.5,0.0
2015-12-15,CLE,BOS,24.75890410958904,0.0,22.45,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0
2015-12-17,CLE,OKC,24.764383561643836,0.0,34.85,7.0,10.0,0.7,0.0,0.0,0.0,0.0,2.0,0.0,11.0,4.0,15.0,1.0,0.0,1.0,1.0,3.0,14.0,17.1,14.0
