date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,IND,TOR,30.005479452054793,1.0,28.533333333333335,3.0,11.0,0.273,0.0,1.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,6.0,2.0,0.0,2.0,4.0,9.0,4.7,-3.0
2015-10-29,IND,MEM,30.008219178082193,1.0,32.266666666666666,3.0,12.0,0.25,1.0,4.0,0.25,2.0,3.0,0.667,1.0,1.0,2.0,3.0,0.0,0.0,4.0,3.0,9.0,-0.7,-21.0
2015-10-31,IND,UTA,30.013698630136986,1.0,32.083333333333336,5.0,14.0,0.357,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,3.0,2.0,2.0,4.0,1.0,12.0,6.5,-13.0
2015-11-03,IND,DET,30.02191780821918,1.0,33.416666666666664,7.0,16.0,0.438,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,0.0,3.0,4.0,15.0,8.4,0.0
2015-11-04,IND,BOS,30.024657534246575,1.0,33.46666666666667,5.0,15.0,0.333,1.0,4.0,0.25,2.0,2.0,1.0,1.0,4.0,5.0,8.0,1.0,0.0,3.0,2.0,13.0,9.2,15.0
2015-11-06,IND,MIA,30.03013698630137,1.0,36.45,2.0,8.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,1.0,0.0,3.0,1.0,4.0,3.6,7.0
2015-11-08,IND,CLE,30.035616438356165,1.0,34.45,10.0,17.0,0.588,2.0,4.0,0.5,3.0,4.0,0.75,0.0,5.0,5.0,3.0,1.0,0.0,0.0,2.0,25.0,20.5,-5.0
2015-11-09,IND,ORL,30.03835616438356,1.0,33.45,1.0,9.0,0.111,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,2.0,1.0,2.0,-0.3,-4.0
2015-11-11,IND,BOS,30.043835616438358,1.0,35.03333333333333,4.0,9.0,0.444,1.0,3.0,0.333,4.0,6.0,0.667,1.0,1.0,2.0,6.0,4.0,0.0,2.0,3.0,13.0,13.5,15.0
2015-11-07,MIL,BRK,21.205479452054796,1.0,16.366666666666667,4.0,9.0,0.444,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,9.0,4.9,-1.0
2015-11-10,MIL,BOS,21.213698630136985,1.0,23.666666666666668,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,4.0,3.0,2.0
2015-11-17,MIL,WAS,21.232876712328768,0.0,6.55,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.9,-5.0
2015-11-29,MIL,CHO,21.265753424657536,0.0,3.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
2015-11-30,MIL,DEN,21.268493150684932,0.0,3.55,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9,0.0
2015-12-02,MIL,SAS,21.273972602739725,1.0,23.883333333333333,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,4.0,-1.3,0.0
2015-12-15,MIL,LAL,21.30958904109589,0.0,3.7333333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.6,0.0
2015-12-16,MIL,LAC,21.312328767123287,0.0,8.766666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.4,0.0
