date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-10-28,MIA,CHO,35.38630136986301,0.0,10.633333333333333,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,2.0,6.0,5.5,2.0
2015-11-08,MIA,TOR,35.416438356164385,0.0,2.2333333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,3.0
2015-11-10,MIA,LAL,35.42191780821918,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2.0
2015-11-25,MIA,DET,35.463013698630135,0.0,4.2,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,8.1,0.0
2015-11-27,MIA,NYK,35.46849315068493,0.0,7.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,0.0
2015-12-05,MIA,CLE,35.49041095890411,0.0,19.95,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0
2015-12-09,MIA,CHO,35.5013698630137,0.0,16.166666666666668,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,0.0,1.0,1.0,2.0,1.0,0.7,0.0
2015-12-13,MIA,MEM,35.512328767123286,0.0,6.85,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.6,0.0
2015-12-14,MIA,ATL,35.515068493150686,0.0,14.85,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.3,0.0
2015-12-16,MIA,BRK,35.52054794520548,0.0,12.083333333333334,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,2.8,7.0
2015-12-18,MIA,TOR,35.52602739726027,0.0,5.933333333333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
