date,team1,team1pts,team2,team2pts
2014-10-28,HOU,108.0,LAL,90.0
2014-10-28,ORL,84.0,NOP,101.0
2014-10-28,DAL,100.0,SAS,101.0
2014-10-29,BRK,105.0,BOS,121.0
2014-10-29,MIL,106.0,CHO,108.0
2014-10-29,DET,79.0,DEN,89.0
2014-10-29,PHI,91.0,IND,103.0
2014-10-29,MIN,101.0,MEM,105.0
2014-10-29,WAS,95.0,MIA,107.0
2014-10-29,CHI,104.0,NYK,80.0
2014-10-29,LAL,99.0,PHO,119.0
2014-10-29,OKC,89.0,POR,106.0
2014-10-29,GSW,95.0,SAC,77.0
2014-10-29,ATL,102.0,TOR,109.0
2014-10-29,HOU,104.0,UTA,93.0
2014-10-30,NYK,95.0,CLE,90.0
2014-10-30,UTA,102.0,DAL,120.0
2014-10-30,OKC,90.0,LAC,93.0
2014-10-30,DET,91.0,MIN,97.0
2014-10-30,WAS,105.0,ORL,98.0
2014-10-31,CLE,114.0,CHI,108.0
2014-10-31,MEM,97.0,IND,89.0
2014-10-31,LAC,118.0,LAL,111.0
2014-10-31,PHI,81.0,MIL,93.0
2014-10-31,SAS,89.0,PHO,94.0
2014-10-31,POR,94.0,SAC,103.0
2014-11-01,IND,92.0,ATL,102.0
2014-11-01,MEM,71.0,CHO,69.0
2014-11-01,BRK,102.0,DET,90.0
2014-11-01,LAL,104.0,GSW,127.0
2014-11-01,BOS,90.0,HOU,104.0
2014-11-01,CHI,106.0,MIN,105.0
2014-11-01,DAL,109.0,NOP,104.0
2014-11-01,DEN,91.0,OKC,102.0
2014-11-01,TOR,108.0,ORL,95.0
2014-11-01,MIA,114.0,PHI,96.0
2014-11-01,PHO,91.0,UTA,118.0
2014-11-01,MIL,97.0,WAS,108.0
2014-11-02,SAC,98.0,LAC,92.0
2014-11-02,TOR,102.0,MIA,107.0
2014-11-02,CHO,93.0,NYK,96.0
2014-11-02,GSW,95.0,POR,90.0
2014-11-03,OKC,85.0,BRK,116.0
2014-11-03,BOS,113.0,DAL,118.0
2014-11-03,SAC,110.0,DEN,105.0
2014-11-03,UTA,101.0,LAC,107.0
2014-11-03,NOP,81.0,MEM,93.0
2014-11-03,HOU,104.0,PHI,93.0
