date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,CHI,NYK,29.78904109589041,0.0,23.65,4.0,5.0,0.8,1.0,1.0,1.0,4.0,4.0,1.0,0.0,2.0,2.0,6.0,1.0,0.0,1.0,3.0,13.0,14.7,25.0
2014-10-31,CHI,CLE,29.794520547945204,0.0,19.716666666666665,4.0,8.0,0.5,2.0,5.0,0.4,1.0,2.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,4.0,3.0,11.0,4.1,-9.0
2014-11-01,CHI,MIN,29.797260273972604,0.0,22.8,6.0,11.0,0.545,3.0,4.0,0.75,1.0,1.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,3.0,2.0,16.0,11.0,2.0
2014-11-04,CHI,ORL,29.805479452054794,0.0,29.85,5.0,11.0,0.455,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,0.0,3.0,2.0,2.0,13.0,13.2,10.0
2014-11-05,CHI,MIL,29.80821917808219,0.0,13.35,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,-1.9,-14.0
2014-11-07,CHI,PHI,29.813698630136987,0.0,16.55,4.0,8.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,10.0,9.1,1.0
2014-11-08,CHI,BOS,29.816438356164383,0.0,28.183333333333334,9.0,15.0,0.6,4.0,7.0,0.571,4.0,4.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,6.0,26.0,20.3,9.0
2014-11-10,CHI,DET,29.82191780821918,0.0,11.083333333333334,3.0,6.0,0.5,1.0,2.0,0.5,3.0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,4.0,10.0,6.7,-5.0
2014-11-13,CHI,TOR,29.83013698630137,0.0,9.433333333333334,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,-7.0,-8.0
2014-11-15,CHI,IND,29.835616438356166,0.0,17.85,3.0,6.0,0.5,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0,6.0,-0.7,-13.0
2014-11-17,CHI,LAC,29.84109589041096,0.0,19.533333333333335,3.0,8.0,0.375,0.0,3.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,3.5,-2.0
