date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,NOP,ORL,26.47945205479452,0.0,2.4833333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.7,-6.0
2014-11-03,NOP,MEM,26.495890410958904,0.0,10.233333333333333,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,2.4,2.0
2014-11-04,NOP,CHO,26.4986301369863,0.0,5.033333333333333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0,2.0,-2.7,-7.0
2014-11-08,NOP,SAS,26.50958904109589,0.0,8.783333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,1.1,0.0
2014-11-12,NOP,LAL,26.52054794520548,0.0,11.65,1.0,2.0,0.5,0.0,0.0,0.0,4.0,5.0,0.8,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,6.0,4.4,-9.0
2014-11-14,NOP,MIN,26.526027397260275,0.0,13.216666666666667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,2.0,2.0,2.0,1.4,5.0
2014-11-17,NOP,POR,26.534246575342465,1.0,15.8,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,1.0,3.0,4.0,6.0,2.7,-1.0
2014-11-18,NOP,SAC,26.536986301369865,1.0,19.55,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,5.0,4.3,0.0
2014-11-21,NOP,DEN,26.545205479452054,1.0,21.083333333333332,3.0,4.0,0.75,0.0,0.0,0.0,6.0,6.0,1.0,3.0,5.0,8.0,1.0,0.0,0.0,1.0,1.0,12.0,13.3,-3.0
2014-11-22,NOP,UTA,26.54794520547945,1.0,18.8,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,1.0,0.0,2.0,2.0,3.0,6.0,6.4,0.0
2014-11-29,NOP,WAS,26.567123287671233,0.0,3.3666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,0.0
2014-12-02,NOP,OKC,26.575342465753426,0.0,5.933333333333334,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.1,-10.0
2014-12-06,NOP,LAC,26.586301369863016,0.0,9.166666666666666,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,5.5,10.0
2014-12-07,NOP,LAL,26.589041095890412,0.0,10.25,4.0,4.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,10.0,7.9,-4.0
2014-12-09,NOP,NYK,26.594520547945205,0.0,4.616666666666667,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.6,-3.0
2014-12-12,NOP,CLE,26.602739726027398,0.0,3.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,0.0
2014-12-20,NOP,POR,26.624657534246577,0.0,14.633333333333333,4.0,7.0,0.571,0.0,0.0,0.0,2.0,2.0,1.0,4.0,9.0,13.0,0.0,1.0,0.0,2.0,1.0,10.0,10.8,3.0
2014-12-21,NOP,OKC,26.627397260273973,0.0,11.283333333333333,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,2.0,10.0,9.3,6.0
2014-12-23,NOP,IND,26.632876712328766,0.0,10.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.3,-10.0
2014-12-26,NOP,SAS,26.64109589041096,0.0,10.133333333333333,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,3.0,4.0,2.5,5.0
2014-12-27,NOP,CHI,26.643835616438356,0.0,10.683333333333334,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,0.4,-7.0
