date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,SAS,DAL,32.534246575342465,0.0,33.46666666666667,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.0,8.0,9.0,6.0,0.0,0.0,4.0,2.0,5.0,4.1,-5.0
2014-10-31,SAS,PHO,32.54246575342466,0.0,28.85,6.0,14.0,0.429,1.0,6.0,0.167,0.0,0.0,0.0,1.0,5.0,6.0,2.0,0.0,0.0,0.0,4.0,13.0,7.6,-11.0
2014-11-05,SAS,ATL,32.556164383561644,0.0,33.516666666666666,4.0,10.0,0.4,0.0,3.0,0.0,3.0,5.0,0.6,1.0,4.0,5.0,4.0,0.0,1.0,1.0,1.0,11.0,8.8,7.0
2014-11-06,SAS,HOU,32.558904109589044,0.0,22.15,2.0,5.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,4.0,0.0,1.0,5.0,5.0,7.0,1.7,-9.0
2014-11-08,SAS,NOP,32.56438356164384,1.0,31.683333333333334,3.0,6.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,0.0,2.0,3.0,1.0,6.0,5.0,5.0
2014-11-10,SAS,LAC,32.56986301369863,0.0,24.883333333333333,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,8.0,11.1,6.0
2014-11-11,SAS,GSW,32.57260273972603,0.0,22.366666666666667,3.0,4.0,0.75,1.0,2.0,0.5,1.0,2.0,0.5,1.0,5.0,6.0,4.0,0.0,0.0,3.0,2.0,8.0,7.2,8.0
2014-11-14,SAS,LAL,32.58082191780822,0.0,23.55,3.0,12.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,2.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,7.0,4.5,13.0
2014-11-15,SAS,SAC,32.583561643835615,0.0,23.25,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,8.0,1.0,1.0,0.0,2.0,4.0,7.0,6.1,11.0
2014-11-17,SAS,PHI,32.58904109589041,0.0,22.583333333333332,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,1.0,2.0,8.0,7.6,7.0
2014-11-19,SAS,CLE,32.59452054794521,1.0,39.06666666666667,8.0,14.0,0.571,1.0,2.0,0.5,2.0,2.0,1.0,1.0,5.0,6.0,7.0,3.0,1.0,2.0,1.0,19.0,20.8,8.0
2014-11-21,SAS,MIN,32.6,1.0,26.166666666666668,5.0,7.0,0.714,1.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,9.0,2.0,0.0,0.0,3.0,2.0,13.0,10.8,22.0
2014-11-22,SAS,BRK,32.602739726027394,1.0,33.016666666666666,5.0,9.0,0.556,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,10.0,6.9,10.0
2014-11-26,SAS,IND,32.61369863013699,1.0,33.05,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,3.0,2.0,2.0,0.8,9.0
2014-11-28,SAS,SAC,32.61917808219178,1.0,32.61666666666667,3.0,9.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,2.0,9.0,7.5,4.0
2014-11-30,SAS,BOS,32.62465753424657,1.0,24.683333333333334,5.0,6.0,0.833,3.0,4.0,0.75,2.0,2.0,1.0,2.0,5.0,7.0,3.0,0.0,1.0,0.0,2.0,15.0,17.7,8.0
2014-12-01,SAS,PHI,32.62739726027397,1.0,29.35,2.0,6.0,0.333,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,1.0,1.0,5.0,4.9,-3.0
2014-12-03,SAS,BRK,32.632876712328766,1.0,21.866666666666667,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,-3.9,-12.0
2014-12-05,SAS,MEM,32.63835616438356,0.0,24.066666666666666,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0,6.0,5.5,8.0
2014-12-06,SAS,MIN,32.64109589041096,0.0,23.283333333333335,6.0,10.0,0.6,0.0,2.0,0.0,5.0,6.0,0.833,0.0,3.0,3.0,4.0,1.0,0.0,1.0,5.0,17.0,13.7,23.0
2014-12-09,SAS,UTA,32.64931506849315,0.0,26.033333333333335,2.0,5.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,1.0,2.0,7.0,8.3,-13.0
2014-12-10,SAS,NYK,32.652054794520545,0.0,26.283333333333335,5.0,9.0,0.556,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,12.0,11.7,3.0
2014-12-12,SAS,LAL,32.657534246575345,0.0,19.333333333333332,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,5.0,2.2,0.0
2014-12-14,SAS,DEN,32.66301369863014,0.0,14.883333333333333,0.0,2.0,0.0,0.0,2.0,0.0,3.0,4.0,0.75,1.0,3.0,4.0,2.0,1.0,0.0,2.0,0.0,3.0,3.2,-4.0
2014-12-15,SAS,POR,32.66575342465753,1.0,35.666666666666664,4.0,9.0,0.444,1.0,4.0,0.25,1.0,3.0,0.333,2.0,2.0,4.0,9.0,1.0,1.0,0.0,5.0,10.0,12.5,-7.0
2014-12-17,SAS,MEM,32.67123287671233,0.0,39.21666666666667,5.0,15.0,0.333,3.0,6.0,0.5,4.0,4.0,1.0,6.0,7.0,13.0,5.0,0.0,0.0,2.0,2.0,17.0,15.5,19.0
2014-12-19,SAS,POR,32.676712328767124,1.0,28.15,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,3.0,1.0,0.0,2.0,2.0,3.0,3.1,5.0
2014-12-20,SAS,DAL,32.679452054794524,1.0,36.3,4.0,16.0,0.25,0.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,4.0,0.0,1.0,5.0,3.0,8.0,-1.4,-17.0
2014-12-22,SAS,LAC,32.68493150684932,0.0,25.283333333333335,9.0,11.0,0.818,2.0,3.0,0.667,3.0,8.0,0.375,1.0,5.0,6.0,3.0,0.0,0.0,0.0,3.0,23.0,20.0,8.0
2014-12-26,SAS,NOP,32.6958904109589,0.0,24.95,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,2.0,3.0,10.0,7.1,-4.0
2014-12-28,SAS,HOU,32.701369863013696,0.0,20.366666666666667,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,8.0,5.6,-6.0
