date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,MIL,CHO,22.90684931506849,1.0,38.78333333333333,5.0,17.0,0.294,2.0,4.0,0.5,10.0,10.0,1.0,0.0,8.0,8.0,13.0,0.0,1.0,4.0,3.0,22.0,19.1,-12.0
2014-10-31,MIL,PHI,22.912328767123288,1.0,29.183333333333334,2.0,8.0,0.25,1.0,4.0,0.25,8.0,10.0,0.8,0.0,7.0,7.0,8.0,2.0,0.0,3.0,2.0,13.0,13.3,6.0
2014-11-01,MIL,WAS,22.915068493150685,1.0,37.516666666666666,9.0,15.0,0.6,3.0,4.0,0.75,3.0,4.0,0.75,2.0,3.0,5.0,6.0,1.0,0.0,3.0,0.0,24.0,21.2,-12.0
2014-11-04,MIL,IND,22.923287671232877,1.0,28.6,10.0,16.0,0.625,2.0,3.0,0.667,1.0,1.0,1.0,2.0,5.0,7.0,2.0,2.0,0.0,4.0,2.0,23.0,17.3,2.0
2014-11-05,MIL,CHI,22.926027397260274,1.0,31.65,3.0,15.0,0.2,0.0,3.0,0.0,4.0,4.0,1.0,1.0,8.0,9.0,7.0,5.0,0.0,1.0,2.0,10.0,11.9,-19.0
2014-11-07,MIL,DET,22.931506849315067,1.0,33.833333333333336,5.0,11.0,0.455,1.0,2.0,0.5,6.0,6.0,1.0,2.0,4.0,6.0,9.0,0.0,0.0,5.0,2.0,17.0,14.4,-2.0
2014-11-08,MIL,MEM,22.934246575342467,1.0,23.283333333333335,6.0,11.0,0.545,1.0,2.0,0.5,1.0,2.0,0.5,0.0,3.0,3.0,6.0,0.0,0.0,6.0,2.0,14.0,6.6,-5.0
2014-11-11,MIL,OKC,22.942465753424656,1.0,34.1,6.0,15.0,0.4,1.0,5.0,0.2,3.0,4.0,0.75,0.0,4.0,4.0,4.0,1.0,0.0,6.0,2.0,16.0,5.7,-9.0
2014-11-14,MIL,ORL,22.95068493150685,1.0,34.166666666666664,9.0,17.0,0.529,2.0,8.0,0.25,4.0,5.0,0.8,0.0,6.0,6.0,5.0,1.0,0.0,3.0,2.0,24.0,17.8,-11.0
2014-11-16,MIL,MIA,22.956164383561642,1.0,34.25,7.0,13.0,0.538,4.0,7.0,0.571,2.0,2.0,1.0,0.0,5.0,5.0,4.0,1.0,0.0,3.0,4.0,20.0,14.4,11.0
2014-11-18,MIL,NYK,22.96164383561644,1.0,32.86666666666667,6.0,15.0,0.4,1.0,4.0,0.25,1.0,2.0,0.5,0.0,4.0,4.0,9.0,1.0,0.0,3.0,2.0,14.0,10.2,1.0
2014-11-19,MIL,BRK,22.964383561643835,1.0,48.583333333333336,5.0,20.0,0.25,2.0,10.0,0.2,6.0,6.0,1.0,0.0,3.0,3.0,8.0,2.0,0.0,4.0,1.0,18.0,10.1,1.0
2014-11-21,MIL,TOR,22.96986301369863,1.0,25.95,4.0,8.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,11.0,5.8,-25.0
2014-11-22,MIL,WAS,22.972602739726028,1.0,36.9,10.0,18.0,0.556,3.0,5.0,0.6,4.0,5.0,0.8,0.0,5.0,5.0,6.0,1.0,1.0,5.0,2.0,27.0,19.6,-10.0
2014-11-25,MIL,DET,22.980821917808218,1.0,31.816666666666666,7.0,12.0,0.583,3.0,5.0,0.6,3.0,4.0,0.75,0.0,3.0,3.0,8.0,2.0,0.0,2.0,1.0,20.0,20.1,10.0
2014-11-26,MIL,MIN,22.983561643835618,1.0,30.45,3.0,11.0,0.273,1.0,3.0,0.333,8.0,8.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,3.0,15.0,10.7,15.0
2014-11-28,MIL,DET,22.98904109589041,1.0,26.816666666666666,2.0,7.0,0.286,0.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,5.0,0.0,0.0,4.0,2.0,6.0,2.2,-5.0
2014-11-29,MIL,HOU,22.991780821917807,1.0,28.816666666666666,4.0,8.0,0.5,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,12.0,11.7,-16.0
2014-12-02,MIL,CLE,23.0,1.0,37.166666666666664,10.0,18.0,0.556,5.0,9.0,0.556,2.0,2.0,1.0,1.0,5.0,6.0,8.0,3.0,0.0,3.0,4.0,27.0,24.6,-8.0
2014-12-03,MIL,DAL,23.002739726027396,1.0,32.28333333333333,8.0,16.0,0.5,2.0,5.0,0.4,7.0,7.0,1.0,2.0,4.0,6.0,5.0,4.0,0.0,3.0,2.0,25.0,23.3,-9.0
2014-12-05,MIL,MIA,23.008219178082193,1.0,20.983333333333334,5.0,11.0,0.455,1.0,3.0,0.333,2.0,2.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,5.0,4.0,13.0,5.3,12.0
2014-12-07,MIL,DAL,23.013698630136986,1.0,28.783333333333335,4.0,9.0,0.444,1.0,4.0,0.25,7.0,7.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,2.0,1.0,16.0,14.0,-18.0
2014-12-09,MIL,OKC,23.019178082191782,1.0,31.183333333333334,2.0,10.0,0.2,2.0,6.0,0.333,3.0,4.0,0.75,0.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,9.0,2.2,-5.0
2014-12-13,MIL,LAC,23.03013698630137,1.0,30.65,6.0,14.0,0.429,3.0,5.0,0.6,7.0,9.0,0.778,0.0,4.0,4.0,5.0,0.0,0.0,1.0,1.0,22.0,17.1,-15.0
2014-12-15,MIL,PHO,23.035616438356165,1.0,38.63333333333333,7.0,18.0,0.389,0.0,3.0,0.0,6.0,6.0,1.0,0.0,7.0,7.0,4.0,1.0,0.0,7.0,2.0,20.0,8.3,8.0
2014-12-17,MIL,POR,23.041095890410958,1.0,33.016666666666666,10.0,19.0,0.526,2.0,6.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,4.0,1.0,24.0,12.6,-2.0
2014-12-18,MIL,SAC,23.043835616438358,1.0,37.61666666666667,6.0,16.0,0.375,3.0,7.0,0.429,5.0,6.0,0.833,0.0,5.0,5.0,4.0,2.0,0.0,3.0,1.0,20.0,13.7,-7.0
2014-12-20,MIL,LAC,23.04931506849315,1.0,27.0,3.0,10.0,0.3,2.0,6.0,0.333,0.0,0.0,0.0,1.0,4.0,5.0,5.0,0.0,0.0,4.0,3.0,8.0,2.4,-5.0
2014-12-23,MIL,CHO,23.057534246575344,1.0,33.516666666666666,13.0,21.0,0.619,4.0,7.0,0.571,4.0,4.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,4.0,3.0,34.0,24.4,-8.0
2014-12-26,MIL,ATL,23.065753424657533,1.0,27.983333333333334,5.0,11.0,0.455,2.0,6.0,0.333,4.0,4.0,1.0,1.0,4.0,5.0,3.0,2.0,1.0,3.0,0.0,16.0,14.0,10.0
2014-12-27,MIL,ATL,23.068493150684933,1.0,27.0,4.0,12.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,10.0,4.2,-28.0
2014-12-29,MIL,CHO,23.073972602739726,1.0,36.3,8.0,19.0,0.421,2.0,5.0,0.4,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,0.0,8.0,4.0,18.0,6.7,10.0
2014-12-31,MIL,CLE,23.07945205479452,1.0,33.55,11.0,19.0,0.579,4.0,9.0,0.444,0.0,0.0,0.0,1.0,5.0,6.0,2.0,1.0,1.0,2.0,3.0,26.0,19.2,18.0
2015-01-02,MIL,IND,23.084931506849315,1.0,32.68333333333333,9.0,19.0,0.474,2.0,5.0,0.4,0.0,0.0,0.0,0.0,2.0,2.0,7.0,4.0,0.0,2.0,1.0,20.0,17.4,4.0
2015-01-04,MIL,NYK,23.09041095890411,1.0,32.38333333333333,6.0,14.0,0.429,1.0,3.0,0.333,4.0,5.0,0.8,2.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0,17.0,11.1,7.0
2015-01-06,MIL,PHO,23.095890410958905,1.0,34.9,10.0,20.0,0.5,2.0,8.0,0.25,4.0,4.0,1.0,0.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,26.0,21.7,-1.0
2015-01-07,MIL,PHI,23.0986301369863,1.0,31.916666666666668,6.0,12.0,0.5,4.0,7.0,0.571,2.0,4.0,0.5,0.0,3.0,3.0,5.0,0.0,0.0,5.0,1.0,18.0,10.2,20.0
2015-01-09,MIL,MIN,23.104109589041094,1.0,22.566666666666666,5.0,10.0,0.5,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,2.0,14.0,8.0,4.0
2015-01-10,MIL,CHI,23.106849315068494,1.0,34.233333333333334,9.0,19.0,0.474,0.0,2.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,5.0,1.0,0.0,1.0,3.0,20.0,14.1,-5.0
2015-01-15,MIL,NYK,23.12054794520548,1.0,35.266666666666666,6.0,13.0,0.462,2.0,3.0,0.667,6.0,6.0,1.0,1.0,4.0,5.0,6.0,6.0,0.0,3.0,0.0,20.0,22.4,20.0
2015-01-19,MIL,TOR,23.13150684931507,1.0,41.266666666666666,7.0,21.0,0.333,2.0,7.0,0.286,4.0,6.0,0.667,0.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,20.0,11.4,3.0
2015-01-22,MIL,UTA,23.13972602739726,1.0,26.583333333333332,6.0,16.0,0.375,0.0,2.0,0.0,4.0,5.0,0.8,1.0,1.0,2.0,5.0,1.0,1.0,0.0,2.0,16.0,12.2,5.0
2015-01-24,MIL,DET,23.145205479452056,1.0,27.5,5.0,12.0,0.417,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,6.0,5.0,1.0,0.0,0.0,0.0,14.0,14.3,7.0
2015-01-25,MIL,SAS,23.147945205479452,1.0,35.016666666666666,4.0,15.0,0.267,2.0,4.0,0.5,0.0,0.0,0.0,2.0,3.0,5.0,5.0,1.0,0.0,5.0,1.0,10.0,2.5,-10.0
2015-01-27,MIL,MIA,23.153424657534245,1.0,38.15,5.0,13.0,0.385,3.0,5.0,0.6,4.0,4.0,1.0,0.0,2.0,2.0,6.0,3.0,0.0,4.0,0.0,17.0,13.7,-6.0
2015-01-29,MIL,ORL,23.15890410958904,1.0,32.9,7.0,14.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,0.0,5.0,5.0,9.0,4.0,1.0,5.0,1.0,16.0,16.1,12.0
2015-01-31,MIL,POR,23.164383561643834,1.0,27.833333333333332,3.0,13.0,0.231,1.0,4.0,0.25,4.0,4.0,1.0,0.0,3.0,3.0,8.0,3.0,0.0,2.0,1.0,11.0,10.2,-3.0
2015-02-04,MIL,LAL,23.175342465753424,1.0,36.38333333333333,7.0,17.0,0.412,4.0,7.0,0.571,6.0,6.0,1.0,1.0,6.0,7.0,8.0,1.0,0.0,2.0,2.0,24.0,21.2,25.0
2015-02-06,MIL,HOU,23.18082191780822,1.0,35.96666666666667,5.0,14.0,0.357,2.0,6.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,11.0,5.0,0.0,3.0,3.0,12.0,13.6,-3.0
2015-02-07,MIL,BOS,23.183561643835617,1.0,37.75,9.0,17.0,0.529,4.0,8.0,0.5,4.0,6.0,0.667,0.0,4.0,4.0,5.0,0.0,1.0,2.0,0.0,26.0,20.3,1.0
2015-02-09,MIL,BRK,23.18904109589041,1.0,28.833333333333332,2.0,12.0,0.167,1.0,5.0,0.2,3.0,4.0,0.75,0.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,8.0,3.6,-2.0
2015-02-11,MIL,SAC,23.194520547945206,1.0,32.63333333333333,8.0,14.0,0.571,3.0,6.0,0.5,1.0,2.0,0.5,2.0,4.0,6.0,5.0,0.0,0.0,4.0,2.0,20.0,14.3,6.0
2015-02-21,PHO,CHI,23.221917808219178,0.0,24.683333333333334,6.0,12.0,0.5,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,13.0,7.1,-12.0
2015-02-23,PHO,BOS,23.22739726027397,1.0,33.733333333333334,8.0,19.0,0.421,4.0,11.0,0.364,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,4.0,6.0,20.0,7.0,-8.0
2015-02-25,PHO,DEN,23.232876712328768,1.0,33.0,7.0,16.0,0.438,3.0,8.0,0.375,2.0,2.0,1.0,0.0,3.0,3.0,5.0,0.0,0.0,2.0,1.0,19.0,12.6,5.0
2015-02-26,PHO,OKC,23.235616438356164,1.0,47.53333333333333,6.0,16.0,0.375,3.0,8.0,0.375,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,3.0,4.0,15.0,5.2,4.0
2015-02-28,PHO,SAS,23.24109589041096,1.0,16.7,0.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-2.2,-15.0
2015-03-02,PHO,MIA,23.246575342465754,1.0,40.46666666666667,3.0,12.0,0.25,2.0,7.0,0.286,5.0,6.0,0.833,0.0,1.0,1.0,7.0,1.0,1.0,5.0,3.0,13.0,6.1,-10.0
2015-03-04,PHO,ORL,23.252054794520546,1.0,38.85,7.0,15.0,0.467,4.0,9.0,0.444,10.0,12.0,0.833,0.0,1.0,1.0,7.0,3.0,0.0,3.0,1.0,28.0,24.3,16.0
2015-03-06,PHO,BRK,23.257534246575343,1.0,41.78333333333333,4.0,16.0,0.25,0.0,5.0,0.0,4.0,4.0,1.0,0.0,5.0,5.0,7.0,0.0,0.0,0.0,2.0,12.0,8.0,6.0
