date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,POR,OKC,23.10958904109589,0.0,15.716666666666667,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,2.0,-2.9,13.0
2014-10-31,POR,SAC,23.115068493150684,0.0,10.183333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,4.0
2014-11-02,POR,GSW,23.12054794520548,0.0,3.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-2.0
2014-11-04,POR,CLE,23.126027397260273,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-06,POR,DAL,23.13150684931507,0.0,21.466666666666665,4.0,8.0,0.5,3.0,4.0,0.75,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,13.0,11.2,17.0
2014-11-08,POR,LAC,23.136986301369863,0.0,10.266666666666667,1.0,5.0,0.2,1.0,3.0,0.333,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,0.8,5.0
2014-11-09,POR,DEN,23.13972602739726,0.0,13.25,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,5.1,9.0
2014-11-11,POR,CHO,23.145205479452056,0.0,17.15,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,4.0,2.1,4.0
2014-11-12,POR,DEN,23.147945205479452,0.0,22.85,4.0,7.0,0.571,3.0,6.0,0.5,4.0,6.0,0.667,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,15.0,11.4,6.0
2014-11-15,POR,BRK,23.156164383561645,0.0,10.95,1.0,4.0,0.25,1.0,2.0,0.5,0.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,2.1,6.0
