date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,IND,PHI,27.53150684931507,1.0,33.18333333333333,6.0,17.0,0.353,2.0,8.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,15.0,4.6,16.0
2014-10-31,IND,MEM,27.536986301369865,1.0,31.6,5.0,12.0,0.417,1.0,5.0,0.2,2.0,2.0,1.0,0.0,3.0,3.0,4.0,1.0,1.0,3.0,1.0,13.0,8.6,-17.0
2014-11-01,IND,ATL,27.53972602739726,1.0,21.666666666666668,3.0,13.0,0.231,2.0,7.0,0.286,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,10.0,-0.4,-15.0
2014-11-04,IND,MIL,27.54794520547945,1.0,29.25,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,-7.1,-16.0
2014-11-05,IND,WAS,27.55068493150685,1.0,26.6,2.0,13.0,0.154,0.0,4.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,3.0,6.0,-2.8,-12.0
2014-11-14,IND,DEN,27.575342465753426,0.0,4.116666666666666,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,-6.0
2014-11-24,IND,DAL,27.602739726027398,0.0,17.433333333333334,2.0,7.0,0.286,1.0,3.0,0.333,1.0,2.0,0.5,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,6.0,5.2,12.0
2014-11-26,IND,SAS,27.60821917808219,0.0,14.583333333333334,2.0,6.0,0.333,1.0,4.0,0.25,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,5.0,2.0,8.0
2014-11-28,IND,ORL,27.613698630136987,0.0,21.466666666666665,1.0,8.0,0.125,0.0,3.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,-2.5,5.0
2014-11-29,IND,CLE,27.616438356164384,0.0,23.366666666666667,2.0,9.0,0.222,2.0,5.0,0.4,0.0,0.0,0.0,1.0,3.0,4.0,3.0,1.0,0.0,1.0,2.0,6.0,3.4,6.0
2014-12-02,IND,PHO,27.624657534246577,0.0,20.583333333333332,6.0,9.0,0.667,1.0,3.0,0.333,4.0,4.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,17.0,12.5,0.0
2014-12-04,IND,POR,27.63013698630137,0.0,20.4,2.0,8.0,0.25,1.0,5.0,0.2,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,5.0,0.6,-8.0
2014-12-05,IND,SAC,27.632876712328766,0.0,20.566666666666666,2.0,8.0,0.25,0.0,3.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,6.0,2.3,11.0
2014-12-08,IND,ATL,27.64109589041096,0.0,26.533333333333335,5.0,11.0,0.455,4.0,7.0,0.571,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,15.0,8.8,-8.0
2014-12-10,IND,LAC,27.646575342465752,0.0,34.15,11.0,22.0,0.5,7.0,14.0,0.5,1.0,4.0,0.25,1.0,3.0,4.0,2.0,1.0,0.0,4.0,2.0,30.0,17.0,23.0
2014-12-12,IND,TOR,27.65205479452055,1.0,12.7,1.0,6.0,0.167,1.0,4.0,0.25,2.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,5.0,2.1,-7.0
2014-12-15,IND,LAL,27.660273972602738,0.0,26.233333333333334,8.0,16.0,0.5,3.0,8.0,0.375,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,20.0,9.4,4.0
2014-12-17,IND,LAC,27.665753424657535,0.0,35.18333333333333,6.0,14.0,0.429,2.0,8.0,0.25,3.0,5.0,0.6,0.0,3.0,3.0,3.0,1.0,0.0,0.0,3.0,17.0,11.6,6.0
