date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,IND,PHI,30.61917808219178,0.0,26.183333333333334,4.0,11.0,0.364,2.0,7.0,0.286,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,11.0,5.8,14.0
2014-10-31,IND,MEM,30.624657534246577,0.0,31.2,5.0,14.0,0.357,2.0,7.0,0.286,4.0,4.0,1.0,2.0,4.0,6.0,2.0,0.0,0.0,2.0,1.0,16.0,9.8,9.0
2014-11-01,IND,ATL,30.627397260273973,0.0,33.88333333333333,7.0,16.0,0.438,6.0,11.0,0.545,1.0,3.0,0.333,2.0,4.0,6.0,4.0,0.0,1.0,4.0,3.0,21.0,12.7,2.0
2014-11-04,IND,MIL,30.635616438356166,0.0,24.533333333333335,6.0,15.0,0.4,4.0,9.0,0.444,3.0,6.0,0.5,1.0,4.0,5.0,0.0,0.0,0.0,1.0,3.0,19.0,9.4,8.0
2014-11-05,IND,WAS,30.638356164383563,0.0,37.36666666666667,8.0,21.0,0.381,3.0,9.0,0.333,0.0,0.0,0.0,3.0,9.0,12.0,4.0,1.0,0.0,4.0,1.0,19.0,11.7,8.0
2014-11-07,IND,BOS,30.643835616438356,1.0,37.93333333333333,6.0,13.0,0.462,0.0,4.0,0.0,5.0,5.0,1.0,3.0,3.0,6.0,4.0,0.0,0.0,5.0,5.0,17.0,9.1,7.0
2014-11-08,IND,WAS,30.646575342465752,1.0,38.15,6.0,19.0,0.316,1.0,10.0,0.1,1.0,4.0,0.25,0.0,4.0,4.0,0.0,1.0,0.0,3.0,3.0,14.0,-0.1,-1.0
2014-11-10,IND,UTA,30.65205479452055,1.0,25.9,2.0,6.0,0.333,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,6.0,1.7,-4.0
2014-11-12,IND,MIA,30.65753424657534,1.0,34.95,7.0,17.0,0.412,3.0,10.0,0.3,0.0,0.0,0.0,2.0,3.0,5.0,2.0,1.0,1.0,3.0,1.0,17.0,9.9,1.0
2014-11-14,IND,DEN,30.663013698630138,1.0,23.883333333333333,1.0,10.0,0.1,1.0,5.0,0.2,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,4.0,3.0,3.0,-6.2,-14.0
2014-11-15,IND,CHI,30.665753424657535,1.0,38.516666666666666,5.0,11.0,0.455,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,13.0,2.4,6.0
2014-11-19,IND,CHO,30.676712328767124,1.0,27.483333333333334,2.0,6.0,0.333,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,6.0,3.6,-5.0
2014-11-22,IND,PHO,30.684931506849313,1.0,30.016666666666666,3.0,9.0,0.333,2.0,6.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,8.0,0.7,-18.0
2014-11-24,IND,DAL,30.69041095890411,0.0,13.85,4.0,10.0,0.4,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,11.0,4.3,-1.0
2014-11-26,IND,SAS,30.695890410958903,0.0,23.083333333333332,4.0,10.0,0.4,2.0,4.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,12.0,7.4,6.0
2014-11-28,IND,ORL,30.7013698630137,0.0,15.333333333333334,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,5.0,5.0,-1.0
2014-11-29,IND,CLE,30.704109589041096,0.0,24.616666666666667,3.0,5.0,0.6,1.0,3.0,0.333,4.0,4.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,1.0,11.0,11.4,11.0
2014-12-02,IND,PHO,30.71232876712329,0.0,24.4,3.0,5.0,0.6,1.0,3.0,0.333,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,10.0,5.9,-9.0
2014-12-04,IND,POR,30.71780821917808,1.0,19.583333333333332,2.0,9.0,0.222,1.0,5.0,0.2,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,5.0,-2.4,-2.0
2014-12-05,IND,SAC,30.720547945205478,1.0,15.283333333333333,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,1.8,-15.0
2014-12-08,IND,ATL,30.72876712328767,1.0,20.466666666666665,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.0,4.0,4.0,0.0,0.0,1.0,2.0,2.0,6.0,1.3,-8.0
2014-12-10,IND,LAC,30.734246575342464,1.0,18.066666666666666,3.0,9.0,0.333,2.0,6.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,10.0,5.1,-30.0
2014-12-12,IND,TOR,30.73972602739726,0.0,12.316666666666666,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,2.5,1.0
2014-12-13,IND,POR,30.742465753424657,0.0,6.1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.4,-8.0
2014-12-15,IND,LAL,30.747945205479454,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-3.0
2014-12-20,IND,DEN,30.76164383561644,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-26,IND,DET,30.778082191780822,0.0,2.5666666666666664,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0
2014-12-27,IND,BRK,30.78082191780822,0.0,33.85,5.0,12.0,0.417,2.0,7.0,0.286,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,1.0,1.0,5.0,12.0,8.0,35.0
2014-12-29,IND,CHI,30.786301369863015,0.0,17.616666666666667,7.0,10.0,0.7,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,3.0,3.0,17.0,11.9,16.0
2014-12-31,IND,MIA,30.791780821917808,0.0,13.583333333333334,3.0,8.0,0.375,1.0,2.0,0.5,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,2.9,13.0
2015-01-02,IND,MIL,30.797260273972604,0.0,15.1,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-2.5,3.0
2015-01-04,IND,LAL,30.802739726027397,0.0,11.983333333333333,1.0,4.0,0.25,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,-3.4,-16.0
2015-01-05,IND,UTA,30.805479452054794,0.0,16.233333333333334,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0
2015-01-07,IND,GSW,30.81095890410959,0.0,26.95,2.0,6.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,1.0,5.0,5.1,-5.0
2015-01-09,IND,BOS,30.816438356164383,0.0,15.033333333333333,1.0,5.0,0.2,1.0,4.0,0.25,2.0,2.0,1.0,1.0,5.0,6.0,3.0,1.0,0.0,2.0,2.0,5.0,4.4,6.0
2015-01-10,IND,PHI,30.81917808219178,0.0,12.733333333333333,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-2.9,-10.0
2015-01-13,IND,MIN,30.827397260273973,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2015-01-17,IND,CHO,30.838356164383562,0.0,0.5666666666666667,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,1.0
2015-01-21,IND,ATL,30.84931506849315,0.0,3.95,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,0.0
2015-01-23,IND,MIA,30.854794520547944,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2015-01-27,IND,TOR,30.865753424657534,0.0,0.8166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-01-29,IND,NYK,30.87123287671233,0.0,12.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,-0.1,-7.0
2015-02-11,IND,NOP,30.90684931506849,0.0,5.966666666666667,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8,-17.0
2015-02-24,IND,OKC,30.942465753424656,0.0,5.033333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,2.9,10.0
2015-03-04,IND,NYK,30.964383561643835,0.0,6.133333333333334,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.3,-2.0
2015-03-10,IND,ORL,30.980821917808218,0.0,5.283333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2015-03-16,IND,TOR,30.997260273972604,0.0,2.1333333333333333,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-2.0
2015-03-18,IND,CHI,31.002739726027396,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-1.0
2015-04-03,IND,CHO,31.046575342465754,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.7,-6.0
2015-04-05,IND,MIA,31.052054794520547,0.0,2.9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.6,1.0
