date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-02,TOR,MIA,31.394520547945206,0.0,11.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,-2.5,3.0
2014-11-04,TOR,OKC,31.4,0.0,7.133333333333334,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,-5.0
2014-11-05,TOR,BOS,31.4027397260274,0.0,12.133333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.5,4.0
2014-11-09,TOR,PHI,31.413698630136988,0.0,6.283333333333333,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,-0.8,-6.0
2014-11-19,TOR,MEM,31.44109589041096,0.0,10.033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.3,8.0
2014-11-21,TOR,MIL,31.446575342465753,0.0,13.083333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,1.0,3.0,2.0,3.8,15.0
2014-11-22,TOR,CLE,31.44931506849315,0.0,15.366666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,3.0,3.0,1.0,0.0,4.0,3.0,7.4,13.0
2014-11-24,TOR,PHO,31.454794520547946,0.0,9.366666666666667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.4,-10.0
2014-11-26,TOR,ATL,31.46027397260274,0.0,17.416666666666668,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,1.1,10.0
2014-11-28,TOR,DAL,31.465753424657535,0.0,4.816666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.0
2014-11-30,TOR,LAL,31.471232876712328,0.0,5.333333333333333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,-6.0
2014-12-05,TOR,CLE,31.484931506849314,0.0,9.516666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,2.8,2.0
2014-12-09,TOR,CLE,31.495890410958904,0.0,7.35,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,1.0
2014-12-19,TOR,DET,31.523287671232875,0.0,12.683333333333334,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,7.1,9.0
2014-12-22,TOR,CHI,31.53150684931507,0.0,7.983333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.6,-7.0
2014-12-28,TOR,DEN,31.54794520547945,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,2.0
2015-01-12,TOR,DET,31.589041095890412,0.0,1.2833333333333332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,3.0
2015-01-25,TOR,DET,31.624657534246577,0.0,4.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.2,-2.0
2015-01-28,TOR,SAC,31.632876712328766,0.0,13.533333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,3.2,3.0
2015-02-20,TOR,ATL,31.695890410958903,0.0,5.366666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.2,7.0
2015-02-21,TOR,HOU,31.698630136986303,0.0,3.4333333333333336,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8,-3.0
2015-02-24,TOR,DAL,31.706849315068492,0.0,14.716666666666667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.6,1.0
2015-02-27,TOR,GSW,31.715068493150685,0.0,6.633333333333333,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0
2015-03-06,TOR,CHO,31.734246575342464,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-4.0
2015-03-13,TOR,MIA,31.753424657534246,0.0,8.983333333333333,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,2.5,1.0
2015-04-04,TOR,BOS,31.813698630136987,0.0,4.833333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-15.0
2015-04-08,TOR,CHO,31.824657534246576,0.0,9.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.9,9.0
2015-04-10,TOR,ORL,31.83013698630137,0.0,7.55,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.7,-2.0
2015-04-11,TOR,MIA,31.832876712328765,0.0,15.3,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,1.0,0.0,1.0,0.0,2.0,4.0,6.3,5.0
