date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,DET,DEN,26.96712328767123,0.0,28.2,5.0,10.0,0.5,2.0,6.0,0.333,3.0,4.0,0.75,0.0,6.0,6.0,3.0,0.0,0.0,3.0,2.0,15.0,9.7,-3.0
2014-10-30,DET,MIN,26.96986301369863,0.0,32.5,6.0,18.0,0.333,1.0,5.0,0.2,7.0,7.0,1.0,1.0,2.0,3.0,6.0,0.0,0.0,2.0,2.0,20.0,12.5,2.0
2014-11-01,DET,BRK,26.975342465753425,0.0,18.5,1.0,5.0,0.2,0.0,2.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,4.2,-14.0
2014-11-05,DET,NYK,26.986301369863014,0.0,24.7,3.0,6.0,0.5,2.0,4.0,0.5,4.0,5.0,0.8,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,12.0,8.6,-3.0
2014-11-07,DET,MIL,26.991780821917807,0.0,22.75,2.0,7.0,0.286,1.0,5.0,0.2,4.0,6.0,0.667,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,9.0,4.8,0.0
2014-11-09,DET,UTA,26.997260273972604,0.0,16.533333333333335,2.0,9.0,0.222,0.0,1.0,0.0,5.0,6.0,0.833,0.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,9.0,4.3,-4.0
2014-11-10,DET,CHI,27.0,0.0,20.716666666666665,5.0,8.0,0.625,0.0,1.0,0.0,6.0,9.0,0.667,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,16.0,11.1,-11.0
2014-11-12,DET,WAS,27.005479452054793,0.0,14.1,3.0,7.0,0.429,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,8.0,3.2,-4.0
2014-11-14,DET,OKC,27.01095890410959,0.0,17.016666666666666,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,5.0,0.0,0.0,2.0,2.0,1.0,-0.1,8.0
2014-11-15,DET,MEM,27.013698630136986,0.0,19.766666666666666,3.0,10.0,0.3,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,7.0,3.3,2.0
2014-11-17,DET,ORL,27.019178082191782,0.0,17.533333333333335,2.0,3.0,0.667,0.0,0.0,0.0,3.0,4.0,0.75,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,7.0,6.2,1.0
2014-11-19,DET,PHO,27.024657534246575,0.0,22.4,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,6.0,5.0,-5.0
2014-11-21,DET,ATL,27.03013698630137,0.0,24.783333333333335,4.0,17.0,0.235,1.0,6.0,0.167,5.0,5.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,2.0,14.0,4.5,1.0
2014-11-25,DET,MIL,27.041095890410958,1.0,37.21666666666667,4.0,11.0,0.364,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,7.0,1.0,0.0,5.0,3.0,11.0,5.2,-10.0
2014-11-26,DET,LAC,27.043835616438358,1.0,35.266666666666666,7.0,14.0,0.5,2.0,8.0,0.25,3.0,3.0,1.0,0.0,3.0,3.0,6.0,0.0,0.0,3.0,2.0,19.0,13.3,0.0
2014-11-28,DET,MIL,27.04931506849315,1.0,33.96666666666667,1.0,7.0,0.143,1.0,4.0,0.25,7.0,9.0,0.778,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,10.0,6.9,-2.0
2014-11-30,DET,GSW,27.054794520547944,0.0,12.85,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,5.0,-0.5,-13.0
2014-12-02,DET,LAL,27.06027397260274,0.0,23.65,4.0,7.0,0.571,1.0,2.0,0.5,4.0,6.0,0.667,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,13.0,12.7,9.0
2014-12-03,DET,BOS,27.063013698630137,0.0,14.233333333333333,0.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,-1.2,-13.0
2014-12-06,DET,PHI,27.07123287671233,0.0,18.216666666666665,1.0,7.0,0.143,0.0,4.0,0.0,4.0,5.0,0.8,0.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,6.0,3.7,-1.0
2014-12-07,DET,OKC,27.073972602739726,0.0,19.016666666666666,2.0,3.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,7.3,-6.0
2014-12-09,DET,POR,27.07945205479452,0.0,27.316666666666666,2.0,8.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0
2014-12-12,DET,PHO,27.087671232876712,0.0,24.0,4.0,5.0,0.8,0.0,1.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,6.0,2.0,0.0,2.0,2.0,11.0,12.4,6.0
