date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-30,LAC,OKC,26.276712328767122,1.0,35.3,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,1.0,1.0,0.0,2.0,2.0,8.0,9.3,4.0
2014-10-31,LAC,LAL,26.279452054794522,1.0,38.46666666666667,5.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,4.0,9.0,13.0,0.0,1.0,2.0,3.0,5.0,11.0,12.0,4.0
2014-11-02,LAC,SAC,26.284931506849315,1.0,25.433333333333334,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,1.0,2.0,4.0,0.0,4.0,4.0,9.1,-9.0
2014-11-03,LAC,UTA,26.28767123287671,1.0,38.233333333333334,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,1.0,1.0,4.0,8.0,7.3,5.0
2014-11-05,LAC,GSW,26.293150684931508,1.0,35.68333333333333,7.0,10.0,0.7,0.0,0.0,0.0,3.0,4.0,0.75,2.0,11.0,13.0,1.0,2.0,2.0,1.0,2.0,17.0,19.4,-8.0
2014-11-08,LAC,POR,26.301369863013697,1.0,40.28333333333333,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,0.0,6.0,8.0,14.0,2.0,5.0,1.0,1.0,2.0,6.0,15.5,0.0
2014-11-10,LAC,SAS,26.306849315068494,1.0,37.1,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,13.0,0.0,2.0,5.0,1.0,2.0,6.0,12.5,1.0
2014-11-15,LAC,PHO,26.32054794520548,1.0,34.483333333333334,4.0,4.0,1.0,0.0,0.0,0.0,4.0,7.0,0.571,3.0,15.0,18.0,3.0,0.0,7.0,4.0,5.0,12.0,17.2,6.0
2014-11-17,LAC,CHI,26.326027397260273,1.0,36.016666666666666,5.0,6.0,0.833,0.0,0.0,0.0,0.0,2.0,0.0,5.0,12.0,17.0,0.0,0.0,3.0,0.0,0.0,10.0,16.2,-8.0
2014-11-19,LAC,ORL,26.33150684931507,1.0,24.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,11.0,0.0,0.0,2.0,0.0,2.0,2.0,4.5,1.0
2014-11-20,LAC,MIA,26.334246575342465,1.0,31.083333333333332,6.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,11.0,1.0,0.0,0.0,0.0,2.0,12.0,12.6,31.0
2014-11-23,LAC,MEM,26.34246575342466,1.0,20.45,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,4.0,2.0,1.1,-8.0
2014-11-24,LAC,CHO,26.345205479452055,1.0,39.46666666666667,4.0,5.0,0.8,0.0,0.0,0.0,3.0,4.0,0.75,2.0,10.0,12.0,0.0,1.0,1.0,2.0,2.0,11.0,12.0,27.0
2014-11-26,LAC,DET,26.350684931506848,1.0,32.7,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,0.0,0.0,2.0,0.0,3.0,4.0,6.7,1.0
2014-11-28,LAC,HOU,26.356164383561644,1.0,32.61666666666667,3.0,7.0,0.429,0.0,0.0,0.0,1.0,3.0,0.333,2.0,11.0,13.0,0.0,0.0,3.0,1.0,4.0,7.0,6.7,22.0
2014-11-29,LAC,UTA,26.35890410958904,1.0,30.633333333333333,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,12.0,1.0,0.0,3.0,0.0,2.0,8.0,14.0,32.0
2014-12-01,LAC,MIN,26.364383561643837,1.0,26.2,5.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,11.0,13.0,2.0,1.0,4.0,4.0,2.0,11.0,14.2,21.0
2014-12-03,LAC,ORL,26.36986301369863,1.0,26.816666666666666,3.0,6.0,0.5,0.0,0.0,0.0,2.0,6.0,0.333,5.0,11.0,16.0,0.0,1.0,3.0,1.0,0.0,8.0,12.3,23.0
2014-12-06,LAC,NOP,26.378082191780823,1.0,35.36666666666667,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,14.0,18.0,2.0,0.0,5.0,1.0,4.0,8.0,15.7,24.0
2014-12-08,LAC,PHO,26.383561643835616,1.0,41.53333333333333,5.0,6.0,0.833,0.0,0.0,0.0,0.0,2.0,0.0,7.0,7.0,14.0,0.0,2.0,4.0,1.0,2.0,10.0,17.0,2.0
2014-12-10,LAC,IND,26.389041095890413,1.0,34.4,5.0,8.0,0.625,0.0,1.0,0.0,2.0,3.0,0.667,6.0,13.0,19.0,0.0,1.0,3.0,1.0,3.0,12.0,17.0,19.0
2014-12-12,LAC,WAS,26.394520547945206,1.0,24.733333333333334,4.0,4.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,5.0,8.0,0.0,1.0,1.0,1.0,4.0,11.0,12.5,-4.0
2014-12-13,LAC,MIL,26.397260273972602,1.0,38.56666666666667,3.0,6.0,0.5,0.0,0.0,0.0,1.0,3.0,0.333,5.0,10.0,15.0,1.0,2.0,2.0,0.0,3.0,7.0,12.6,-3.0
2014-12-15,LAC,DET,26.4027397260274,1.0,32.43333333333333,7.0,9.0,0.778,0.0,0.0,0.0,2.0,4.0,0.5,8.0,7.0,15.0,1.0,1.0,1.0,2.0,5.0,16.0,17.8,16.0
2014-12-17,LAC,IND,26.40821917808219,1.0,44.28333333333333,4.0,8.0,0.5,0.0,0.0,0.0,7.0,15.0,0.467,8.0,15.0,23.0,0.0,0.0,2.0,1.0,3.0,15.0,17.1,1.0
2014-12-19,LAC,DEN,26.413698630136988,1.0,42.55,4.0,7.0,0.571,0.0,0.0,0.0,3.0,7.0,0.429,4.0,10.0,14.0,0.0,3.0,2.0,2.0,5.0,11.0,12.3,-3.0
2014-12-20,LAC,MIL,26.416438356164385,1.0,34.3,4.0,8.0,0.5,0.0,0.0,0.0,1.0,4.0,0.25,5.0,11.0,16.0,0.0,1.0,2.0,1.0,4.0,9.0,10.4,7.0
2014-12-22,LAC,SAS,26.421917808219177,1.0,35.733333333333334,4.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,5.0,6.0,11.0,1.0,1.0,1.0,1.0,3.0,9.0,12.5,-10.0
