date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-30,CLE,NYK,22.887671232876713,1.0,37.583333333333336,4.0,9.0,0.444,2.0,5.0,0.4,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,10.0,4.2,-2.0
2014-10-31,CLE,CHI,22.89041095890411,1.0,26.383333333333333,3.0,10.0,0.3,0.0,0.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,9.0,3.0,0.0
2014-11-04,CLE,POR,22.9013698630137,1.0,27.5,3.0,11.0,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,6.0,-4.1,-9.0
2014-11-05,CLE,UTA,22.904109589041095,0.0,13.233333333333333,1.0,4.0,0.25,0.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,1.3,-6.0
2014-11-07,CLE,DEN,22.90958904109589,0.0,24.183333333333334,6.0,14.0,0.429,1.0,3.0,0.333,4.0,6.0,0.667,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,17.0,12.1,-7.0
2014-11-14,CLE,BOS,22.92876712328767,0.0,17.366666666666667,4.0,8.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,0.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,10.0,6.4,-14.0
2014-11-15,CLE,ATL,22.931506849315067,0.0,26.916666666666668,4.0,11.0,0.364,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,8.0,4.0,0.0,1.0,0.0,9.0,12.2,45.0
2014-11-17,CLE,DEN,22.936986301369863,0.0,28.033333333333335,9.0,16.0,0.563,2.0,6.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,20.0,13.9,2.0
2014-11-19,CLE,SAS,22.942465753424656,0.0,21.116666666666667,2.0,7.0,0.286,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,6.0,4.5,3.0
2014-11-21,CLE,WAS,22.947945205479453,0.0,22.45,1.0,7.0,0.143,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,-0.9,-1.0
