date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,LAL,HOU,25.397260273972602,0.0,21.583333333333332,5.0,7.0,0.714,0.0,0.0,0.0,1.0,2.0,0.5,2.0,4.0,6.0,0.0,1.0,2.0,0.0,6.0,11.0,10.3,-16.0
2014-10-29,LAL,PHO,25.4,0.0,32.63333333333333,6.0,10.0,0.6,0.0,0.0,0.0,2.0,5.0,0.4,6.0,3.0,9.0,3.0,2.0,2.0,0.0,5.0,14.0,16.8,3.0
2014-10-31,LAL,LAC,25.405479452054795,0.0,20.133333333333333,5.0,6.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,1.0,5.0,10.0,7.8,-10.0
2014-11-01,LAL,GSW,25.40821917808219,0.0,20.833333333333332,5.0,7.0,0.714,0.0,0.0,0.0,3.0,5.0,0.6,2.0,4.0,6.0,2.0,1.0,0.0,1.0,3.0,13.0,12.1,6.0
2014-11-04,LAL,PHO,25.416438356164385,0.0,18.483333333333334,1.0,3.0,0.333,0.0,0.0,0.0,2.0,4.0,0.5,4.0,5.0,9.0,0.0,2.0,3.0,2.0,4.0,4.0,6.3,4.0
2014-11-09,LAL,CHO,25.43013698630137,0.0,22.166666666666668,5.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,1.0,3.0,10.0,8.1,12.0
2014-11-11,LAL,MEM,25.435616438356163,0.0,27.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,3.0,1.0,2.0,6.0,7.7,-11.0
2014-11-12,LAL,NOP,25.438356164383563,0.0,26.983333333333334,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.0,8.0,11.0,0.0,0.0,2.0,2.0,2.0,8.0,8.1,7.0
2014-11-14,LAL,SAS,25.443835616438356,0.0,20.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,4.0,6.0,1.8,-3.0
2014-11-16,LAL,GSW,25.44931506849315,0.0,25.716666666666665,5.0,10.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,2.0,3.0,0.0,3.0,10.0,12.3,3.0
2014-11-18,LAL,ATL,25.454794520547946,0.0,22.466666666666665,3.0,7.0,0.429,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,7.0,0.0,1.0,0.0,0.0,1.0,6.0,5.4,13.0
2014-11-19,LAL,HOU,25.457534246575342,0.0,18.5,3.0,5.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,11.0,1.0,0.0,1.0,0.0,1.0,6.0,10.0,1.0
2014-11-21,LAL,DAL,25.463013698630135,0.0,12.25,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,3.5,-22.0
2014-11-23,LAL,DEN,25.46849315068493,1.0,22.45,1.0,3.0,0.333,0.0,0.0,0.0,2.0,4.0,0.5,2.0,3.0,5.0,1.0,1.0,1.0,1.0,6.0,4.0,2.8,-4.0
2014-11-26,LAL,MEM,25.476712328767125,0.0,22.766666666666666,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,1.0,1.0,3.0,1.0,1.0,2.0,5.9,3.0
2014-11-28,LAL,MIN,25.482191780821918,0.0,14.833333333333334,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,10.0,1.0,0.0,1.0,0.0,4.0,6.0,8.7,5.0
2014-11-30,LAL,TOR,25.487671232876714,0.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,2.4,-9.0
2014-12-02,LAL,DET,25.493150684931507,0.0,19.433333333333334,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,4.0,7.0,11.0,0.0,0.0,0.0,2.0,2.0,3.0,4.4,-2.0
2014-12-03,LAL,WAS,25.495890410958904,0.0,22.433333333333334,1.0,2.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,3.0,5.0,8.0,0.0,1.0,1.0,0.0,5.0,4.0,5.9,4.0
