date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,NOP,ORL,25.84109589041096,1.0,31.516666666666666,3.0,8.0,0.375,1.0,2.0,0.5,1.0,3.0,0.333,0.0,4.0,4.0,0.0,2.0,2.0,3.0,1.0,8.0,4.0,17.0
2014-11-01,NOP,DAL,25.852054794520548,1.0,34.233333333333334,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,-8.0,-8.0
2014-11-03,NOP,MEM,25.85753424657534,1.0,37.266666666666666,4.0,14.0,0.286,0.0,5.0,0.0,3.0,4.0,0.75,2.0,6.0,8.0,0.0,2.0,0.0,1.0,5.0,11.0,4.6,-14.0
2014-11-04,NOP,CHO,25.86027397260274,1.0,28.283333333333335,0.0,6.0,0.0,0.0,3.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,4.0,0.3,17.0
2014-11-08,NOP,SAS,25.87123287671233,1.0,37.6,6.0,13.0,0.462,2.0,6.0,0.333,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,14.0,10.9,0.0
2014-11-10,NOP,CLE,25.876712328767123,1.0,31.866666666666667,4.0,11.0,0.364,1.0,4.0,0.25,1.0,3.0,0.333,2.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,10.0,5.3,-9.0
2014-11-12,NOP,LAL,25.882191780821916,1.0,35.5,2.0,8.0,0.25,0.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,5.0,0.0,1.0,2.0,4.0,7.0,3.1,11.0
2014-11-14,NOP,MIN,25.887671232876713,1.0,20.516666666666666,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,11.0,11.2,33.0
2014-11-17,NOP,POR,25.895890410958906,1.0,34.61666666666667,4.0,6.0,0.667,2.0,2.0,1.0,1.0,2.0,0.5,0.0,3.0,3.0,1.0,1.0,0.0,1.0,3.0,11.0,8.4,0.0
2014-11-18,NOP,SAC,25.898630136986302,1.0,37.28333333333333,7.0,13.0,0.538,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,17.0,11.1,-3.0
2014-11-21,NOP,DEN,25.90684931506849,1.0,30.416666666666668,5.0,12.0,0.417,3.0,5.0,0.6,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0,2.0,13.0,11.1,-8.0
2014-11-22,NOP,UTA,25.90958904109589,1.0,13.05,4.0,7.0,0.571,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,5.1,2.0
2015-01-05,NOP,WAS,26.03013698630137,1.0,32.86666666666667,2.0,8.0,0.25,0.0,4.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,5.0,0.0,0.0,2.0,3.0,6.0,2.7,-10.0
2015-01-07,NOP,CHO,26.035616438356165,1.0,38.983333333333334,5.0,13.0,0.385,3.0,7.0,0.429,1.0,2.0,0.5,0.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,14.0,9.1,-5.0
2015-01-09,NOP,MEM,26.041095890410958,1.0,26.583333333333332,5.0,7.0,0.714,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,13.0,11.0,6.0
2015-01-12,NOP,BOS,26.04931506849315,1.0,35.916666666666664,7.0,12.0,0.583,3.0,5.0,0.6,4.0,4.0,1.0,2.0,0.0,2.0,3.0,1.0,0.0,4.0,4.0,21.0,14.3,-13.0
2015-01-14,NOP,DET,26.054794520547944,1.0,33.5,5.0,11.0,0.455,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,4.0,5.0,1.0,0.0,4.0,3.0,12.0,7.6,10.0
2015-01-16,NOP,PHI,26.06027397260274,1.0,34.233333333333334,5.0,16.0,0.313,2.0,5.0,0.4,4.0,6.0,0.667,1.0,5.0,6.0,3.0,1.0,0.0,2.0,1.0,16.0,8.9,-19.0
2015-01-18,NOP,TOR,26.065753424657533,1.0,36.21666666666667,6.0,15.0,0.4,1.0,5.0,0.2,1.0,1.0,1.0,0.0,5.0,5.0,5.0,1.0,0.0,5.0,3.0,14.0,5.7,8.0
2015-01-19,NOP,NYK,26.068493150684933,1.0,36.88333333333333,7.0,15.0,0.467,2.0,6.0,0.333,4.0,4.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,4.0,20.0,12.5,-9.0
2015-01-21,NOP,LAL,26.073972602739726,1.0,38.61666666666667,7.0,13.0,0.538,1.0,4.0,0.25,2.0,2.0,1.0,0.0,5.0,5.0,10.0,1.0,0.0,1.0,2.0,17.0,18.4,26.0
2015-01-23,NOP,MIN,26.07945205479452,1.0,34.95,8.0,13.0,0.615,2.0,3.0,0.667,2.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,2.0,4.0,20.0,15.6,10.0
