date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,GSW,SAC,25.02191780821918,0.0,8.15,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,2.7,-1.0
2014-11-01,GSW,LAL,25.03013698630137,0.0,12.95,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,1.0,0.0,1.0,2.0,4.0,3.0,2.1,-4.0
2014-11-02,GSW,POR,25.03287671232877,0.0,12.6,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,3.0,1.0,0.0,4.0,7.1,-2.0
2014-11-05,GSW,LAC,25.041095890410958,0.0,9.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,-2.9,5.0
2014-11-08,GSW,HOU,25.04931506849315,0.0,2.8166666666666664,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3,-6.0
2014-11-09,GSW,PHO,25.052054794520547,0.0,10.316666666666666,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,1.4,-1.0
2014-11-11,GSW,SAS,25.057534246575344,0.0,10.183333333333334,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,3.0,3.9,-5.0
2014-11-15,GSW,CHO,25.068493150684933,0.0,12.0,3.0,6.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,2.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,8.0,5.1,-3.0
2014-11-16,GSW,LAL,25.07123287671233,0.0,10.95,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,-0.9,-13.0
2014-11-21,GSW,UTA,25.084931506849315,0.0,7.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6,-7.0
