date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-14,DEN,IND,20.167123287671235,0.0,18.483333333333334,6.0,10.0,0.6,1.0,5.0,0.2,0.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,13.0,12.0,-1.0
2014-11-16,DEN,NYK,20.172602739726027,0.0,10.433333333333334,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,-1.5,-17.0
2014-11-25,DEN,CHI,20.197260273972603,0.0,5.816666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6,-3.0
2014-11-28,DEN,PHO,20.205479452054796,0.0,23.5,3.0,8.0,0.375,2.0,4.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,6.0,4.0,8.0,0.9,10.0
2014-12-01,DEN,UTA,20.213698630136985,0.0,17.416666666666668,2.0,6.0,0.333,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,2.5,3.0
2014-12-02,DEN,POR,20.216438356164385,0.0,6.533333333333333,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.6,5.0
2014-12-05,DEN,WAS,20.224657534246575,0.0,18.85,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,-3.3,-12.0
2014-12-07,DEN,ATL,20.23013698630137,0.0,10.35,1.0,8.0,0.125,0.0,4.0,0.0,1.0,2.0,0.5,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,-1.5,-14.0
2014-12-08,DEN,TOR,20.232876712328768,0.0,5.683333333333334,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.8,-9.0
2014-12-10,DEN,MIA,20.23835616438356,0.0,22.966666666666665,2.0,7.0,0.286,2.0,5.0,0.4,1.0,2.0,0.5,1.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,7.0,5.5,13.0
2014-12-13,DEN,HOU,20.246575342465754,0.0,13.183333333333334,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-3.2,-19.0
2014-12-14,DEN,SAS,20.24931506849315,0.0,13.516666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,-0.1,5.0
2014-12-22,DEN,CHO,20.27123287671233,0.0,16.566666666666666,0.0,4.0,0.0,0.0,3.0,0.0,4.0,6.0,0.667,2.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,4.0,2.3,0.0
2014-12-30,DEN,LAL,20.293150684931508,0.0,18.016666666666666,1.0,5.0,0.2,1.0,4.0,0.25,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,5.0,2.4,6.0
2015-01-01,DEN,CHI,20.2986301369863,0.0,16.533333333333335,2.0,7.0,0.286,1.0,3.0,0.333,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,3.5,-5.0
2015-01-03,DEN,MEM,20.304109589041097,0.0,6.383333333333334,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.6,-2.0
2015-01-09,DEN,SAC,20.32054794520548,0.0,12.9,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,4.9,-12.0
2015-01-14,DEN,DAL,20.334246575342465,0.0,11.166666666666666,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,-1.0,7.0
2015-01-16,DEN,DAL,20.339726027397262,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
