date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-08,LAC,POR,28.852054794520548,0.0,8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.6,3.0
2014-11-10,LAC,SAS,28.85753424657534,0.0,4.15,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,2.9,3.0
2014-11-15,LAC,PHO,28.87123287671233,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.6,2.0
2014-11-17,LAC,CHI,28.876712328767123,0.0,4.8,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.9,8.0
2014-11-19,LAC,ORL,28.882191780821916,0.0,16.966666666666665,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,6.0,1.4,16.0
2014-11-20,LAC,MIA,28.884931506849316,0.0,14.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,1.1,-17.0
2014-11-23,LAC,MEM,28.893150684931506,0.0,14.983333333333333,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,2.0,4.0,4.0,2.9,1.0
2014-11-24,LAC,CHO,28.895890410958906,0.0,9.6,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,4.0,2.5,-10.0
2014-11-26,LAC,DET,28.9013698630137,0.0,11.866666666666667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0
2014-11-28,LAC,HOU,28.90684931506849,0.0,10.466666666666667,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,-0.9,3.0
