date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-02-23,MIA,PHI,27.375342465753423,0.0,21.133333333333333,4.0,5.0,0.8,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,11.0,8.0,-6.0
2015-02-25,MIA,ORL,27.38082191780822,0.0,33.266666666666666,3.0,13.0,0.231,2.0,11.0,0.182,2.0,2.0,1.0,0.0,6.0,6.0,2.0,2.0,0.0,0.0,3.0,10.0,6.1,5.0
2015-02-27,MIA,NOP,27.386301369863013,0.0,30.666666666666668,6.0,13.0,0.462,4.0,9.0,0.444,0.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,3.0,16.0,9.6,-2.0
2015-02-28,MIA,ATL,27.389041095890413,1.0,26.333333333333332,3.0,16.0,0.188,2.0,11.0,0.182,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,10.0,-1.9,-4.0
2015-03-02,MIA,PHO,27.394520547945206,0.0,12.233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,-0.1,4.0
2015-03-04,MIA,LAL,27.4,0.0,25.366666666666667,3.0,10.0,0.3,2.0,6.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,8.0,2.8,-1.0
2015-03-06,MIA,WAS,27.405479452054795,1.0,32.6,3.0,12.0,0.25,2.0,9.0,0.222,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,8.0,-0.6,-13.0
2015-03-07,MIA,SAC,27.40821917808219,1.0,36.21666666666667,4.0,8.0,0.5,1.0,5.0,0.2,2.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,1.0,6.0,11.0,10.0,14.0
2015-03-09,MIA,BOS,27.413698630136988,1.0,25.25,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,-1.0,6.0
2015-03-11,MIA,BRK,27.41917808219178,1.0,30.783333333333335,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,1.0,5.0,6.0,2.0,4.0,0.0,0.0,5.0,9.0,11.6,9.0
2015-03-13,MIA,TOR,27.424657534246574,1.0,22.433333333333334,3.0,12.0,0.25,2.0,9.0,0.222,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,3.0,8.0,5.6,-13.0
2015-03-16,MIA,CLE,27.432876712328767,0.0,23.866666666666667,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,3.0,6.0,3.0,-2.0,6.0
2015-03-20,MIA,DEN,27.443835616438356,0.0,19.65,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,0.0,3.0,9.0,8.5,19.0
2015-03-22,MIA,OKC,27.44931506849315,0.0,21.25,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,-4.4,-8.0
2015-03-24,MIA,MIL,27.454794520547946,0.0,26.8,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,2.0,9.0,6.8,3.0
2015-03-25,MIA,BOS,27.457534246575342,1.0,27.516666666666666,4.0,8.0,0.5,4.0,8.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,2.0,4.0,12.0,7.4,0.0
2015-03-27,MIA,ATL,27.463013698630135,1.0,39.55,4.0,12.0,0.333,4.0,11.0,0.364,0.0,0.0,0.0,2.0,7.0,9.0,5.0,4.0,0.0,3.0,3.0,12.0,12.0,-6.0
