date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-07,OKC,MEM,26.34246575342466,0.0,4.233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-2.0
2014-11-09,OKC,SAC,26.34794520547945,0.0,7.883333333333333,2.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.1,4.0
2014-11-11,OKC,MIL,26.353424657534248,0.0,9.316666666666666,1.0,6.0,0.167,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,3.0,0.8,-3.0
2014-11-16,OKC,HOU,26.367123287671234,0.0,5.933333333333334,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-3.0
2014-11-18,OKC,UTA,26.372602739726027,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.3,0.0
2014-11-26,OKC,UTA,26.394520547945206,0.0,1.6166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
2014-11-28,OKC,NYK,26.4,0.0,5.683333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-8.0
2014-12-02,OKC,NOP,26.410958904109588,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-05,OKC,PHI,26.41917808219178,0.0,1.5166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-3.0
2014-12-09,OKC,MIL,26.43013698630137,0.0,3.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2,-6.0
2014-12-12,OKC,MIN,26.438356164383563,0.0,2.2,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0
2014-12-14,OKC,PHO,26.443835616438356,0.0,8.083333333333334,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0
2014-12-16,OKC,SAC,26.44931506849315,0.0,1.2166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-23,OKC,POR,26.46849315068493,0.0,14.4,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,3.0,2.0,1.5,5.0
2014-12-25,OKC,SAS,26.473972602739725,0.0,13.333333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.7,-19.0
2014-12-26,OKC,CHO,26.476712328767125,0.0,7.933333333333334,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.7,-4.0
2014-12-28,OKC,DAL,26.482191780821918,0.0,11.633333333333333,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,6.0,3.8,3.0
2014-12-31,OKC,PHO,26.49041095890411,0.0,10.833333333333334,3.0,5.0,0.6,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,7.8,7.0
2015-01-02,OKC,WAS,26.495890410958904,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2015-01-05,OKC,GSW,26.504109589041096,0.0,10.833333333333334,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-2.5,-11.0
2015-01-07,OKC,SAC,26.50958904109589,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0
2015-01-15,OKC,HOU,26.53150684931507,0.0,2.966666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.7,6.0
2015-01-16,OKC,GSW,26.534246575342465,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-4.0
2015-01-18,OKC,ORL,26.53972602739726,0.0,6.183333333333334,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2015-01-23,OKC,ATL,26.553424657534247,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2015-01-26,OKC,MIN,26.561643835616437,0.0,1.2833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-3.0
2015-01-28,OKC,NYK,26.567123287671233,0.0,1.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-02-04,OKC,NOP,26.586301369863016,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,0.0
2015-02-08,OKC,LAC,26.5972602739726,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,-7.0
2015-02-11,OKC,MEM,26.605479452054794,0.0,3.45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.4,-1.0
2015-02-23,PHI,MIA,26.638356164383563,0.0,23.566666666666666,3.0,7.0,0.429,0.0,1.0,0.0,1.0,4.0,0.25,1.0,2.0,3.0,7.0,3.0,0.0,4.0,3.0,7.0,6.1,-11.0
